コード,sector,industry
2907,Consumer Defensive,Packaged Foods
6250,Industrials,Tools & Accessories
5011,Industrials,Engineering & Construction
6822,Technology,Communication Equipment
3042,Technology,Software - Infrastructure
6420,Industrials,Specialty Industrial Machinery
8227,Consumer Cyclical,Apparel Retail
2454,Communication Services,Internet Content & Information
4317,Communication Services,Entertainment
6546,Industrials,Specialty Industrial Machinery
7217,Consumer Cyclical,Auto Parts
6535,Communication Services,Advertising Agencies
6392,Industrials,Specialty Industrial Machinery
9687,Technology,Software - Application
5126,Technology,Software - Infrastructure
5484,Basic Materials,Steel
2652,Consumer Cyclical,Internet Retail
9904,Consumer Cyclical,Luxury Goods
4891,Healthcare,Biotechnology
7725,Technology,Electronic Components
302A,Industrials,Staffing & Employment Services
4334,Communication Services,Electronic Gaming & Multimedia
6238,Consumer Cyclical,Leisure
4668,Consumer Defensive,Education & Training Services
6378,Industrials,Specialty Industrial Machinery
8285,Industrials,Conglomerates
7095,Communication Services,Advertising Agencies
2692,Consumer Defensive,Food Distribution
4218,Industrials,Business Equipment & Supplies
6849,Healthcare,Medical Devices
1827,Industrials,Engineering & Construction
7072,Technology,Information Technology Services
4958,Basic Materials,Specialty Chemicals
7942,Consumer Cyclical,Packaging & Containers
7981,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
6786,Technology,Software - Application
1491,Basic Materials,Gold
7846,Industrials,Business Equipment & Supplies
6750,Technology,Computer Hardware
4586,Healthcare,Drug Manufacturers - Specialty & Generic
8129,Healthcare,Medical Distribution
1381,Consumer Defensive,Farm Products
6908,Technology,Electronic Components
2438,Consumer Cyclical,Personal Services
7500,Technology,Scientific & Technical Instruments
2670,Consumer Cyclical,Apparel Retail
4599,Healthcare,Biotechnology
4025,Basic Materials,Chemicals
6190,Healthcare,Biotechnology
3904,Communication Services,Electronic Gaming & Multimedia
5974,Utilities,Utilities - Regulated Gas
6929,Technology,Electronic Components
8518,Financial Services,Asset Management
4694,Healthcare,Diagnostics & Research
4248,Consumer Cyclical,Packaging & Containers
1968,Industrials,Engineering & Construction
7377,Industrials,Specialty Business Services
9729,Industrials,Rental & Leasing Services
6432,Industrials,Farm & Heavy Construction Machinery
9763,Industrials,Rental & Leasing Services
8614,Financial Services,Capital Markets
4424,Technology,Software - Application
3138,Consumer Cyclical,Internet Retail
4391,Technology,Software - Infrastructure
6518,Industrials,Specialty Industrial Machinery
1934,Industrials,Engineering & Construction
2183,Healthcare,Biotechnology
4427,Technology,Information Technology Services
1861,Industrials,Engineering & Construction
6332,Industrials,Pollution & Treatment Controls
7999,Industrials,Business Equipment & Supplies
4416,Technology,Software - Application
7883,Industrials,Specialty Business Services
6369,Industrials,Specialty Industrial Machinery
9107,Industrials,Marine Shipping
6138,Industrials,Metal Fabrication
7277,Consumer Cyclical,Auto Parts
1433,Industrials,Engineering & Construction
3623,Technology,Software - Infrastructure
2301,Industrials,Staffing & Employment Services
4251,Technology,Electronic Components
9837,Consumer Cyclical,Apparel Retail
7506,Consumer Cyclical,Department Stores
9692,Technology,Software - Application
8012,Basic Materials,Specialty Chemicals
1950,Industrials,Infrastructure Operations
6875,Technology,Semiconductors
3909,Technology,Software - Application
1870,Industrials,Engineering & Construction
3723,Communication Services,Electronic Gaming & Multimedia
2981,Real Estate,Real Estate - Development
6877,Industrials,Tools & Accessories
7042,Consumer Cyclical,Personal Services
1904,Industrials,Building Products & Equipment
3842,Communication Services,Telecom Services
6140,Industrials,Tools & Accessories
6081,Communication Services,Internet Content & Information
1929,Industrials,Engineering & Construction
9605,Communication Services,Entertainment
6620,Financial Services,Asset Management
6287,Industrials,Business Equipment & Supplies
7038,Industrials,Specialty Business Services
4401,Basic Materials,Specialty Chemicals
6306,Industrials,Farm & Heavy Construction Machinery
9612,Industrials,Engineering & Construction
7811,Industrials,Specialty Business Services
3625,Technology,Information Technology Services
1982,Industrials,Engineering & Construction
7986,Basic Materials,Steel
2669,Consumer Defensive,Packaged Foods
3242,Real Estate,Real Estate - Diversified
3035,Industrials,Business Equipment & Supplies
6199,Technology,Information Technology Services
4042,Basic Materials,Chemicals
4849,Industrials,Staffing & Employment Services
166A,Technology,Software - Application
3998,Consumer Defensive,Education & Training Services
9242,Industrials,Staffing & Employment Services
264A,Consumer Defensive,Education & Training Services
6458,Industrials,Building Products & Equipment
7413,Consumer Defensive,Packaged Foods
542A,Consumer Defensive,Household & Personal Products
3001,Industrials,Conglomerates
3486,Real Estate,Real Estate Services
3467,Real Estate,Real Estate Services
8037,Energy,Oil & Gas Refining & Marketing
4064,Basic Materials,Specialty Chemicals
5355,Industrials,Conglomerates
9165,Industrials,Specialty Business Services
7990,Consumer Cyclical,Leisure
7984,Industrials,Business Equipment & Supplies
3733,Healthcare,Health Information Services
9740,Industrials,Security & Protection Services
8157,Industrials,Conglomerates
4206,Industrials,Conglomerates
7226,Industrials,Farm & Heavy Construction Machinery
1663,Utilities,Utilities - Regulated Gas
7309,Consumer Cyclical,Leisure
2136,Industrials,Staffing & Employment Services
5444,Basic Materials,Steel
6612,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
4929,Consumer Defensive,Household & Personal Products
9743,Industrials,Specialty Business Services
177A,Healthcare,Biotechnology
6648,Industrials,Specialty Industrial Machinery
3926,Communication Services,Internet Content & Information
7244,Consumer Cyclical,Auto Parts
3371,Technology,Information Technology Services
4052,Technology,Software - Application
3195,Consumer Cyclical,Internet Retail
4262,Real Estate,Real Estate Services
4634,Basic Materials,Specialty Chemicals
6255,Industrials,Specialty Industrial Machinery
6470,Consumer Cyclical,Auto Parts
7416,Consumer Cyclical,Apparel Retail
6277,Industrials,Specialty Industrial Machinery
343A,Consumer Cyclical,Travel Services
6185,Communication Services,Advertising Agencies
7284,Consumer Cyclical,Auto Parts
5965,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
3817,Technology,Information Technology Services
4479,Financial Services,Asset Management
387A,Technology,Software - Application
9240,Technology,Information Technology Services
1783,Real Estate,Real Estate - Diversified
2296,Consumer Defensive,Packaged Foods
4114,Basic Materials,Chemicals
4530,Healthcare,Drug Manufacturers - Specialty & Generic
6171,Industrials,Engineering & Construction
4633,Basic Materials,Specialty Chemicals
5367,Industrials,Specialty Industrial Machinery
265A,Technology,Software - Infrastructure
6633,Technology,Software - Application
3107,Technology,Electronics & Computer Distribution
4044,Basic Materials,Specialty Chemicals
3996,Technology,Information Technology Services
8079,Consumer Defensive,Packaged Foods
3969,Technology,Software - Application
7819,Consumer Defensive,Household & Personal Products
415A,Communication Services,Internet Content & Information
6586,Industrials,Tools & Accessories
7057,Industrials,Engineering & Construction
9347,Real Estate,Real Estate Services
3028,Consumer Cyclical,Specialty Retail
4886,Healthcare,Drug Manufacturers - Specialty & Generic
7596,Consumer Defensive,Grocery Stores
3181,Consumer Cyclical,Specialty Retail
3132,Technology,Electronics & Computer Distribution
410A,Technology,Software - Infrastructure
3659,Communication Services,Electronic Gaming & Multimedia
5970,Consumer Cyclical,Auto Parts
9036,Industrials,Integrated Freight & Logistics
9401,Communication Services,Broadcasting
3675,Communication Services,Advertising Agencies
5888,Consumer Cyclical,Recreational Vehicles
4198,Technology,Information Technology Services
3070,Consumer Cyclical,Apparel Retail
3912,Communication Services,Electronic Gaming & Multimedia
4031,Basic Materials,Agricultural Inputs
3374,Industrials,Electrical Equipment & Parts
2498,Industrials,Specialty Business Services
7102,Industrials,Railroads
4440,Technology,Software - Application
6363,Industrials,Specialty Industrial Machinery
7856,Consumer Cyclical,Textile Manufacturing
5284,Basic Materials,Building Materials
1438,Industrials,Engineering & Construction
9788,Industrials,Engineering & Construction
1979,Industrials,Building Products & Equipment
6424,Technology,Scientific & Technical Instruments
2370,Healthcare,Biotechnology
4124,Basic Materials,Chemicals
3945,Basic Materials,Paper & Paper Products
1882,Industrials,Engineering & Construction
3858,Technology,Software - Infrastructure
7374,Industrials,Staffing & Employment Services
2433,Communication Services,Advertising Agencies
4892,Healthcare,Drug Manufacturers - Specialty & Generic
6902,Consumer Cyclical,Auto Parts
4205,Basic Materials,Specialty Chemicals
4078,Basic Materials,Specialty Chemicals
7049,Industrials,Specialty Business Services
7979,Healthcare,Medical Instruments & Supplies
7608,Consumer Cyclical,Leisure
5103,Basic Materials,Specialty Chemicals
4028,Basic Materials,Specialty Chemicals
7505,Technology,Information Technology Services
4687,Technology,Software - Infrastructure
7911,Industrials,Conglomerates
3569,Consumer Cyclical,Textile Manufacturing
7360,Financial Services,Capital Markets
5936,Industrials,Building Products & Equipment
8283,Consumer Defensive,Household & Personal Products
5013,Basic Materials,Chemicals
7048,Consumer Cyclical,Travel Services
4113,Basic Materials,Specialty Chemicals
3915,Technology,Software - Infrastructure
1808,Consumer Cyclical,Residential Construction
4488,Technology,Software - Infrastructure
1717,Industrials,Engineering & Construction
4826,Technology,Software - Application
4197,Industrials,Specialty Business Services
4447,Technology,Software - Application
4884,Healthcare,Biotechnology
5244,Technology,Software - Application
5161,Consumer Cyclical,Auto Parts
6859,Technology,Scientific & Technical Instruments
2060,Consumer Defensive,Packaged Foods
7943,Industrials,Building Products & Equipment
7836,Technology,Electronic Components
4642,Industrials,Engineering & Construction
4664,Industrials,Specialty Business Services
2440,Communication Services,Internet Content & Information
3648,Technology,Software - Application
6223,Industrials,Specialty Industrial Machinery
3662,Communication Services,Internet Content & Information
9716,Industrials,Engineering & Construction
2480,Industrials,Specialty Business Services
4556,Healthcare,Medical Instruments & Supplies
3937,Technology,Information Technology Services
7963,Healthcare,Medical Devices
4445,Real Estate,Real Estate Services
7043,Industrials,Staffing & Employment Services
4272,Basic Materials,Chemicals
6371,Industrials,Specialty Industrial Machinery
6145,Industrials,Specialty Industrial Machinery
9934,Industrials,Industrial Distribution
2436,Communication Services,Advertising Agencies
2003,Consumer Defensive,Farm Products
5834,Industrials,Rental & Leasing Services
9467,Communication Services,Internet Content & Information
4685,Industrials,Conglomerates
4662,Technology,Information Technology Services
1813,Industrials,Engineering & Construction
6090,Healthcare,Diagnostics & Research
2311,Industrials,Engineering & Construction
5821,Industrials,Conglomerates
9702,Technology,Software - Application
4926,Consumer Defensive,Household & Personal Products
4335,Technology,Information Technology Services
2910,Consumer Defensive,Packaged Foods
241A,Technology,Software - Application
4263,Healthcare,Health Information Services
1736,Industrials,Industrial Distribution
4169,Technology,Software - Application
4414,Technology,Software - Infrastructure
7058,Industrials,Security & Protection Services
9213,Industrials,Conglomerates
4008,Basic Materials,Specialty Chemicals
2207,Consumer Defensive,Confectioners
2676,Industrials,Conglomerates
4671,Healthcare,Diagnostics & Research
1766,Real Estate,Real Estate Services
5589,Consumer Cyclical,Auto & Truck Dealerships
6029,Healthcare,Medical Care Facilities
6289,Industrials,Farm & Heavy Construction Machinery
3988,Technology,Information Technology Services
7609,Technology,Semiconductor Equipment & Materials
7917,Consumer Cyclical,Packaging & Containers
2120,Communication Services,Internet Content & Information
3907,Communication Services,Electronic Gaming & Multimedia
3076,Industrials,Conglomerates
7980,Healthcare,Medical Instruments & Supplies
2602,Consumer Defensive,Packaged Foods
6294,Industrials,Farm & Heavy Construction Machinery
4361,Basic Materials,Specialty Chemicals
9543,Utilities,Utilities - Regulated Gas
4068,Technology,Information Technology Services
5729,Basic Materials,Chemicals
4476,Technology,Software - Application
3835,Technology,Software - Application
2983,Real Estate,Real Estate - Development
6644,Technology,Scientific & Technical Instruments
7970,Basic Materials,Specialty Chemicals
7211,Consumer Cyclical,Auto Manufacturers
7687,Consumer Defensive,Food Distribution
9244,Communication Services,Advertising Agencies
2359,Technology,Information Technology Services
5121,Consumer Cyclical,Auto Parts
6448,Industrials,Business Equipment & Supplies
2930,Consumer Defensive,Household & Personal Products
2437,Consumer Cyclical,Personal Services
2488,Technology,Information Technology Services
4212,Industrials,Building Products & Equipment
1719,Industrials,Engineering & Construction
7148,Financial Services,Financial Conglomerates
3974,Technology,Information Technology Services
7438,Industrials,Specialty Industrial Machinery
4464,Basic Materials,Specialty Chemicals
4832,Technology,Information Technology Services
157A,Technology,Software - Application
7727,Technology,Scientific & Technical Instruments
4041,Basic Materials,Chemicals
2767,Consumer Cyclical,Gambling
3361,Utilities,Utilities - Regulated Gas
7988,Consumer Cyclical,Auto Parts
4814,Technology,Information Technology Services
261A,Industrials,Engineering & Construction
9558,Technology,Software - Infrastructure
9982,Consumer Cyclical,Apparel Manufacturing
4346,Industrials,Specialty Business Services
6408,Industrials,Specialty Industrial Machinery
2391,Technology,Information Technology Services
5025,Technology,Software - Application
6659,Technology,Software - Infrastructure
7343,Financial Services,Insurance - Diversified
2790,Consumer Cyclical,Home Improvement Retail
2982,Real Estate,Real Estate Services
6328,Industrials,Conglomerates
7513,Consumer Cyclical,Specialty Retail
8005,Consumer Cyclical,Internet Retail
8022,Consumer Cyclical,Specialty Retail
4462,Basic Materials,Specialty Chemicals
6554,Industrials,Conglomerates
291A,Consumer Defensive,Education & Training Services
4746,Technology,Software - Application
9219,Technology,Information Technology Services
3608,Consumer Cyclical,Apparel Manufacturing
3440,Industrials,Conglomerates
9214,Healthcare,Medical Care Facilities
3970,Technology,Information Technology Services
7744,Technology,Consumer Electronics
7555,Consumer Defensive,Farm Products
6073,Consumer Cyclical,Residential Construction
7575,Healthcare,Medical Devices
5208,Technology,Electronic Components
5015,Energy,Oil & Gas Refining & Marketing
7971,Industrials,Building Products & Equipment
7358,Consumer Cyclical,Personal Services
6670,Technology,Computer Hardware
4380,Consumer Defensive,Grocery Stores
1952,Industrials,Building Products & Equipment
9663,Industrials,Engineering & Construction
3548,Consumer Cyclical,Apparel Retail
472A,Communication Services,Internet Content & Information
4574,Healthcare,Drug Manufacturers - Specialty & Generic
4221,Basic Materials,Specialty Chemicals
9332,Industrials,Staffing & Employment Services
6823,Healthcare,Medical Devices
6356,Consumer Cyclical,Auto Parts
2540,Consumer Defensive,Beverages - Wineries & Distilleries
3002,Consumer Cyclical,Apparel Manufacturing
8841,Real Estate,Real Estate Services
2594,Consumer Defensive,Packaged Foods
6094,Communication Services,Advertising Agencies
2810,Consumer Defensive,Packaged Foods
1945,Industrials,Engineering & Construction
9468,Communication Services,Publishing
6193,Technology,Information Technology Services
4496,Technology,Software - Infrastructure
3947,Consumer Cyclical,Packaging & Containers
6798,Technology,Electronic Components
4686,Technology,Software - Infrastructure
7707,Healthcare,Medical Devices
3280,Real Estate,Real Estate - Diversified
3917,Technology,Software - Application
9791,Industrials,Specialty Business Services
4763,Industrials,Consulting Services
7066,Industrials,Conglomerates
5195,Industrials,Specialty Industrial Machinery
4743,Technology,Information Technology Services
9742,Technology,Information Technology Services
6731,Technology,Computer Hardware
2978,Real Estate,Real Estate Services
4617,Basic Materials,Specialty Chemicals
149A,Technology,Software - Application
4439,Industrials,Conglomerates
6925,Industrials,Specialty Industrial Machinery
9632,Industrials,Specialty Business Services
416A,Energy,Oil & Gas Refining & Marketing
7060,Technology,Information Technology Services
4507,Healthcare,Drug Manufacturers - Specialty & Generic
3779,Consumer Cyclical,Internet Retail
4674,Technology,Information Technology Services
7875,Communication Services,Publishing
5139,Technology,Software - Application
4974,Healthcare,Biotechnology
6413,Technology,Computer Hardware
3179,Consumer Cyclical,Internet Retail
5901,Consumer Cyclical,Packaging & Containers
6960,Healthcare,Medical Devices
1776,Industrials,Engineering & Construction
4216,Industrials,Building Products & Equipment
4486,Technology,Information Technology Services
6357,Industrials,Specialty Industrial Machinery
7093,Technology,Information Technology Services
3667,Communication Services,Electronic Gaming & Multimedia
2286,Consumer Defensive,Packaged Foods
2148,Communication Services,Advertising Agencies
9340,Healthcare,Medical Instruments & Supplies
6403,Industrials,Waste Management
8908,Real Estate,Real Estate Services
6563,Industrials,Staffing & Employment Services
4020,Technology,Software - Application
480A,Industrials,Consulting Services
8074,Industrials,Specialty Industrial Machinery
2708,Consumer Defensive,Food Distribution
6460,Communication Services,Electronic Gaming & Multimedia
5987,Industrials,Metal Fabrication
4290,Industrials,Specialty Business Services
3151,Healthcare,Medical Distribution
334A,Technology,Software - Application
9101,Industrials,Marine Shipping
5949,Consumer Cyclical,Auto Parts
7893,Industrials,Specialty Business Services
4845,Technology,Software - Application
3672,Communication Services,Electronic Gaming & Multimedia
5570,Communication Services,Internet Content & Information
5582,Technology,Software - Infrastructure
6093,Industrials,Specialty Business Services
6904,Technology,Communication Equipment
1963,Industrials,Engineering & Construction
7822,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
6135,Industrials,Specialty Industrial Machinery
4428,Technology,Software - Application
332A,Technology,Software - Application
4973,Basic Materials,Specialty Chemicals
7637,Industrials,Metal Fabrication
9381,Industrials,Integrated Freight & Logistics
5922,Industrials,Metal Fabrication
3153,Industrials,Industrial Distribution
9346,Industrials,Staffing & Employment Services
4074,Technology,Software - Application
5471,Basic Materials,Steel
2307,Technology,Software - Application
4450,Technology,Information Technology Services
1726,Industrials,Engineering & Construction
1885,Industrials,Engineering & Construction
3004,Industrials,Conglomerates
7715,Technology,Scientific & Technical Instruments
5331,Industrials,Conglomerates
7522,Consumer Cyclical,Restaurants
6266,Technology,Semiconductor Equipment & Materials
9353,Industrials,Marine Shipping
4175,Communication Services,Electronic Gaming & Multimedia
2266,Consumer Defensive,Packaged Foods
7740,Consumer Cyclical,Leisure
1871,Industrials,Engineering & Construction
6486,Industrials,Specialty Industrial Machinery
4045,Basic Materials,Specialty Chemicals
2429,Industrials,Staffing & Employment Services
7745,Technology,Scientific & Technical Instruments
3106,Industrials,Conglomerates
340A,Industrials,Specialty Business Services
6298,Technology,Electronic Components
6087,Industrials,Specialty Industrial Machinery
6436,Technology,Scientific & Technical Instruments
7731,Consumer Cyclical,Leisure
5247,Technology,Information Technology Services
6080,Financial Services,Capital Markets
2926,Consumer Defensive,Packaged Foods
6044,Industrials,Specialty Business Services
7138,Communication Services,Internet Content & Information
4370,Technology,Software - Application
6835,Technology,Communication Equipment
3686,Communication Services,Entertainment
6837,Technology,Electronic Components
5134,Technology,Software - Application
4477,Technology,Software - Application
1414,Industrials,Engineering & Construction
3865,Basic Materials,Paper & Paper Products
6046,Communication Services,Internet Content & Information
1718,Industrials,Engineering & Construction
3920,Technology,Information Technology Services
2689,Healthcare,Medical Distribution
2892,Consumer Defensive,Packaged Foods
3836,Technology,Software - Application
3173,Industrials,Tools & Accessories
9405,Communication Services,Broadcasting
3560,Consumer Cyclical,Specialty Retail
1418,Industrials,Specialty Business Services
7912,Industrials,Conglomerates
5071,Industrials,Specialty Business Services
6176,Communication Services,Publishing
7078,Communication Services,Advertising Agencies
4420,Technology,Electronics & Computer Distribution
6258,Industrials,Specialty Industrial Machinery
3452,Real Estate,Real Estate Services
3925,Technology,Information Technology Services
9551,Industrials,Pollution & Treatment Controls
4576,Healthcare,Biotechnology
4046,Basic Materials,Specialty Chemicals
9765,Industrials,Engineering & Construction
3844,Technology,Information Technology Services
5288,Basic Materials,Building Materials
6113,Industrials,Specialty Industrial Machinery
3036,Basic Materials,Other Industrial Metals & Mining
3294,Real Estate,Real Estate Services
2811,Consumer Defensive,Packaged Foods
2764,Consumer Cyclical,Restaurants
2173,Communication Services,Advertising Agencies
3475,Real Estate,Real Estate - Diversified
4917,Consumer Defensive,Household & Personal Products
5867,Industrials,Consulting Services
9790,Technology,Software - Application
4641,Industrials,Staffing & Employment Services
9832,Consumer Cyclical,Auto Parts
9610,Industrials,Staffing & Employment Services
4366,Basic Materials,Chemicals
6331,Industrials,Pollution & Treatment Controls
3798,Technology,Information Technology Services
7456,Basic Materials,Other Precious Metals & Mining
4733,Technology,Information Technology Services
3634,Technology,Information Technology Services
4318,Industrials,Staffing & Employment Services
7779,Healthcare,Medical Devices
3169,Consumer Cyclical,Department Stores
6952,Technology,Consumer Electronics
1939,Industrials,Engineering & Construction
5644,Industrials,Metal Fabrication
5851,Industrials,Metal Fabrication
9869,Consumer Defensive,Food Distribution
6347,Industrials,Specialty Industrial Machinery
190A,Healthcare,Biotechnology
8117,Consumer Cyclical,Auto Parts
6035,Industrials,Consulting Services
7552,Consumer Cyclical,Specialty Retail
2294,Consumer Defensive,Food Distribution
7994,Industrials,Business Equipment & Supplies
7476,Healthcare,Medical Distribution
5599,Technology,Software - Infrastructure
7490,Industrials,Conglomerates
6273,Industrials,Specialty Industrial Machinery
3542,Consumer Cyclical,Internet Retail
1833,Industrials,Engineering & Construction
7809,Consumer Cyclical,Leisure
7987,Industrials,Specialty Business Services
8130,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
6180,Communication Services,Internet Content & Information
8061,Industrials,Industrial Distribution
9640,Technology,Information Technology Services
2760,Technology,Electronic Components
6237,Industrials,Specialty Industrial Machinery
7269,Consumer Cyclical,Auto Manufacturers
5133,Technology,Information Technology Services
2206,Consumer Defensive,Packaged Foods
1434,Industrials,Engineering & Construction
5033,Technology,Software - Application
4972,Basic Materials,Specialty Chemicals
4204,Industrials,Conglomerates
1721,Industrials,Engineering & Construction
4665,Industrials,Conglomerates
2327,Technology,Information Technology Services
6284,Industrials,Specialty Industrial Machinery
9236,Industrials,Consulting Services
7734,Industrials,Security & Protection Services
2001,Consumer Defensive,Packaged Foods
4344,Technology,Software - Application
1926,Industrials,Engineering & Construction
6961,Technology,Electronic Components
7821,Basic Materials,Building Materials
7610,Consumer Cyclical,Specialty Retail
6744,Industrials,Security & Protection Services
2922,Consumer Defensive,Packaged Foods
5930,Industrials,Building Products & Equipment
5942,Industrials,Specialty Industrial Machinery
5955,Industrials,Tools & Accessories
5250,Technology,Software - Infrastructure
1444,Consumer Cyclical,Residential Construction
3984,Technology,Information Technology Services
9087,Industrials,Specialty Business Services
2002,Consumer Defensive,Packaged Foods
6516,Industrials,Electrical Equipment & Parts
6814,Technology,Scientific & Technical Instruments
7131,Consumer Cyclical,Packaging & Containers
9319,Industrials,Specialty Business Services
1401,Industrials,Engineering & Construction
5975,Consumer Cyclical,Auto Parts
4433,Industrials,Staffing & Employment Services
3657,Technology,Information Technology Services
8275,Technology,Information Technology Services
9684,Communication Services,Electronic Gaming & Multimedia
5242,Technology,Software - Application
9368,Industrials,Specialty Business Services
7414,Industrials,Metal Fabrication
3156,Technology,Semiconductors
6840,Technology,Computer Hardware
6810,Technology,Consumer Electronics
4326,Communication Services,Advertising Agencies
3252,Real Estate,Real Estate Services
7683,Consumer Cyclical,Apparel Retail
2315,Technology,Information Technology Services
3983,Technology,Software - Application
3935,Communication Services,Electronic Gaming & Multimedia
6579,Communication Services,Internet Content & Information
3656,Communication Services,Electronic Gaming & Multimedia
9830,Industrials,Industrial Distribution
6013,Industrials,Pollution & Treatment Controls
9474,Communication Services,Internet Content & Information
4261,Technology,Information Technology Services
9685,Technology,Software - Application
4395,Communication Services,Telecom Services
3489,Real Estate,Real Estate Services
7974,Communication Services,Electronic Gaming & Multimedia
8739,Financial Services,Asset Management
7874,Consumer Defensive,Household & Personal Products
6653,Technology,Electronic Components
4421,Technology,Information Technology Services
8008,Consumer Cyclical,Apparel Manufacturing
6136,Industrials,Tools & Accessories
7246,Consumer Cyclical,Auto Parts
4927,Consumer Defensive,Household & Personal Products
6728,Industrials,Specialty Industrial Machinery
7080,Industrials,Staffing & Employment Services
3040,Technology,Software - Infrastructure
2432,Industrials,Conglomerates
500A,Communication Services,Publishing
6928,Technology,Electronic Components
6195,Communication Services,Advertising Agencies
6947,Technology,Software - Application
5279,Industrials,Engineering & Construction
6668,Industrials,Electrical Equipment & Parts
7504,Consumer Cyclical,Packaging & Containers
478A,Technology,Software - Infrastructure
3645,Communication Services,Internet Content & Information
7242,Consumer Cyclical,Auto Parts
2004,Consumer Defensive,Packaged Foods
3180,Consumer Defensive,Household & Personal Products
9564,Industrials,Conglomerates
7325,Financial Services,Insurance - Life
368A,Healthcare,Medical Instruments & Supplies
3929,Communication Services,Entertainment
1965,Industrials,Engineering & Construction
6177,Communication Services,Advertising Agencies
2326,Technology,Software - Infrastructure
6543,Communication Services,Advertising Agencies
2986,Real Estate,Real Estate Services
520A,Healthcare,Biotechnology
3690,Communication Services,Advertising Agencies
3457,Real Estate,Real Estate Services
4057,Communication Services,Internet Content & Information
8060,Industrials,Business Equipment & Supplies
6045,Communication Services,Advertising Agencies
3652,Technology,Electronic Components
7278,Consumer Cyclical,Auto Parts
1975,Industrials,Engineering & Construction
2674,Consumer Cyclical,Specialty Retail
2303,Technology,Software - Application
6317,Industrials,Specialty Industrial Machinery
6144,Industrials,Specialty Industrial Machinery
2586,Consumer Defensive,Food Distribution
5310,Industrials,Electrical Equipment & Parts
7282,Consumer Cyclical,Auto Parts
3771,Technology,Software - Application
7775,Healthcare,Medical Instruments & Supplies
2109,Consumer Defensive,Confectioners
7353,Consumer Defensive,Education & Training Services
1959,Industrials,Engineering & Construction
2782,Consumer Defensive,Discount Stores
6302,Industrials,Specialty Industrial Machinery
6951,Technology,Scientific & Technical Instruments
6807,Technology,Electronic Components
7164,Financial Services,Credit Services
9746,Technology,Information Technology Services
3985,Communication Services,Internet Content & Information
4389,Technology,Software - Application
9416,Communication Services,Telecom Services
6768,Technology,Electronic Components
7373,Industrials,Specialty Business Services
3168,Basic Materials,Other Industrial Metals & Mining
8007,Basic Materials,Building Materials
3024,Industrials,Metal Fabrication
7110,Consumer Cyclical,Internet Retail
5621,Technology,Software - Infrastructure
6402,Industrials,Specialty Industrial Machinery
4768,Technology,Information Technology Services
6745,Industrials,Building Products & Equipment
7839,Consumer Cyclical,Footwear & Accessories
5714,Basic Materials,Other Industrial Metals & Mining
2875,Consumer Defensive,Packaged Foods
6806,Technology,Electronic Components
5933,Technology,Scientific & Technical Instruments
7701,Technology,Scientific & Technical Instruments
8771,Financial Services,Credit Services
7781,Industrials,Staffing & Employment Services
3916,Technology,Information Technology Services
8111,Consumer Cyclical,Apparel Manufacturing
7966,Basic Materials,Specialty Chemicals
8131,Energy,Oil & Gas Refining & Marketing
3087,Consumer Cyclical,Restaurants
9682,Technology,Information Technology Services
3566,Consumer Cyclical,Apparel Retail
3640,Technology,Semiconductors
6560,Industrials,Consulting Services
6480,Industrials,Tools & Accessories
6638,Technology,Electronics & Computer Distribution
5162,Consumer Cyclical,Auto Parts
6578,Industrials,Conglomerates
5290,Basic Materials,Building Materials
3921,Technology,Software - Application
7064,Industrials,Staffing & Employment Services
6492,Industrials,Specialty Industrial Machinery
3776,Communication Services,Telecom Services
2805,Consumer Defensive,Packaged Foods
9537,Utilities,Utilities - Regulated Gas
6465,Industrials,Specialty Industrial Machinery
6724,Technology,Computer Hardware
6914,Technology,Electronic Components
3080,Consumer Defensive,Discount Stores
7035,Technology,Software - Application
3900,Industrials,Staffing & Employment Services
9889,Technology,Information Technology Services
1944,Industrials,Engineering & Construction
3441,Industrials,Metal Fabrication
8218,Consumer Cyclical,Home Improvement Retail
4571,Healthcare,Biotechnology
2924,Consumer Defensive,Farm Products
9562,Consumer Defensive,Education & Training Services
3676,Technology,Information Technology Services
7762,Consumer Cyclical,Footwear & Accessories
8113,Consumer Defensive,Household & Personal Products
6240,Industrials,Specialty Industrial Machinery
2659,Consumer Cyclical,Department Stores
4800,Communication Services,Internet Content & Information
4403,Basic Materials,Specialty Chemicals
336A,Communication Services,Internet Content & Information
7115,Industrials,Specialty Industrial Machinery
6201,Industrials,Farm & Heavy Construction Machinery
6474,Industrials,Tools & Accessories
9644,Industrials,Consulting Services
3443,Industrials,Engineering & Construction
4187,Basic Materials,Specialty Chemicals
6498,Industrials,Specialty Industrial Machinery
1429,Industrials,Engineering & Construction
3719,Industrials,Consulting Services
7823,Consumer Defensive,Household & Personal Products
4166,Technology,Software - Application
2428,Technology,Software - Infrastructure
2813,Consumer Defensive,Packaged Foods
6196,Financial Services,Capital Markets
9795,Consumer Defensive,Education & Training Services
228A,Technology,Software - Infrastructure
255A,Technology,Scientific & Technical Instruments
3360,Healthcare,Medical Instruments & Supplies
