コード,sector,industry
6484,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
5125,Communication Services,Entertainment
6279,Industrials,Specialty Industrial Machinery
9363,Industrials,Integrated Freight & Logistics
1888,Industrials,Engineering & Construction
7955,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
3553,Basic Materials,Chemicals
7833,Industrials,Specialty Business Services
2763,Technology,Communication Equipment
7460,Consumer Cyclical,Textile Manufacturing
7527,Technology,Software - Application
9902,Industrials,Industrial Distribution
2053,Consumer Defensive,Packaged Foods
3682,Technology,Information Technology Services
2961,Industrials,Specialty Industrial Machinery
4059,Communication Services,Internet Content & Information
2121,Communication Services,Electronic Gaming & Multimedia
4635,Basic Materials,Specialty Chemicals
1443,Industrials,Engineering & Construction
7722,Industrials,Specialty Industrial Machinery
8091,Consumer Defensive,Packaged Foods
9888,Basic Materials,Steel
4754,Industrials,Security & Protection Services
6047,Technology,Software - Application
5542,Basic Materials,Steel
9248,Industrials,Engineering & Construction
7292,Consumer Cyclical,Auto Parts
5959,Industrials,Building Products & Equipment
4990,Basic Materials,Specialty Chemicals
7077,Communication Services,Internet Content & Information
4772,Communication Services,Entertainment
7208,Consumer Cyclical,Auto Parts
3431,Industrials,Engineering & Construction
7539,Industrials,Building Products & Equipment
8742,Financial Services,Capital Markets
9408,Technology,Information Technology Services
3930,Communication Services,Internet Content & Information
8014,Industrials,Conglomerates
6870,Industrials,Security & Protection Services
6897,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
4620,Basic Materials,Specialty Chemicals
9466,Communication Services,Advertising Agencies
4934,Consumer Defensive,Household & Personal Products
4623,Basic Materials,Specialty Chemicals
4388,Technology,Communication Equipment
3826,Technology,Software - Application
3839,Technology,Information Technology Services
2408,Communication Services,Publishing
7351,Technology,Software - Infrastructure
4095,Basic Materials,Specialty Chemicals
6063,Healthcare,Medical Care Facilities
1795,Industrials,Engineering & Construction
3903,Communication Services,Electronic Gaming & Multimedia
6626,Technology,Electronic Components
196A,Financial Services,Mortgage Finance
3071,Consumer Cyclical,Internet Retail
5357,Basic Materials,Building Materials
4992,Basic Materials,Agricultural Inputs
6794,Technology,Consumer Electronics
5695,Basic Materials,Specialty Chemicals
8137,Technology,Electronics & Computer Distribution
3911,Communication Services,Electronic Gaming & Multimedia
331A,Communication Services,Advertising Agencies
4512,Healthcare,Drug Manufacturers - Specialty & Generic
5410,Basic Materials,Steel
9404,Communication Services,Broadcasting
9990,Consumer Cyclical,Luxury Goods
1799,Industrials,Engineering & Construction
3143,Consumer Defensive,Food Distribution
5967,Industrials,Tools & Accessories
6637,Industrials,Electrical Equipment & Parts
2330,Consumer Cyclical,Leisure
304A,Technology,Information Technology Services
6384,Industrials,Specialty Industrial Machinery
6517,Industrials,Specialty Industrial Machinery
3622,Communication Services,Advertising Agencies
9563,Technology,Information Technology Services
6505,Industrials,Specialty Industrial Machinery
6905,Industrials,Electrical Equipment & Parts
2819,Consumer Defensive,Packaged Foods
5527,Real Estate,Real Estate Services
5983,Industrials,Electrical Equipment & Parts
8747,Financial Services,Capital Markets
8052,Industrials,Industrial Distribution
4351,Industrials,Specialty Business Services
7600,Healthcare,Medical Devices
7046,Technology,Information Technology Services
7140,Healthcare,Medical Care Facilities
6580,Industrials,Specialty Business Services
6676,Technology,Computer Hardware
7916,Industrials,Specialty Business Services
7878,Consumer Cyclical,Luxury Goods
7965,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
1780,Industrials,Engineering & Construction
3352,Consumer Cyclical,Auto & Truck Dealerships
6599,Technology,Computer Hardware
4994,Consumer Cyclical,Packaging & Containers
5131,Industrials,Specialty Business Services
8023,Technology,Electronics & Computer Distribution
7837,Real Estate,Real Estate - Development
3416,Consumer Cyclical,Internet Retail
4728,Communication Services,Electronic Gaming & Multimedia
7782,Healthcare,Medical Instruments & Supplies
8127,Consumer Cyclical,Apparel Manufacturing
7213,Technology,Electronic Components
7299,Consumer Cyclical,Auto Parts
8158,Basic Materials,Chemicals
3079,Healthcare,Medical Devices
6161,Industrials,Specialty Industrial Machinery
8999,Real Estate,Real Estate Services
7466,Consumer Cyclical,Auto Parts
8066,Industrials,Conglomerates
8226,Technology,Information Technology Services
3299,Real Estate,Real Estate - Development
5957,Industrials,Tools & Accessories
4725,Technology,Information Technology Services
3550,Consumer Cyclical,Footwear & Accessories
9739,Technology,Information Technology Services
7989,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
3375,Technology,Electronics & Computer Distribution
6552,Communication Services,Electronic Gaming & Multimedia
3646,Communication Services,Internet Content & Information
7940,Basic Materials,Specialty Chemicals
4736,Technology,Information Technology Services
8946,Real Estate,Real Estate Services
3266,Financial Services,Asset Management
7634,Healthcare,Medical Distribution
6664,Technology,Scientific & Technical Instruments
8059,Industrials,Specialty Industrial Machinery
3800,Technology,Software - Application
9193,Industrials,Marine Shipping
5911,Industrials,Engineering & Construction
7296,Consumer Cyclical,Auto Parts
5240,Technology,Software - Infrastructure
4094,Basic Materials,Specialty Chemicals
3023,Basic Materials,Other Industrial Metals & Mining
6923,Consumer Cyclical,Auto Parts
3267,Industrials,Engineering & Construction
3799,Technology,Information Technology Services
2479,Technology,Electronic Components
9409,Communication Services,Broadcasting
4076,Technology,Information Technology Services
7849,Communication Services,Publishing
7425,Basic Materials,Steel
3760,Communication Services,Electronic Gaming & Multimedia
6741,Industrials,Electrical Equipment & Parts
3306,Industrials,Conglomerates
6247,Industrials,Specialty Industrial Machinery
4893,Healthcare,Biotechnology
5184,Consumer Cyclical,Auto Parts
9799,Technology,Information Technology Services
8077,Industrials,Industrial Distribution
8011,Consumer Cyclical,Apparel Manufacturing
