コード,終値,日付
7885.T,1083.0,2026-07-23
3134.T,283.0,2026-07-23
6325.T,405.0,2026-07-23
6797.T,1144.0,2026-07-23
7628.T,1149.0,2026-07-23
6276.T,304.0,2026-07-23
7472.T,3930.0,2026-07-23
6151.T,1715.0,2026-07-23
7537.T,1723.0,2026-07-23
6820.T,3260.0,2026-07-23
2221.T,3070.0,2026-07-23
8141.T,1587.0,2026-07-23
3583.T,1357.0,2026-07-23
9932.T,1286.0,2026-07-23
6778.T,692.0,2026-07-23
4170.T,118.0,2026-07-23
5945.T,2439.0,2026-07-23
6158.T,986.0,2026-07-23
3386.T,1243.0,2026-07-23
3892.T,1633.0,2026-07-23
3944.T,2525.0,2026-07-23
7928.T,629.0,2026-07-23
2497.T,523.0,2026-07-23
3851.T,900.0,2026-07-23
3895.T,406.0,2026-07-23
9867.T,10260.0,2026-07-23
5997.T,910.0,2026-07-23
7953.T,388.0,2026-07-23
5363.T,700.0,2026-07-23
1887.T,515.0,2026-07-23
1793.T,2078.0,2026-07-23
7872.T,608.0,2026-07-23
3417.T,1119.0,2026-07-23
3277.T,652.0,2026-07-23
6349.T,1670.0,2026-07-23
7614.T,1550.0,2026-07-23
8075.T,2560.0,2026-07-23
6360.T,4475.0,2026-07-23
9414.T,917.0,2026-07-23
6907.T,674.0,2026-07-23
3641.T,952.0,2026-07-23
2654.T,401.0,2026-07-23
1376.T,1534.0,2026-07-23
3953.T,773.0,2026-07-23
5440.T,1895.0,2026-07-23
4829.T,105.0,2026-07-23
2449.T,1080.0,2026-07-23
6358.T,2214.0,2026-07-23
5958.T,4560.0,2026-07-23
3597.T,9090.0,2026-07-23
8093.T,1786.0,2026-07-23
5388.T,1248.0,2026-07-23
4548.T,740.0,2026-07-23
3388.T,2274.0,2026-07-23
7859.T,220.0,2026-07-23
6485.T,1544.0,2026-07-23
8123.T,1340.0,2026-07-23
5304.T,2551.0,2026-07-23
8935.T,1847.0,2026-07-23
6419.T,3135.0,2026-07-23
9425.T,226.0,2026-07-23
7896.T,508.0,2026-07-23
5368.T,994.0,2026-07-23
6619.T,158.0,2026-07-23
6482.T,691.0,2026-07-23
7820.T,722.0,2026-07-23
1905.T,1514.0,2026-07-23
3958.T,550.0,2026-07-23
6919.T,1383.0,2026-07-23
2999.T,624.0,2026-07-23
7565.T,6590.0,2026-07-23
2700.T,1739.0,2026-07-23
8150.T,2914.0,2026-07-23
3176.T,844.0,2026-07-23
7677.T,2704.0,2026-07-22
8084.T,3905.0,2026-07-23
8844.T,1356.0,2026-07-23
4119.T,5820.0,2026-07-23
7602.T,163.0,2026-07-23
7551.T,690.0,2026-07-23
3321.T,1545.0,2026-07-23
6165.T,501.0,2026-07-23
9820.T,3720.0,2026-07-23
3513.T,3445.0,2026-07-23
4308.T,367.0,2026-07-23
6149.T,2173.0,2026-07-23
7681.T,976.0,2026-07-23
1768.T,1084.0,2026-07-23
6418.T,1079.0,2026-07-23
7265.T,3830.0,2026-07-23
6091.T,928.0,2026-07-23
7235.T,1565.0,2026-07-23
8045.T,2106.0,2026-07-23
548A.T,978.0,2026-07-23
6118.T,1209.0,2026-07-23
6730.T,1133.0,2026-07-23
6245.T,1650.0,2026-07-23
6858.T,880.0,2026-07-23
8103.T,913.0,2026-07-23
5871.T,1370.0,2026-07-23
3577.T,932.0,2026-07-23
7446.T,4795.0,2026-07-23
3674.T,322.0,2026-07-23
4301.T,1892.0,2026-07-23
5464.T,958.0,2026-07-23
7544.T,562.0,2026-07-23
8700.T,1985.0,2026-07-23
