コード,増収(年),増益(年),増収増益(年),売上トレンド
8135.T,3,1,1,448 → 499 → 520 → 553(億)
3320.T,0,1,0,571 → 602 → 620 → 599(億)
9854.T,3,2,2,138 → 142 → 147 → 149(億)
3426.T,0,0,0,96 → 100 → 104 → 102(億)
5541.T,0,0,0,571 → 349 → 155 → 132(億)
6393.T,2,1,1,292 → 287 → 295 → 335(億)
4629.T,1,0,0,313 → 344 → 325 → 347(億)
5971.T,0,0,0,117 → 132 → 110 → 105(億)
7531.T,0,1,0,576 → 626 → 515 → 500(億)
4569.T,3,3,3,1055 → 1133 → 1195 → 1301(億)
7434.T,3,1,1,266 → 293 → 313 → 330(億)
3246.T,1,1,1,110 → 102 → 76 → 100(億)
6342.T,0,0,0,49 → 64 → 88 → 79(億)
5984.T,1,1,1,197 → 211 → 201 → 202(億)
5697.T,3,1,1,211 → 239 → 240 → 244(億)
3420.T,2,0,0,260 → 226 → 251 → 261(億)
1850.T,3,1,1,372 → 424 → 436 → 529(億)
7937.T,3,3,3,165 → 181 → 199 → 248(億)
4224.T,3,0,0,181 → 196 → 210 → 214(億)
4705.T,2,0,0,32 → 29 → 30 → 30(億)
7670.T,0,3,0,569 → 643 → 710 → 694(億)
6694.T,0,0,0,132 → 179 → 181 → 174(億)
2795.T,3,0,0,59 → 62 → 69 → 71(億)
3758.T,0,1,0,206 → 227 → 192 → 165(億)
5951.T,1,1,1,211 → 212 → 197 → 199(億)
7435.T,1,0,0,346 → 362 → 344 → 369(億)
7422.T,0,0,0,64 → 51 → 51 → 45(億)
3236.T,3,3,3,177 → 200 → 233 → 278(億)
5819.T,1,1,1,112 → 129 → 124 → 131(億)
3161.T,0,1,0,95 → 91 → 82 → 80(億)
7175.T,0,0,0,45 → 38 → 48 → 42(億)
5946.T,1,0,0,498 → 485 → 461 → 465(億)
8938.T,1,1,1,25 → 18 → 12 → 20(億)
6292.T,0,0,0,184 → 188 → 245 → 208(億)
3668.T,0,1,0,325 → 308 → 260 → 259(億)
6748.T,3,0,0,234 → 238 → 252 → 254(億)
9972.T,0,0,0,163 → 178 → 182 → 176(億)
6335.T,0,1,0,69 → 88 → 93 → 74(億)
7021.T,3,0,0,79 → 80 → 83 → 99(億)
2814.T,3,0,0,56 → 59 → 61 → 64(億)
6899.T,1,0,0,588 → 649 → 636 → 654(億)
7997.T,0,1,0,69 → 72 → 72 → 63(億)
4360.T,0,0,0,107 → 119 → 97 → 93(億)
5187.T,3,0,0,123 → 126 → 130 → 136(億)
5446.T,0,1,0,274 → 310 → 318 → 287(億)
3632.T,0,0,0,749 → 754 → 613 → 571(億)
6718.T,3,0,0,520 → 528 → 613 → 633(億)
9876.T,0,0,0,149 → 149 → 153 → 150(億)
8869.T,3,1,1,572 → 623 → 712 → 799(億)
5282.T,2,0,0,309 → 252 → 269 → 285(億)
3537.T,1,2,1,211 → 245 → 226 → 250(億)
8595.T,2,1,1,277 → 141 → 244 → 297(億)
6497.T,2,1,1,112 → 111 → 121 → 127(億)
2168.T,0,0,0,3661 → 3726 → 3567 → 3092(億)
7264.T,0,0,0,205 → 218 → 237 → 226(億)
5079.T,0,1,0,354 → 319 → 344 → 275(億)
7122.T,0,0,0,393 → 359 → 432 → 303(億)
8281.T,3,0,0,2233 → 2393 → 2424 → 2506(億)
3765.T,0,0,0,1055 → 1253 → 1036 → 932(億)
1853.T,2,2,2,313 → 246 → 276 → 295(億)
7218.T,0,0,0,297 → 342 → 425 → 405(億)
7908.T,0,0,0,96 → 99 → 113 → 105(億)
4627.T,2,2,2,204 → 202 → 208 → 223(億)
4243.T,1,2,1,45 → 45 → 44 → 44(億)
4625.T,3,0,0,111 → 114 → 121 → 123(億)
7521.T,1,1,1,362 → 371 → 331 → 374(億)
5986.T,0,2,0,276 → 363 → 508 → 505(億)
6743.T,2,1,1,222 → 195 → 208 → 219(億)
6150.T,0,0,0,44 → 47 → 55 → 49(億)
7975.T,0,0,0,85 → 88 → 92 → 91(億)
5966.T,3,0,0,79 → 84 → 84 → 90(億)
3477.T,1,1,1,124 → 141 → 140 → 148(億)
7464.T,2,0,0,103 → 100 → 101 → 103(億)
4365.T,3,0,0,372 → 396 → 415 → 431(億)
3639.T,0,2,0,69 → 54 → 43 → 35(億)
7865.T,0,1,0,74 → 54 → 19 → 16(億)
2491.T,0,0,0,357 → 294 → 304 → 242(億)
5078.T,0,0,0,214 → 231 → 239 → 202(億)
3054.T,3,3,3,106 → 114 → 124 → 138(億)
3297.T,1,1,1,75 → 77 → 73 → 82(億)
5915.T,0,2,0,296 → 397 → 554 → 406(億)
8584.T,3,0,0,1641 → 1735 → 1848 → 1910(億)
7279.T,0,3,0,2556 → 2986 → 3084 → 3041(億)
9895.T,0,0,0,101 → 97 → 104 → 103(億)
6159.T,1,1,1,52 → 52 → 47 → 58(億)
2489.T,0,1,0,134 → 135 → 127 → 122(億)
8159.T,0,0,0,1934 → 2273 → 2310 → 2201(億)
3954.T,1,2,1,216 → 223 → 217 → 233(億)
143A.T,3,2,2,10 → 11 → 13 → 14(億)
4644.T,1,1,1,63 → 66 → 60 → 65(億)
3710.T,0,2,0,27 → 30 → 29 → 28(億)
8076.T,3,2,2,1165 → 1517 → 1725 → 1730(億)
7486.T,0,3,0,302 → 328 → 320 → 308(億)
7985.T,0,0,0,75 → 80 → 78 → 73(億)
7957.T,0,0,0,99 → 82 → 90 → 85(億)
3131.T,2,1,1,435 → 419 → 423 → 437(億)
5969.T,0,0,0,61 → 60 → 59 → 57(億)
7885.T,0,0,0,227 → 230 → 252 → 240(億)
3134.T,3,2,2,134 → 140 → 176 → 229(億)
6325.T,0,0,0,70 → 77 → 85 → 70(億)
6797.T,0,2,0,174 → 180 → 176 → 173(億)
7628.T,3,1,1,325 → 350 → 392 → 400(億)
6276.T,0,0,0,17 → 23 → 23 → 21(億)
7472.T,1,1,1,297 → 295 → 284 → 316(億)
6151.T,1,0,0,253 → 281 → 271 → 273(億)
7537.T,0,1,0,1678 → 2262 → 2365 → 2108(億)
6820.T,3,0,0,283 → 342 → 371 → 375(億)
2221.T,3,1,1,180 → 204 → 220 → 250(億)
8141.T,0,0,0,1352 → 1791 → 1758 → 1160(億)
3583.T,2,1,1,55 → 53 → 54 → 60(億)
9932.T,3,1,1,431 → 456 → 466 → 495(億)
6778.T,0,0,0,41 → 45 → 41 → 28(億)
4170.T,0,1,0,27 → 43 → 45 → 44(億)
5945.T,1,1,1,144 → 135 → 119 → 131(億)
6158.T,1,0,0,65 → 76 → 75 → 76(億)
3386.T,2,1,1,96 → 93 → 100 → 108(億)
3892.T,3,0,0,101 → 109 → 115 → 115(億)
3944.T,0,1,0,171 → 179 → 181 → 179(億)
7928.T,1,0,0,107 → 87 → 83 → 84(億)
2497.T,0,0,0,127 → 131 → 126 → 120(億)
3851.T,0,0,0,57 → 48 → 53 → 53(億)
3895.T,3,0,0,109 → 121 → 132 → 134(億)
9867.T,3,3,3,227 → 238 → 252 → 280(億)
5997.T,1,0,0,106 → 119 → 117 → 119(億)
7953.T,0,0,0,222 → 224 → 224 → 214(億)
5363.T,3,3,3,259 → 287 → 300 → 319(億)
1887.T,0,1,0,1268 → 1542 → 1357 → 1233(億)
1793.T,0,2,0,713 → 945 → 831 → 701(億)
7872.T,0,1,0,300 → 296 → 317 → 313(億)
3417.T,3,3,3,2782 → 3044 → 3347 → 3495(億)
3277.T,0,1,0,155 → 233 → 256 → 233(億)
6349.T,3,1,1,876 → 979 → 1043 → 1110(億)
7614.T,3,0,0,315 → 321 → 328 → 354(億)
8075.T,3,0,0,4944 → 5849 → 5914 → 6172(億)
6360.T,0,3,0,88 → 133 → 135 → 129(億)
9414.T,0,0,0,123 → 124 → 122 → 118(億)
6907.T,1,1,1,58 → 58 → 46 → 53(億)
3641.T,0,0,0,207 → 186 → 172 → 158(億)
2654.T,0,0,0,188 → 197 → 205 → 205(億)
1376.T,1,1,1,607 → 622 → 616 → 645(億)
3953.T,3,0,0,50 → 54 → 57 → 59(億)
5440.T,1,0,0,2927 → 3557 → 3210 → 3228(億)
4829.T,0,0,0,40 → 42 → 47 → 44(億)
2449.T,3,1,1,63 → 66 → 69 → 74(億)
6358.T,0,0,0,266 → 315 → 330 → 279(億)
5958.T,0,0,0,245 → 283 → 305 → 295(億)
3597.T,0,0,0,179 → 170 → 177 → 169(億)
8093.T,3,3,3,397 → 427 → 437 → 530(億)
5388.T,3,2,2,153 → 153 → 157 → 157(億)
4548.T,2,0,0,349 → 335 → 362 → 394(億)
