コード,銘柄名,ネットキャッシュ比率,ネットキャッシュ(億円),時価総額(億円),流動資産,投資有価証券,負債,決算期,市場
3710.T,ジョルダン,1.093,34.3,31.4,4044054000,407747000,899577000,2025-09-30,スタンダード（内国株式）
2489.T,アドウェイズ,1.093,114.5,104.7,18112564000,2397201000,8337522000,2025-12-31,スタンダード（内国株式）
5969.T,ロブテックス,1.092,24.5,22.4,5757545000,657409000,3769445000,2025-03-31,スタンダード（内国株式）
6325.T,タカキタ,1.089,49.3,45.3,6193221000,829267000,1840051000,2025-03-31,スタンダード（内国株式）
3134.T,Ｈａｍｅｅ,1.087,70.3,64.6,13421855000,10934000,6402470000,2025-04-30,スタンダード（内国株式）
6276.T,シリウスビジョン,1.082,15.3,14.1,2086906000,331762000,791444000,2025-12-31,スタンダード（内国株式）
6797.T,名古屋電機工業,1.076,148.0,137.5,19146575000,1133113000,5137945000,2025-03-31,スタンダード（内国株式）
7472.T,鳥羽洋行,1.075,152.1,141.4,23284672000,2382540000,9746401000,2025-03-31,スタンダード（内国株式）
2221.T,岩塚製菓,1.072,334.8,312.4,12112581000,63601080000,23152551000,2025-03-31,スタンダード（内国株式）
3583.T,オーベクス,1.068,35.4,33.1,6585675000,124970000,3135049000,2025-03-31,スタンダード（内国株式）
6778.T,アルチザネットワークス,1.066,58.9,55.2,7688448000,190431000,1934995000,2024-07-31,スタンダード（内国株式）
5945.T,天龍製鋸,1.062,236.2,222.4,20398926000,9227377000,3239007000,2025-03-31,スタンダード（内国株式）
3386.T,コスモ・バイオ,1.059,74.0,69.9,7441000000,3809000000,2707000000,2025-12-31,スタンダード（内国株式）
9867.T,ソレキア,1.058,92.3,87.2,19974578000,596453000,11164744000,2025-03-31,スタンダード（内国株式）
3895.T,ハビックス,1.057,34.0,32.1,8335434000,149601000,5044246000,2025-03-31,スタンダード（内国株式）
3944.T,古林紙工,1.057,27.5,26.0,8777522000,5021011000,9544703000,2025-12-31,スタンダード（内国株式）
7928.T,旭化学工業,1.057,19.3,18.2,3157478000,224952000,1387170000,2025-08-31,スタンダード（内国株式）
6158.T,和井田製作所,1.052,68.3,65.0,8794513000,410023000,2247052000,2025-03-31,スタンダード（内国株式）
2497.T,ユナイテッド,1.052,196.2,186.5,21741732000,1364021000,3072192000,2025-03-31,グロース（内国株式）
3851.T,日本一ソフトウェア,1.051,44.0,41.9,6868170000,1174718000,3286016000,2025-03-31,スタンダード（内国株式）
1793.T,大本組,1.049,489.5,466.7,67344000000,9825000000,25276000000,2025-03-31,スタンダード（内国株式）
4170.T,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,1.049,23.7,22.6,3580365000,112361000,1286436000,2025-12-31,グロース（内国株式）
7953.T,菊水化学工業,1.046,50.3,48.1,10348348000,1750100000,6538900000,2025-03-31,スタンダード（内国株式）
5363.T,東京窯業,1.044,331.8,317.7,36309679000,12379783000,11798096000,2025-03-31,スタンダード（内国株式）
5997.T,協立エアテック,1.037,40.3,38.8,8992428000,1247785000,5838602000,2025-12-31,スタンダード（内国株式）
7614.T,オーエムツーネットワーク,1.036,106.5,102.8,14120473000,2590246000,5280970000,2026-01-31,スタンダード（内国株式）
7872.T,エステールホールディングス,1.035,64.4,62.2,23921000000,226000000,17637000000,2025-03-31,スタンダード（内国株式）
5958.T,三洋工業,1.026,121.5,118.5,20362000000,1027000000,8926000000,2025-03-31,スタンダード（内国株式）
3953.T,大村紙業,1.025,27.1,26.4,4539299000,237097000,1997052000,2025-03-31,スタンダード（内国株式）
3277.T,サンセイランディック,1.022,107.8,105.5,37831747000,106951000,27127157000,2025-12-31,スタンダード（内国株式）
3641.T,パピレス,1.021,82.1,80.4,11869000000,66000000,3705000000,2025-03-31,スタンダード（内国株式）
6360.T,東京自働機械製作所,1.019,60.8,59.6,9860141000,3762982000,6416423000,2025-03-31,スタンダード（内国株式）
6907.T,ジオマテック,1.019,53.8,52.8,10744295000,2703479000,7253931000,2025-03-31,スタンダード（内国株式）
1376.T,カネコ種苗,1.018,155.6,152.9,38277060000,2264370000,24306507000,2025-05-31,スタンダード（内国株式）
2449.T,プラップジャパン,1.018,47.8,46.9,5958117000,323047000,1408117000,2025-08-31,スタンダード（内国株式）
2654.T,アスモ,1.016,54.7,53.9,8158413000,1000,2685097000,2025-03-31,スタンダード（内国株式）
9414.T,日本ＢＳ放送,1.012,165.8,163.9,17223341000,2615358000,2472171000,2025-08-31,スタンダード（内国株式）
3417.T,大木ヘルスケアホールディングス,1.009,157.9,156.5,115908000000,11670000000,108287000000,2025-03-31,スタンダード（内国株式）
3597.T,自重堂,1.007,298.8,296.8,30372328000,3990891000,3288040000,2024-06-30,スタンダード（内国株式）
7885.T,タカノ,1.007,203.7,202.3,24405180000,3607813000,6563287000,2025-03-31,スタンダード（内国株式）
5388.T,クニミネ工業,1.006,150.5,149.7,17399744000,1631810000,3487549000,2025-03-31,スタンダード（内国株式）
4829.T,日本エンタープライズ,1.003,42.1,42.0,4711295000,279940000,694661000,2025-05-31,スタンダード（内国株式）
6485.T,前澤給装工業,0.988,287.7,291.3,29934000000,7262000000,6246000000,2025-03-31,スタンダード（内国株式）
8123.T,川辺,0.987,24.0,24.3,6912100000,1154883000,5319757000,2025-03-31,スタンダード（内国株式）
7859.T,アルメディオ,0.984,60.3,61.3,7514795000,0,1483212000,2025-03-31,スタンダード（内国株式）
1905.T,テノックス,0.984,95.8,97.3,16957282000,572862000,7781731000,2025-03-31,スタンダード（内国株式）
5304.T,ＳＥＣカーボン,0.981,506.4,516.4,45824000000,17724000000,7595000000,2025-03-31,スタンダード（内国株式）
7896.T,セブン工業,0.98,21.7,22.1,6782000000,26000000,4630000000,2025-03-31,スタンダード（内国株式）
5368.T,日本インシュレーション,0.979,78.9,80.6,11543141000,662158000,4112031000,2025-03-31,スタンダード（内国株式）
3958.T,笹徳印刷,0.971,29.5,30.3,6191462000,3863421000,5949291000,2024-06-30,スタンダード（内国株式）
7677.T,ヤシマキザイ,0.97,72.6,74.8,21796823000,2128210000,16030302000,2025-03-31,スタンダード（内国株式）
6482.T,ＹＵＳＨＩＮ,0.969,212.7,219.4,26420335000,559944000,5546996000,2025-03-31,スタンダード（内国株式）
3513.T,イチカワ,0.968,117.6,121.6,14991000000,5682000000,7204000000,2025-03-31,スタンダード（内国株式）
6919.T,ケル,0.96,97.9,101.9,11541717000,2321180000,3380815000,2025-03-31,スタンダード（内国株式）
9425.T,ＲｅＹｕｕ　Ｊａｐａｎ,0.958,13.1,13.6,2205838000,0,899773000,2025-10-31,スタンダード（内国株式）
8844.T,コスモスイニシア,0.957,391.5,409.1,164599000000,1543000000,126531000000,2025-03-31,スタンダード（内国株式）
7565.T,萬世電機,0.957,93.9,98.1,17177140000,1259383000,8672067000,2025-03-31,スタンダード（内国株式）
2999.T,ホームポジション,0.957,51.0,53.4,13808662000,0,8704185000,2025-08-31,スタンダード（内国株式）
7551.T,ウェッズ,0.954,103.0,107.9,16906578000,635005000,7053486000,2025-03-31,スタンダード（内国株式）
9820.T,エムティジェネックス,0.953,35.9,37.7,4563167000,30000000,992694000,2025-03-31,スタンダード（内国株式）
2700.T,木徳神糧,0.947,139.3,147.2,46305137000,4582004000,35578266000,2025-12-31,スタンダード（内国株式）
7265.T,エイケン工業,0.945,36.7,38.8,4922371000,671391000,1727066000,2025-10-31,スタンダード（内国株式）
4119.T,日本ピグメントホールディングス,0.943,87.3,92.6,25205310000,9069841000,22825288000,2025-03-31,スタンダード（内国株式）
4308.T,Ｊストリーム,0.942,83.2,88.3,10439180000,8698000,2127075000,2025-03-31,グロース（内国株式）
3321.T,ミタチ産業,0.942,136.5,144.8,37918528000,69644000,24321522000,2025-05-31,スタンダード（内国株式）
6245.T,ヒラノテクシード,0.937,281.9,300.8,48505434000,4481501000,23452752000,2025-03-31,スタンダード（内国株式）
6091.T,ウエスコホールディングス,0.935,104.1,111.3,13454657000,2197692000,4582471000,2024-07-31,スタンダード（内国株式）
7235.T,東京ラヂエーター製造,0.935,134.2,143.6,21122106000,1806728000,8967336000,2025-03-31,スタンダード（内国株式）
8045.T,横浜丸魚,0.933,90.5,97.0,7326266000,13675446000,7850430000,2025-03-31,スタンダード（内国株式）
6730.T,アクセル,0.931,119.1,127.8,12411000000,2179000000,2029000000,2025-03-31,スタンダード（内国株式）
6165.T,パンチ工業,0.931,134.6,144.6,23518000000,1248000000,10936000000,2025-03-31,スタンダード（内国株式）
8152.T,ソマール,0.93,136.1,146.3,22733389000,2388151000,10799276000,2025-03-31,スタンダード（内国株式）
