コード,銘柄名,ネットキャッシュ比率,ネットキャッシュ(億円),時価総額(億円),流動資産,投資有価証券,負債,決算期,市場
6291.T,日本エアーテック,0.616,77.2,125.3,12458436000,517767000,5104329000,2025-12-31,スタンダード（内国株式）
3627.T,テクミラホールディングス,0.616,21.4,34.8,6029885000,799594000,4448667000,2025-02-28,スタンダード（内国株式）
9441.T,ベルパーク,0.616,210.8,342.4,34947485000,3970219000,16646855000,2025-12-31,スタンダード（内国株式）
4883.T,モダリス,0.614,27.2,44.3,2892272000,0,170944000,2025-12-31,グロース（内国株式）
9780.T,ハリマビステム,0.614,50.0,81.4,9467116000,1607920000,5596297000,2025-03-31,スタンダード（内国株式）
4247.T,ポバール興業,0.614,20.6,33.5,3013957000,681271000,1434715000,2025-03-31,スタンダード（内国株式）
5939.T,大谷工業,0.612,23.6,38.6,5754258000,137865000,3487283000,2025-03-31,スタンダード（内国株式）
6863.T,ニレコ,0.611,116.8,191.3,13267998000,1560952000,2679666000,2025-03-31,スタンダード（内国株式）
4270.T,ＢｅｅＸ,0.61,28.2,46.3,5520712000,0,2696245000,2026-02-28,グロース（内国株式）
7477.T,ムラキ,0.61,15.8,25.9,2685065000,222936000,1262813000,2025-03-31,スタンダード（内国株式）
3355.T,クリヤマホールディングス,0.609,189.2,310.6,52021187000,10631877000,40538631000,2025-12-31,スタンダード（内国株式）
6286.T,靜甲,0.609,57.3,94.1,15544587000,2736492000,11731423000,2025-03-31,スタンダード（内国株式）
3529.T,アツギ,0.607,102.4,168.6,16832000000,3702000000,9184000000,2025-03-31,スタンダード（内国株式）
1828.T,田辺工業,0.601,142.5,237.2,35010887000,330657000,20988127000,2025-03-31,スタンダード（内国株式）
5619.T,マーソ,0.6,18.4,30.6,1928728000,109759000,167501000,2025-12-31,グロース（内国株式）
4287.T,ジャストプランニング,0.6,33.7,56.3,3780756000,11698000,415123000,2026-01-31,スタンダード（内国株式）
5982.T,マルゼン,0.598,348.8,582.8,54554142000,3687242000,22255665000,2026-02-28,スタンダード（内国株式）
2185.T,シイエム・シイ,0.598,139.9,234.1,17951665000,1796858000,5218504000,2025-09-30,スタンダード（内国株式）
8018.T,三共生興,0.596,193.8,325.2,16212000000,31166000000,18645000000,2025-03-31,スタンダード（内国株式）
6322.T,タクミナ,0.596,64.8,108.8,9595059000,1888491000,4432216000,2025-03-31,スタンダード（内国株式）
9344.T,アクシスコンサルティング,0.594,27.9,47.0,3982000000,0,1191000000,2025-06-30,グロース（内国株式）
3825.T,リミックスポイント,0.593,162.7,274.2,18657000000,350000000,2633000000,2025-03-31,スタンダード（内国株式）
4265.T,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,0.593,6.7,11.3,678886000,82315000,64029000,2025-03-31,グロース（内国株式）
6125.T,岡本工作機械製作所,0.592,212.5,358.9,47214000000,404000000,26242000000,2025-03-31,スタンダード（内国株式）
1914.T,日本基礎技術,0.59,77.6,131.5,12560958000,5754158000,8826400000,2025-03-31,スタンダード（内国株式）
7713.T,シグマ光機,0.589,101.0,171.3,11943814000,1031780000,2571044000,2025-05-31,スタンダード（内国株式）
3698.T,ＣＲＩ・ミドルウェア,0.588,33.8,57.5,4957289000,239212000,1741787000,2025-09-30,スタンダード（内国株式）
6912.T,菊水ホールディングス,0.588,102.7,174.6,11589028000,2950652000,3387886000,2025-03-31,スタンダード（内国株式）
7079.T,ＷＤＢココ,0.586,36.1,61.5,4895010000,0,1289591000,2025-03-31,グロース（内国株式）
3421.T,稲葉製作所,0.586,160.8,274.7,31519407000,2197566000,16972759000,2024-07-31,スタンダード（内国株式）
8085.T,ナラサキ産業,0.584,119.9,205.2,39001000000,3952000000,29781000000,2025-03-31,スタンダード（内国株式）
8029.T,ルックホールディングス,0.583,114.4,196.1,30740000000,6119000000,23587000000,2025-12-31,スタンダード（内国株式）
4434.T,サーバーワークス,0.583,88.5,152.0,15222436000,3806775000,9033359000,2025-02-28,スタンダード（内国株式）
4767.T,テー・オー・ダブリュー,0.582,86.9,149.3,12255082000,1092362000,4327510000,2025-06-30,スタンダード（内国株式）
7807.T,幸和製作所,0.581,20.5,35.3,3849238000,122933000,1883295000,2025-02-28,スタンダード（内国株式）
5576.T,オービーシステム,0.581,39.9,68.6,3937021000,2011747000,1357424000,2025-03-31,スタンダード（内国株式）
4376.T,くふうカンパニーホールディングス,0.581,59.2,101.9,12769000000,0,6849000000,2025-09-30,グロース（内国株式）
4978.T,リプロセル,0.581,72.9,125.4,4896441000,4403537000,685809000,2025-03-31,グロース（内国株式）
4752.T,昭和システムエンジニアリング,0.581,37.4,64.4,6762192000,447466000,3334116000,2025-03-31,スタンダード（内国株式）
5237.T,ノザワ,0.581,78.9,135.8,14929249000,3614424000,9574133000,2025-03-31,スタンダード（内国株式）
4524.T,森下仁丹,0.581,51.4,88.6,8187000000,3856000000,5744000000,2025-03-31,スタンダード（内国株式）
3940.T,ノムラシステムコーポレーション,0.58,31.7,54.6,3418575000,285000000,451508000,2025-12-31,スタンダード（内国株式）
6336.T,石井表記,0.58,55.8,96.2,10756000000,136000000,5274000000,2026-01-31,スタンダード（内国株式）
2612.T,かどや製油,0.579,236.5,408.7,30369000000,2213000000,8271000000,2025-03-31,スタンダード（内国株式）
3841.T,ジーダット,0.579,25.2,43.5,3107601000,132121000,679107000,2025-03-31,スタンダード（内国株式）
7254.T,ユニバンス,0.578,87.0,150.5,23784526000,4524190000,18249310000,2025-03-31,スタンダード（内国株式）
4372.T,ユミルリンク,0.577,25.2,43.6,3092037000,0,575604000,2025-12-31,グロース（内国株式）
9651.T,日本プロセス,0.577,96.4,167.0,11909262000,1587423000,3384962000,2025-05-31,スタンダード（内国株式）
9258.T,ＣＳ－Ｃ,0.576,12.3,21.4,2290175000,0,1058353000,2025-09-30,グロース（内国株式）
3768.T,リスクモンスター,0.576,23.8,41.3,2567213000,1387142000,1157090000,2025-03-31,スタンダード（内国株式）
3624.T,アクセルマーク,0.576,6.3,11.0,1093831000,84865000,520920000,2025-09-30,グロース（内国株式）
6824.T,新コスモス電機,0.576,321.8,559.2,42910272000,7568157000,16027167000,2025-03-31,スタンダード（内国株式）
6239.T,ナガオカ,0.575,52.9,92.1,7700966000,152200000,2515879000,2025-06-30,スタンダード（内国株式）
8918.T,ランド,0.575,88.5,153.8,9932167000,45000000,1114353000,2025-02-28,スタンダード（内国株式）
6493.T,ＮＩＴＴＡＮ,0.573,83.3,145.5,31532615000,7664081000,28567528000,2025-03-31,スタンダード（内国株式）
4240.T,クラスターテクノロジー,0.573,11.4,19.8,1320313000,0,184388000,2025-03-31,スタンダード（内国株式）
6082.T,ライドオンエクスプレスホールディングス,0.573,54.9,95.8,8709499000,2497131000,4966526000,2025-03-31,スタンダード（内国株式）
9345.T,ビズメイツ,0.573,10.7,18.6,1834975000,0,766934000,2025-12-31,グロース（内国株式）
5356.T,美濃窯業,0.572,76.4,133.4,12939781000,2177854000,6828997000,2025-03-31,スタンダード（内国株式）
6989.T,北陸電気工業,0.572,111.4,195.0,30625000000,1431000000,20483000000,2025-03-31,スタンダード（内国株式）
4840.T,トライアイズ,0.572,41.5,72.5,4728558000,36657000,606708000,2025-12-31,スタンダード（内国株式）
3020.T,アプライド,0.571,63.6,111.4,14565000000,33000000,8228000000,2025-03-31,スタンダード（内国株式）
7114.T,フーディソン,0.57,19.7,34.5,2893110000,0,925322000,2025-03-31,グロース（内国株式）
4998.T,フマキラー,0.57,108.8,191.0,44502000000,5177000000,37248000000,2025-03-31,スタンダード（内国株式）
9476.T,中央経済社ホールディングス,0.569,22.2,39.1,3694260000,373550000,1731896000,2025-09-30,スタンダード（内国株式）
5950.T,日本パワーファスニング,0.569,11.4,20.1,4221248000,323705000,3302894000,2025-12-31,スタンダード（内国株式）
6998.T,日本タングステン,0.569,62.8,110.4,10145000000,1730000000,5072000000,2025-03-31,スタンダード（内国株式）
9376.T,ユーラシア旅行社,0.567,15.9,28.0,2738228000,324254000,1374674000,2025-09-30,スタンダード（内国株式）
3461.T,パルマ,0.567,21.9,38.6,3552049000,5481000,1370413000,2025-09-30,スタンダード（内国株式）
6874.T,協立電機,0.566,126.7,223.8,22749422000,2142983000,11581942000,2025-06-30,スタンダード（内国株式）
7050.T,フロンティアインターナショナル,0.566,68.1,120.3,11861924000,567931000,5453252000,2025-04-30,グロース（内国株式）
4172.T,Ｈｉクラテス,0.565,28.2,49.8,2442113000,1284780000,525850000,2025-09-30,スタンダード（内国株式）
6137.T,小池酸素工業,0.565,202.3,357.8,41686000000,11019000000,29167000000,2025-03-31,スタンダード（内国株式）
2415.T,ヒューマンホールディングス,0.565,92.3,163.2,41590435000,409201000,32647693000,2025-03-31,スタンダード（内国株式）
4394.T,エクスモーション,0.564,14.7,26.0,1655295000,0,187929000,2025-11-30,グロース（内国株式）
1966.T,高田工業所,0.562,68.0,120.9,31101353000,410662000,24592853000,2025-03-31,スタンダード（内国株式）
5990.T,スーパーツール,0.561,26.0,46.3,5384456000,421109000,3079924000,2025-03-31,スタンダード（内国株式）
1450.T,ＴＡＮＡＫＥＮ,0.56,69.6,124.3,9949416000,241968000,3160179000,2025-03-31,スタンダード（内国株式）
8887.T,シーラホールディングス,0.56,72.0,128.6,12399000000,688194000,5682453000,2025-05-31,スタンダード（内国株式）
4017.T,クリーマ,0.56,8.2,14.6,3076699000,0,2261305000,2025-02-28,グロース（内国株式）
4093.T,東邦アセチレン,0.558,77.9,139.5,19489581000,2210125000,13249629000,2025-03-31,スタンダード（内国株式）
1787.T,ナカボーテック,0.557,72.3,129.7,10365854000,394880000,3415589000,2025-03-31,スタンダード（内国株式）
5273.T,三谷セキサン,0.557,602.9,1081.9,72884000000,31563000000,34693000000,2025-03-31,スタンダード（内国株式）
3965.T,キャピタル・アセット・プランニング,0.555,26.2,47.3,4677662000,920901000,2700410000,2025-09-30,スタンダード（内国株式）
2750.T,石光商事,0.555,55.4,99.8,29996945000,1241387000,25330197000,2025-03-31,スタンダード（内国株式）
6635.T,大日光・エンジニアリング,0.554,30.5,55.0,23199904000,660759000,20616851000,2025-12-31,スタンダード（内国株式）
4378.T,ＣＩＮＣ,0.553,7.5,13.5,1071280000,0,324354000,2025-10-31,グロース（内国株式）
5138.T,Ｒｅｂａｓｅ,0.551,11.9,21.6,1720024000,72889000,581848000,2025-03-31,グロース（内国株式）
2186.T,ソーバル,0.55,39.2,71.4,5272968000,0,1351923000,2026-02-28,スタンダード（内国株式）
2493.T,イーサポートリンク,0.55,22.2,40.4,4264456000,508413000,2398204000,2025-11-30,スタンダード（内国株式）
3490.T,アズ企画設計,0.548,23.3,42.5,12588127000,30145000,10281754000,2025-02-28,スタンダード（内国株式）
2722.T,ＩＫホールディングス,0.546,15.5,28.3,5217025000,24428000,3688999000,2025-05-31,スタンダード（内国株式）
7222.T,日産車体,0.545,810.9,1488.6,174219000000,324000000,93354000000,2025-03-31,スタンダード（内国株式）
8927.T,明豊エンタープライズ,0.545,70.9,130.1,26639019000,32712000,19572497000,2025-07-31,スタンダード（内国株式）
3598.T,山喜,0.544,12.5,23.0,8225363000,104025000,7048728000,2025-03-31,スタンダード（内国株式）
3059.T,ヒラキ,0.544,19.0,34.9,10317122000,126497000,8506160000,2025-03-31,スタンダード（内国株式）
5018.T,ＭＯＲＥＳＣＯ,0.544,99.5,183.1,23129000000,894000000,13800000000,2026-02-28,スタンダード（内国株式）
6662.T,ユビテック,0.543,17.3,31.9,2089108000,0,354993000,2024-06-30,スタンダード（内国株式）
6307.T,サンセイ,0.542,19.2,35.4,3470248000,251380000,1724835000,2025-03-31,スタンダード（内国株式）
6888.T,アクモス,0.542,28.9,53.3,4587275000,19484000,1711654000,2025-06-30,スタンダード（内国株式）
9856.T,ケーユーホールディングス,0.541,196.9,364.0,43695000000,1100000000,24773000000,2025-03-31,スタンダード（内国株式）
1967.T,ヤマト,0.54,257.1,475.7,34739278000,12255933000,17611370000,2025-03-31,スタンダード（内国株式）
2122.T,インタースペース,0.538,42.6,79.3,9476605000,472798000,5545116000,2025-09-30,スタンダード（内国株式）
9709.T,ＮＣＳ＆Ａ,0.537,109.3,203.4,17250339000,1100280000,7094056000,2025-03-31,スタンダード（内国株式）
2916.T,仙波糖化工業,0.535,43.2,80.8,11173971000,2789526000,8802559000,2025-03-31,スタンダード（内国株式）
1382.T,ホーブ,0.534,6.2,11.7,936566000,0,313482000,2025-06-30,スタンダード（内国株式）
1992.T,神田通信機,0.533,33.6,63.0,5313860000,2018540000,3370134000,2025-03-31,スタンダード（内国株式）
4178.T,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,0.533,10.6,19.8,1778866000,0,720444000,2025-12-31,グロース（内国株式）
7803.T,ブシロード,0.531,181.8,342.3,39250764000,5005088000,24575175000,2025-06-30,グロース（内国株式）
7863.T,平賀,0.531,14.1,26.4,3981806000,687355000,3057481000,2025-03-31,スタンダード（内国株式）
7927.T,ムトー精工,0.531,84.1,158.2,19910168000,303414000,11717345000,2025-03-31,スタンダード（内国株式）
2152.T,幼児活動研究会,0.531,83.7,157.7,9642344000,2773596000,3213281000,2025-03-31,スタンダード（内国株式）
6677.T,エスケーエレクトロニクス,0.531,176.5,332.2,24551072000,1468041000,7928353000,2025-09-30,スタンダード（内国株式）
4977.T,新田ゼラチン,0.53,119.6,225.5,24845000000,3073000000,15041000000,2025-03-31,スタンダード（内国株式）
6663.T,太洋テクノレックス,0.53,10.9,20.6,2604667000,514537000,1872564000,2025-12-31,スタンダード（内国株式）
6932.T,遠藤照明,0.53,195.2,368.2,43072000000,93000000,23617000000,2025-03-31,スタンダード（内国株式）
9225.T,ブリッジコンサルティンググループ,0.528,10.7,20.3,1413232000,64749000,385558000,2025-09-30,グロース（内国株式）
6198.T,キャリア,0.527,10.2,19.3,3459819000,10396000,2451862000,2025-09-30,グロース（内国株式）
6466.T,ＴＶＥ,0.527,50.0,94.8,7352676000,2329789000,3987020000,2025-09-30,スタンダード（内国株式）
7673.T,ダイコー通産,0.527,47.9,90.9,13054536000,1297835000,9175128000,2025-05-31,スタンダード（内国株式）
4882.T,ペルセウスプロテオミクス,0.527,13.9,26.3,1775974000,0,386430000,2025-03-31,グロース（内国株式）
4881.T,ファンペップ,0.526,14.4,27.4,1934954000,29970000,516727000,2025-12-31,グロース（内国株式）
5660.T,神鋼鋼線工業,0.526,57.3,108.8,24471000000,1883000000,20061000000,2025-03-31,スタンダード（内国株式）
8508.T,Ｊトラスト,0.525,532.1,1013.8,1059205000000,187048000000,1136929000000,2025-12-31,スタンダード（内国株式）
8928.T,穴吹興産,0.524,142.2,271.3,116046548000,3797692000,104485664000,2025-06-30,スタンダード（内国株式）
5590.T,ネットスターズ,0.523,65.2,124.8,37242400000,4975000,30721121000,2025-12-31,グロース（内国株式）
2477.T,手間いらず,0.523,66.9,128.0,7144462000,0,449670000,2025-06-30,スタンダード（内国株式）
5035.T,ＨＯＵＳＥＩ,0.522,14.2,27.2,3105275000,28800000,1706981000,2025-12-31,グロース（内国株式）
9849.T,共同紙販ホールディングス,0.52,15.7,30.2,6785005000,582456000,5622404000,2025-03-31,スタンダード（内国株式）
3172.T,ティーライフ,0.52,25.7,49.4,5147000000,172000000,2701000000,2024-07-31,スタンダード（内国株式）
5941.T,中西製作所,0.517,80.3,155.2,15631859000,3448020000,10018321000,2025-03-31,スタンダード（内国株式）
5868.T,ロココ,0.516,18.0,34.9,3476827000,519588000,2037420000,2025-12-31,スタンダード（内国株式）
4667.T,アイサンテクノロジー,0.516,46.8,90.7,6433644000,818876000,2322318000,2025-03-31,スタンダード（内国株式）
7480.T,スズデン,0.514,132.6,257.9,23369609000,424477000,10410086000,2025-03-31,スタンダード（内国株式）
8704.T,トレイダーズホールディングス,0.514,159.7,310.8,123381000000,316000000,107635000000,2025-03-31,スタンダード（内国株式）
4491.T,コンピューターマネージメント,0.513,30.5,59.4,4399612000,293471000,1556652000,2025-03-31,スタンダード（内国株式）
5973.T,トーアミ,0.513,17.9,34.9,9645224000,622914000,8293625000,2025-03-31,スタンダード（内国株式）
9212.T,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,0.513,18.8,36.6,2736804000,0,861375000,2025-09-30,グロース（内国株式）
9930.T,北沢産業,0.511,33.1,64.7,8729858000,2687007000,7304434000,2025-03-31,スタンダード（内国株式）
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,0.51,74.8,146.6,11519860000,1027903000,4758221000,2025-12-31,スタンダード（内国株式）
9127.T,玉井商船,0.51,23.3,45.8,4886082000,1126569000,3340943000,2025-03-31,スタンダード（内国株式）
6391.T,加地テック,0.51,36.8,72.2,7421054000,0,3740998000,2025-03-31,スタンダード（内国株式）
9768.T,いであ,0.509,115.7,227.4,16990753000,2443633000,7126594000,2025-12-31,スタンダード（内国株式）
3991.T,ウォンテッドリー,0.506,44.3,87.5,6675781000,320000,2247723000,2025-08-31,グロース（内国株式）
9265.T,ヤマシタヘルスケアホールディングス,0.504,40.0,79.4,21766000000,1139000000,18563000000,2025-05-31,スタンダード（内国株式）
4750.T,ダイサン,0.504,18.3,36.4,6456775000,3203000,4625930000,2025-04-30,スタンダード（内国株式）
2332.T,クエスト,0.504,51.2,101.7,7122068000,808502000,2565262000,2025-03-31,スタンダード（内国株式）
2341.T,アルバイトタイムス,0.504,15.3,30.4,2285287000,5658000,758023000,2026-02-28,スタンダード（内国株式）
4465.T,ニイタカ,0.503,66.1,131.6,14116005000,465419000,7827931000,2025-05-31,スタンダード（内国株式）
4238.T,ミライアル,0.501,71.0,141.6,10603696000,478470000,3839680000,2026-01-31,スタンダード（内国株式）
3934.T,ベネフィットジャパン,0.499,71.3,142.8,11045268000,5524000,3920920000,2025-03-31,スタンダード（内国株式）
6675.T,サクサ,0.499,170.9,342.6,29476000000,2933000000,14439000000,2025-03-31,スタンダード（内国株式）
2305.T,スタジオアリス,0.497,151.6,304.9,21987659000,1906216000,8163409000,2026-02-28,スタンダード（内国株式）
7702.T,ＪＭＳ,0.497,52.7,106.0,45773000000,0,40507000000,2025-03-31,スタンダード（内国株式）
4012.T,アクシス,0.497,35.1,70.7,4804343000,50211000,1327856000,2025-12-31,スタンダード（内国株式）
2114.T,フジ日本,0.497,157.5,317.0,17696870000,11338784000,9887606000,2025-03-31,スタンダード（内国株式）
6772.T,東京コスモス電機,0.496,38.9,78.4,7838414000,703799000,4439062000,2025-03-31,スタンダード（内国株式）
6203.T,豊和工業,0.495,108.6,219.5,21604000000,6530000000,15315000000,2025-03-31,スタンダード（内国株式）
9233.T,アジア航測,0.494,98.5,199.5,23402994000,5465250000,17378332000,2025-09-30,スタンダード（内国株式）
4659.T,エイジス,0.494,184.4,373.0,21792339000,3284278000,5648100000,2025-03-31,スタンダード（内国株式）
6643.T,戸上電機製作所,0.493,123.7,250.8,20807625000,1879209000,9749678000,2025-03-31,スタンダード（内国株式）
2342.T,トランスジェニックグループ,0.493,20.4,41.5,6698896000,107693000,4730220000,2025-03-31,スタンダード（内国株式）
3773.T,アドバンスト・メディア,0.493,83.2,168.8,9341923000,3774005000,3663178000,2025-03-31,グロース（内国株式）
5268.T,旭コンクリート工業,0.493,60.7,123.0,9005629000,1201738000,3781573000,2025-03-31,スタンダード（内国株式）
8898.T,センチュリー２１・ジャパン,0.492,56.7,115.4,6485196000,715500000,1311439000,2025-03-31,スタンダード（内国株式）
7255.T,桜井製作所,0.491,7.6,15.4,2971364000,422592000,2510798000,2025-03-31,スタンダード（内国株式）
2876.T,デルソーレ,0.49,20.1,41.1,5998312000,194829000,4124538000,2025-03-31,スタンダード（内国株式）
6803.T,ティアック,0.49,14.1,28.8,8568000000,143000000,7257000000,2025-03-31,スタンダード（内国株式）
1844.T,大盛工業,0.488,46.0,94.1,10870169000,58260000,6313479000,2024-07-31,スタンダード（内国株式）
4171.T,グローバルインフォメーション,0.488,24.3,49.7,3074331000,0,648442000,2025-12-31,スタンダード（内国株式）
4284.T,ソルクシーズ,0.486,42.0,86.4,8453063000,1035740000,4981770000,2025-12-31,スタンダード（内国株式）
2454.T,オールアバウト,0.485,24.3,50.0,5999469000,558510000,3963657000,2025-03-31,スタンダード（内国株式）
2907.T,あじかん,0.485,49.3,101.6,13763454000,961655000,9508254000,2025-03-31,スタンダード（内国株式）
7514.T,ヒマラヤ,0.485,50.5,104.1,22955000000,618000000,18338000000,2025-08-31,スタンダード（内国株式）
9782.T,ディーエムエス,0.483,89.9,186.1,12083666000,1144810000,3894292000,2025-03-31,スタンダード（内国株式）
4167.T,ココペリ,0.483,10.4,21.6,1570180000,0,525887000,2025-03-31,グロース（内国株式）
6853.T,共和電業,0.482,113.8,236.2,15458704000,2076815000,5529569000,2025-12-31,スタンダード（内国株式）
4595.T,ミズホメディー,0.482,158.9,329.9,19580000000,3000000,3692000000,2025-12-31,スタンダード（内国株式）
6546.T,フルテック,0.481,28.5,59.2,6632381000,921741000,4432168000,2025-12-31,スタンダード（内国株式）
3918.T,ＰＣＩホールディングス,0.481,58.2,121.0,12123167000,206103000,6448056000,2025-03-31,スタンダード（内国株式）
2169.T,ＣＤＳ,0.48,58.1,121.0,7332466000,259739000,1708300000,2025-12-31,スタンダード（内国株式）
3042.T,セキュアヴェイル,0.48,11.0,23.0,1428274000,59397000,366186000,2025-03-31,スタンダード（内国株式）
6822.T,大井電気,0.479,38.5,80.4,18145109000,664452000,14761329000,2025-03-31,スタンダード（内国株式）
4317.T,レイ,0.478,32.4,67.6,5356499000,292438000,2325605000,2025-02-28,スタンダード（内国株式）
4334.T,ユークス,0.478,16.0,33.4,2915856000,140822000,1417441000,2026-01-31,スタンダード（内国株式）
5126.T,ポーターズ,0.476,10.5,22.1,1341000000,0,291000000,2025-12-31,グロース（内国株式）
4673.T,川崎地質,0.476,20.3,42.8,8273453000,669271000,6708658000,2025-11-30,スタンダード（内国株式）
1827.T,ナカノフドー建設,0.475,213.0,448.1,54430000000,4402000000,36211000000,2025-03-31,スタンダード（内国株式）
9904.T,ベリテ,0.475,32.4,68.1,6321000000,0,3084000000,2025-03-31,スタンダード（内国株式）
5484.T,東北特殊鋼,0.474,157.8,332.8,17413177000,6389909000,6110625000,2025-03-31,スタンダード（内国株式）
9687.T,ＫＳＫ,0.474,124.9,263.8,14520000000,6002000000,6228000000,2025-03-31,スタンダード（内国株式）
7217.T,テイン,0.473,20.7,43.8,3919611000,0,1848439000,2025-03-31,スタンダード（内国株式）
6378.T,木村化工機,0.472,110.3,233.9,24394000000,2024000000,14778000000,2025-03-31,スタンダード（内国株式）
6392.T,ヤマダコーポレーション,0.471,89.0,189.1,11258422000,349903000,2599389000,2025-03-31,スタンダード（内国株式）
2652.T,まんだらけ,0.471,53.7,114.0,12450384000,1899000,7084630000,2025-09-30,スタンダード（内国株式）
8285.T,三谷産業,0.47,193.4,411.3,46060000000,27440000000,45926000000,2025-03-31,スタンダード（内国株式）
6786.T,ＲＶＨ,0.47,6.2,13.2,880203000,57359000,301057000,2025-03-31,スタンダード（内国株式）
4586.T,メドレックス,0.469,18.1,38.6,1824955000,130905000,108543000,2025-12-31,グロース（内国株式）
3904.T,カヤック,0.469,29.0,61.9,9993763000,243332000,7259328000,2025-12-31,グロース（内国株式）
8518.T,日本アジア投資,0.469,17.0,36.3,9882000000,117000000,8262000000,2025-03-31,スタンダード（内国株式）
6190.T,フェニックスバイオ,0.468,8.0,17.2,1717435000,9397000,919936000,2025-03-31,グロース（内国株式）
7500.T,西川計測,0.468,158.8,339.2,22455743000,9746397000,13401261000,2025-06-30,スタンダード（内国株式）
1491.T,中外鉱業,0.468,48.6,103.7,13126548000,110071000,8343687000,2025-03-31,スタンダード（内国株式）
5974.T,中国工業,0.466,11.6,25.0,6181000000,2235000000,6582000000,2025-03-31,スタンダード（内国株式）
4599.T,ステムリム,0.465,86.9,186.8,8877489000,0,185881000,2024-07-31,グロース（内国株式）
7377.T,ＤＮホールディングス,0.465,71.1,152.8,16533523000,901714000,10055930000,2025-06-30,スタンダード（内国株式）
4248.T,竹本容器,0.464,48.4,104.3,9593216000,10230000,4759759000,2025-12-31,スタンダード（内国株式）
3138.T,富士山マガジンサービス,0.463,17.1,37.0,4862841000,21962000,3164325000,2025-12-31,スタンダード（内国株式）
7072.T,インティメート・マージャー,0.463,14.8,31.9,2112365000,0,634653000,2025-09-30,グロース（内国株式）
9763.T,丸建リース,0.462,55.1,119.3,22381000000,5179000000,20496000000,2025-03-31,スタンダード（内国株式）
6138.T,ダイジェット工業,0.462,15.4,33.3,8394425000,1659690000,8016245000,2025-03-31,スタンダード（内国株式）
6877.T,ＯＢＡＲＡ　ＧＲＯＵＰ,0.462,412.7,893.7,69243000000,1681000000,29152000000,2025-09-30,スタンダード（内国株式）
4427.T,ＥｄｕＬａｂ,0.462,11.3,24.5,2818120000,130741000,1777186000,2025-09-30,グロース（内国株式）
2981.T,ランディックス,0.462,52.9,114.6,18737997000,0,13448283000,2025-03-31,グロース（内国株式）
4391.T,ロジザード,0.461,16.5,35.7,2048400000,0,399775000,2025-06-30,グロース（内国株式）
4891.T,ティムス,0.461,28.1,61.1,3029096000,0,216781000,2025-02-28,グロース（内国株式）
2438.T,アスカネット,0.461,23.4,50.9,3073565000,331602000,962873000,2025-04-30,グロース（内国株式）
7883.T,サンメッセ,0.461,26.6,57.6,7488970000,4201538000,7773175000,2025-03-31,スタンダード（内国株式）
4424.T,Ａｍａｚｉａ,0.46,6.5,14.2,1136376000,103125000,554452000,2025-09-30,グロース（内国株式）
2183.T,リニカル,0.46,23.0,49.9,11627196000,272500000,9521846000,2025-03-31,スタンダード（内国株式）
3623.T,ビリングシステム,0.459,29.1,63.3,29740015000,50374000,26869754000,2025-12-31,グロース（内国株式）
7999.T,ＭＵＴＯＨホールディングス,0.459,159.6,347.8,18607000000,3857000000,5351000000,2025-03-31,スタンダード（内国株式）
4416.T,Ｔｒｕｅ　Ｄａｔａ,0.458,8.7,18.9,1142272000,7485000,281841000,2025-03-31,グロース（内国株式）
1381.T,アクシーズ,0.458,100.5,219.3,13081000000,631000000,3476000000,2025-06-30,スタンダード（内国株式）
3723.T,日本ファルコム,0.458,107.1,234.1,11331733000,0,618022000,2025-09-30,グロース（内国株式）
7277.T,ＴＢＫ,0.458,47.4,103.6,26402000000,3364000000,24015000000,2025-03-31,スタンダード（内国株式）
7506.T,ハウス　オブ　ローゼ,0.456,29.1,63.8,5383733000,291111000,2680254000,2025-03-31,スタンダード（内国株式）
3625.T,テックファームホールディングス,0.454,19.2,42.3,3620683000,128161000,1789603000,2024-06-30,グロース（内国株式）
9165.T,クオルテック,0.453,19.4,42.9,2894005000,49999000,984753000,2024-06-30,グロース（内国株式）
1904.T,大成温調,0.453,145.5,320.8,30613983000,3878822000,18782054000,2025-03-31,スタンダード（内国株式）
7042.T,アクセスグループ・ホールディングス,0.453,9.2,20.4,2053560000,20869000,1143906000,2025-03-31,スタンダード（内国株式）
6518.T,三相電機,0.452,49.0,108.3,10829394000,974133000,6610366000,2025-03-31,スタンダード（内国株式）
3842.T,ネクストジェン,0.45,13.9,30.9,2753732000,0,1363745000,2025-03-31,スタンダード（内国株式）
7986.T,日本アイ・エス・ケイ,0.449,12.9,28.8,2968161000,270069000,1863740000,2025-12-31,スタンダード（内国株式）
2669.T,カネ美食品,0.448,168.4,375.8,24832807000,682361000,8470440000,2026-02-28,スタンダード（内国株式）
3909.T,ショーケース,0.448,8.3,18.6,2994395000,42091000,2191296000,2024-12-31,スタンダード（内国株式）
3998.T,すららネット,0.446,8.8,19.7,1155735000,0,275189000,2025-12-31,グロース（内国株式）
3035.T,ケイティケイ,0.446,19.2,43.1,6261183000,740763000,4857376000,2025-08-31,スタンダード（内国株式）
