コード,新業種,メモ
3593,医薬品・バイオ,ホギメディカル:TSE繊維だが実態は手術用医療材料
3353,ドラッグストア・HC,メディカル一光:調剤薬局チェーン
4350,ドラッグストア・HC,メディカルシステムネットワーク:調剤薬局
3645,Webプラットフォーム・EC,メディカルネット:歯科医療ポータル
9468,ゲーム・デジタルコンテンツ,KADOKAWA:出版/アニメ/ゲーム等コンテンツ
285A,半導体・半導体製造装置,キオクシア:NANDフラッシュメモリ半導体
