コード,注意,メモ
3189,⚠暗号資産保有,借入・新株予約権でビットコイン購入(最大希薄化94%超)。キーワード検出の保険として手動指定
3350,⚠暗号資産保有,ビットコイン・トレジャリー企業の代表格
