コード,連動銘柄,連動銘柄名,相関
1420.T,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,0.602
1420.T,2816.T,ダイショー,0.601
1420.T,2683.T,魚喜,0.596
1420.T,9853.T,銀座ルノアール,0.593
1420.T,9846.T,天満屋ストア,0.589
1420.T,3065.T,ライフフーズ,0.589
1420.T,5990.T,スーパーツール,0.588
1420.T,2818.T,ピエトロ,0.588
1420.T,2186.T,ソーバル,0.582
1420.T,8898.T,センチュリー２１・ジャパン,0.581
1420.T,9950.T,ハチバン,0.573
1420.T,9986.T,蔵王産業,0.57
1420.T,2169.T,ＣＤＳ,0.566
1420.T,9656.T,グリーンランドリゾート,0.566
1420.T,2883.T,大冷,0.566
1420.T,3800.T,ユニリタ,0.564
1420.T,2877.T,日東ベスト,0.56
1420.T,9661.T,歌舞伎座,0.55
1420.T,2904.T,一正蒲鉾,0.549
1420.T,3571.T,ソトー,0.548
1758.T,7795.T,ＫＹＯＲＩＴＳＵ,0.229
1758.T,5408.T,中山製鋼所,0.22
1758.T,6537.T,ＷＡＳＨハウス,0.217
1758.T,6432.T,竹内製作所,0.216
1758.T,9896.T,ＪＫホールディングス,0.205
1758.T,9060.T,日本ロジテム,0.204
1758.T,1840.T,土屋ホールディングス,0.204
1758.T,5902.T,ホッカンホールディングス,0.202
1758.T,9311.T,アサガミ,0.199
1758.T,2375.T,ギグワークス,0.199
1758.T,7822.T,永大産業,0.199
1758.T,7601.T,ポプラ,0.196
1758.T,3653.T,モルフォ,0.195
1758.T,3320.T,クロスプラス,0.193
1758.T,2139.T,中広,0.191
1758.T,8077.T,トルク,0.191
1758.T,6413.T,理想科学工業,0.19
1758.T,8117.T,中央自動車工業,0.187
1758.T,6198.T,キャリア,0.182
1758.T,9264.T,ポエック,0.18
1850.T,9363.T,大運,0.459
1850.T,6946.T,日本アビオニクス,0.355
1850.T,9307.T,杉村倉庫,0.349
1850.T,7711.T,助川電気工業,0.331
1850.T,4026.T,神島化学工業,0.329
1850.T,1852.T,淺沼組,0.308
1850.T,6653.T,正興電機製作所,0.307
1850.T,3692.T,ＦＦＲＩセキュリティ,0.304
1850.T,1815.T,鉄建建設,0.301
1850.T,6814.T,古野電気,0.288
1850.T,9353.T,櫻島埠頭,0.282
1850.T,7224.T,新明和工業,0.277
1850.T,1417.T,ミライト・ワン,0.273
1850.T,1866.T,北野建設,0.268
1850.T,6648.T,かわでん,0.265
1850.T,6331.T,三菱化工機,0.261
1850.T,6310.T,井関農機,0.26
1850.T,4552.T,ＪＣＲファーマ,0.26
1850.T,7254.T,ユニバンス,0.257
1850.T,8707.T,岩井コスモホールディングス,0.25
1897.T,3167.T,ＴＯＫＡＩホールディングス,0.425
1897.T,6943.T,ＮＫＫスイッチズ,0.418
1897.T,4524.T,森下仁丹,0.402
1897.T,2204.T,中村屋,0.392
1897.T,9950.T,ハチバン,0.392
1897.T,2169.T,ＣＤＳ,0.387
1897.T,4102.T,丸尾カルシウム,0.386
1897.T,3951.T,朝日印刷,0.38
1897.T,6073.T,アサンテ,0.376
1897.T,2816.T,ダイショー,0.368
1897.T,2683.T,魚喜,0.367
1897.T,5589.T,オートサーバー,0.363
1897.T,2226.T,湖池屋,0.362
1897.T,4335.T,ＩＰＳホールディングス,0.362
1897.T,3329.T,東和フードサービス,0.359
1897.T,9986.T,蔵王産業,0.358
1897.T,2883.T,大冷,0.357
1897.T,8898.T,センチュリー２１・ジャパン,0.354
1897.T,3065.T,ライフフーズ,0.352
1897.T,2186.T,ソーバル,0.351
1994.T,4392.T,ＦＩＧ,0.428
1994.T,9312.T,ケイヒン,0.424
1994.T,4247.T,ポバール興業,0.372
1994.T,5393.T,ニチアス,0.364
1994.T,6445.T,ジャノメ,0.345
1994.T,7366.T,ＬＩＴＡＬＩＣＯ,0.344
1994.T,8439.T,東京センチュリー,0.34
1994.T,7537.T,丸文,0.331
1994.T,9639.T,三協フロンテア,0.325
1994.T,5956.T,トーソー,0.324
1994.T,1717.T,明豊ファシリティワークス,0.315
1994.T,3435.T,サンコーテクノ,0.307
1994.T,5446.T,北越メタル,0.293
1994.T,9006.T,京浜急行電鉄,0.292
1994.T,2613.T,Ｊ－オイルミルズ,0.289
1994.T,3571.T,ソトー,0.288
1994.T,2139.T,中広,0.284
1994.T,6797.T,名古屋電機工業,0.28
1994.T,4732.T,ユー・エス・エス,0.279
1994.T,9466.T,アイドママーケティングコミュニケーション,0.278
2055.T,6964.T,サンコー,0.425
2055.T,9904.T,ベリテ,0.378
2055.T,4102.T,丸尾カルシウム,0.319
2055.T,2573.T,北海道コカ・コーラボトリング,0.316
2055.T,5187.T,クリエートメディック,0.3
2055.T,6382.T,トリニティ工業,0.298
2055.T,5962.T,浅香工業,0.297
2055.T,4538.T,扶桑薬品工業,0.288
2055.T,1717.T,明豊ファシリティワークス,0.283
2055.T,3297.T,東武住販,0.281
2055.T,8076.T,カノークス,0.278
2055.T,8230.T,はせがわ,0.276
2055.T,2139.T,中広,0.276
2055.T,8931.T,和田興産,0.274
2055.T,7963.T,興研,0.271
2055.T,6467.T,ニチダイ,0.271
2055.T,8138.T,三京化成,0.27
2055.T,4569.T,杏林製薬,0.268
2055.T,7377.T,ＤＮホールディングス,0.266
2055.T,4335.T,ＩＰＳホールディングス,0.264
2193.T,8566.T,リコーリース,0.28
2193.T,6306.T,日工,0.274
2193.T,9726.T,ＫＮＴ－ＣＴホールディングス,0.259
2193.T,2148.T,アイティメディア,0.258
2193.T,9757.T,船井総研ホールディングス,0.216
2193.T,6557.T,ＡＩＡＩグループ,0.216
2193.T,2296.T,伊藤ハム米久ホールディングス,0.209
2193.T,2109.T,ＤＭ三井製糖,0.207
2193.T,2124.T,ジェイエイシーリクルートメント,0.207
2193.T,4310.T,ドリームインキュベータ,0.206
2193.T,3649.T,ファインデックス,0.202
2193.T,4923.T,コタ,0.197
2193.T,7716.T,ナカニシ,0.195
2193.T,7504.T,高速,0.192
2193.T,9310.T,日本トランスシティ,0.192
2193.T,7148.T,ＦＰＧ,0.192
2193.T,8255.T,アクシアル　リテイリング,0.191
2193.T,6849.T,日本光電工業,0.188
2193.T,9303.T,住友倉庫,0.186
2193.T,9543.T,静岡ガス,0.186
2388.T,3989.T,シェアリングテクノロジー,0.517
2388.T,7140.T,ペットゴー,0.508
2388.T,7815.T,東京ボード工業,0.401
2388.T,6977.T,日本抵抗器製作所,0.392
2388.T,9229.T,サンウェルズ,0.287
2388.T,6696.T,トラース・オン・プロダクト,0.284
2388.T,7447.T,ナガイレーベン,0.258
2388.T,3089.T,テクノアルファ,0.245
2388.T,2379.T,ディップ,0.243
2388.T,7363.T,ベビーカレンダー,0.242
2388.T,6870.T,日本フェンオール,0.232
2388.T,3529.T,アツギ,0.229
2388.T,4444.T,インフォネット,0.228
2388.T,3086.T,Ｊ．フロント　リテイリング,0.22
2388.T,9253.T,スローガン,0.218
2388.T,3931.T,バリューゴルフ,0.211
2388.T,4265.T,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,0.197
2388.T,1419.T,タマホーム,0.195
2388.T,4179.T,ジーネクスト,0.194
2388.T,2349.T,エヌアイデイ,0.193
2484.T,7527.T,システムソフト,0.231
2484.T,3727.T,アプリックス,0.22
2484.T,3023.T,ラサ商事,0.21
2484.T,7501.T,ティムコ,0.201
2484.T,4393.T,バンク・オブ・イノベーション,0.189
2484.T,6045.T,レントラックス,0.187
2484.T,4406.T,新日本理化,0.187
2484.T,5572.T,Ｒｉｄｇｅ－ｉ,0.185
2484.T,3672.T,オルトプラス,0.185
2484.T,4849.T,エン,0.184
2484.T,6425.T,ユニバーサルエンターテインメント,0.178
2484.T,4596.T,窪田製薬ホールディングス,0.177
2484.T,244A.T,グロースエクスパートナーズ,0.174
2484.T,9341.T,ＧＥＮＯＶＡ,0.173
2484.T,9082.T,大和自動車交通,0.172
2484.T,9223.T,ＡＳＮＯＶＡ,0.171
2484.T,2884.T,ヨシムラ・フード・ホールディングス,0.171
2484.T,5038.T,ｅＷｅＬＬ,0.168
2484.T,414A.T,オーバーラップホールディングス,0.167
2484.T,4891.T,ティムス,0.165
2499.T,2816.T,ダイショー,0.586
2499.T,3172.T,ティーライフ,0.577
2499.T,2883.T,大冷,0.574
2499.T,9656.T,グリーンランドリゾート,0.573
2499.T,2818.T,ピエトロ,0.569
2499.T,9950.T,ハチバン,0.569
2499.T,3800.T,ユニリタ,0.563
2499.T,2169.T,ＣＤＳ,0.56
2499.T,2683.T,魚喜,0.557
2499.T,3065.T,ライフフーズ,0.556
2499.T,3059.T,ヒラキ,0.55
2499.T,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,0.548
2499.T,9986.T,蔵王産業,0.547
2499.T,3329.T,東和フードサービス,0.539
2499.T,2904.T,一正蒲鉾,0.538
2499.T,2186.T,ソーバル,0.536
2499.T,3068.T,ＷＤＩ,0.529
2499.T,2911.T,旭松食品,0.527
2499.T,7872.T,エステールホールディングス,0.526
2499.T,9846.T,天満屋ストア,0.521
2788.T,4926.T,シーボン,0.313
2788.T,7427.T,エコートレーディング,0.302
2788.T,2769.T,ヴィレッジヴァンガードコーポレーション,0.287
2788.T,7091.T,リビングプラットフォーム,0.286
2788.T,3423.T,エスイー,0.278
2788.T,5990.T,スーパーツール,0.262
2788.T,3161.T,アゼアス,0.26
2788.T,2475.T,ＷＤＢホールディングス,0.256
2788.T,5363.T,東京窯業,0.255
2788.T,6579.T,ログリー,0.241
2788.T,4059.T,まぐまぐ,0.24
2788.T,3800.T,ユニリタ,0.238
2788.T,1420.T,サンヨーホームズ,0.237
2788.T,2876.T,デルソーレ,0.235
2788.T,9206.T,スターフライヤー,0.234
2788.T,9735.T,セコム,0.233
2788.T,8123.T,川辺,0.232
2788.T,2831.T,はごろもフーズ,0.229
2788.T,2747.T,北雄ラッキー,0.228
2788.T,3598.T,山喜,0.223
2795.T,9986.T,蔵王産業,0.635
2795.T,2683.T,魚喜,0.624
2795.T,3065.T,ライフフーズ,0.619
2795.T,2816.T,ダイショー,0.615
2795.T,2818.T,ピエトロ,0.613
2795.T,2186.T,ソーバル,0.612
2795.T,2169.T,ＣＤＳ,0.612
2795.T,9636.T,きんえい,0.602
2795.T,9950.T,ハチバン,0.601
2795.T,9846.T,天満屋ストア,0.6
2795.T,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,0.6
2795.T,3800.T,ユニリタ,0.598
2795.T,9835.T,ジュンテンドー,0.595
2795.T,3059.T,ヒラキ,0.59
2795.T,3293.T,アズマハウス,0.59
2795.T,2904.T,一正蒲鉾,0.586
2795.T,3190.T,ホットマン,0.586
2795.T,4623.T,アサヒペン,0.579
2795.T,7514.T,ヒマラヤ,0.577
2795.T,9017.T,新潟交通,0.573
2814.T,7630.T,壱番屋,0.443
2814.T,3474.T,Ｇ－ＦＡＣＴＯＲＹ,0.443
2814.T,3082.T,きちりホールディングス,0.376
2814.T,9339.T,コーチ・エィ,0.366
2814.T,3537.T,昭栄薬品,0.363
2814.T,2597.T,ユニカフェ,0.363
2814.T,9052.T,山陽電気鉄道,0.354
2814.T,7119.T,ハルメクホールディングス,0.343
2814.T,2211.T,不二家,0.333
2814.T,2594.T,キーコーヒー,0.328
2814.T,7562.T,安楽亭,0.326
2814.T,2908.T,フジッコ,0.323
2814.T,7127.T,一家ホールディングス,0.321
2814.T,7585.T,かんなん丸,0.321
2814.T,7512.T,イオン北海道,0.317
2814.T,6546.T,フルテック,0.316
2814.T,4925.T,ハーバー研究所,0.313
2814.T,1379.T,ホクト,0.312
2814.T,2877.T,日東ベスト,0.312
2814.T,6087.T,アビスト,0.312
2917.T,2883.T,大冷,0.821
2917.T,2818.T,ピエトロ,0.793
2917.T,2816.T,ダイショー,0.792
2917.T,2683.T,魚喜,0.766
2917.T,3065.T,ライフフーズ,0.763
2917.T,2186.T,ソーバル,0.754
2917.T,2904.T,一正蒲鉾,0.747
2917.T,9656.T,グリーンランドリゾート,0.741
2917.T,9846.T,天満屋ストア,0.738
2917.T,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,0.734
2917.T,9950.T,ハチバン,0.73
2917.T,4925.T,ハーバー研究所,0.729
2917.T,7562.T,安楽亭,0.728
2917.T,9661.T,歌舞伎座,0.723
2917.T,9849.T,共同紙販ホールディングス,0.718
2917.T,4524.T,森下仁丹,0.717
2917.T,6087.T,アビスト,0.713
2917.T,2169.T,ＣＤＳ,0.707
2917.T,2226.T,湖池屋,0.706
2917.T,7872.T,エステールホールディングス,0.706
3161.T,9950.T,ハチバン,0.517
3161.T,2818.T,ピエトロ,0.511
3161.T,2904.T,一正蒲鉾,0.509
3161.T,3065.T,ライフフーズ,0.505
3161.T,2186.T,ソーバル,0.505
3161.T,2816.T,ダイショー,0.505
3161.T,2683.T,魚喜,0.502
3161.T,3059.T,ヒラキ,0.499
3161.T,3329.T,東和フードサービス,0.496
3161.T,4558.T,中京医薬品,0.495
3161.T,9661.T,歌舞伎座,0.49
3161.T,7514.T,ヒマラヤ,0.487
3161.T,7749.T,メディキット,0.484
3161.T,9656.T,グリーンランドリゾート,0.484
3161.T,2883.T,大冷,0.482
3161.T,7872.T,エステールホールディングス,0.481
3161.T,2798.T,ワイズテーブルコーポレーション,0.478
3161.T,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,0.477
3161.T,5990.T,スーパーツール,0.474
3161.T,2169.T,ＣＤＳ,0.469
3189.T,4833.T,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,0.37
3189.T,3350.T,メタプラネット,0.362
3189.T,296A.T,令和アカウンティング・ホールディングス,0.275
3189.T,7138.T,ＴＯＲＩＣＯ,0.261
3189.T,3807.T,フィスコ,0.249
3189.T,9399.T,ビート・ホールディングス・リミテッド,0.219
3189.T,9240.T,デリバリーコンサルティング,0.211
3189.T,3664.T,ＷＩＺＥ,0.203
3189.T,7061.T,日本ホスピスホールディングス,0.202
3189.T,7776.T,セルシード,0.2
3189.T,456A.T,ＨＵＭＡＮ　ＭＡＤＥ,0.196
3189.T,3825.T,リミックスポイント,0.196
3189.T,7746.T,岡本硝子,0.192
3189.T,4784.T,ＧＭＯインターネット,0.185
3189.T,4893.T,ノイルイミューン・バイオテック,0.185
3189.T,7603.T,ジーイエット,0.177
3189.T,4937.T,Ｗａｑｏｏ,0.176
3189.T,9229.T,サンウェルズ,0.176
3189.T,4005.T,住友化学,0.174
3189.T,5885.T,ジーデップ・アドバンス,0.173
3236.T,5018.T,ＭＯＲＥＳＣＯ,0.299
3236.T,5243.T,ｎｏｔｅ,0.298
3236.T,1887.T,日本国土開発,0.296
3236.T,4055.T,ティアンドエスグループ,0.269
3236.T,7777.T,スリー・ディー・マトリックス,0.268
3236.T,253A.T,ＥＴＳグループ,0.268
3236.T,7256.T,河西工業,0.264
3236.T,1967.T,ヤマト,0.242
3236.T,6493.T,ＮＩＴＴＡＮ,0.242
3236.T,3896.T,阿波製紙,0.241
3236.T,7888.T,三光合成,0.24
3236.T,7972.T,イトーキ,0.239
3236.T,6474.T,不二越,0.239
3236.T,8473.T,ＳＢＩホールディングス,0.229
3236.T,8253.T,クレディセゾン,0.228
3236.T,1434.T,ＪＥＳＣＯホールディングス,0.22
3236.T,7908.T,きもと,0.218
3236.T,4176.T,ココナラ,0.216
3236.T,6803.T,ティアック,0.214
3236.T,3447.T,信和,0.214
3246.T,3169.T,ミサワ,0.641
3246.T,9636.T,きんえい,0.551
3246.T,6757.T,ＯＳＧコーポレーション,0.549
3246.T,3172.T,ティーライフ,0.537
3246.T,7097.T,さくらさくプラス,0.525
3246.T,1444.T,ニッソウ,0.514
3246.T,7683.T,ダブルエー,0.511
3246.T,6797.T,名古屋電機工業,0.509
3246.T,7196.T,Ｃａｓａ,0.504
3246.T,2816.T,ダイショー,0.488
3246.T,3065.T,ライフフーズ,0.481
3246.T,9661.T,歌舞伎座,0.473
3246.T,3082.T,きちりホールディングス,0.472
3246.T,3140.T,ＢＲＵＮＯ,0.468
3246.T,7514.T,ヒマラヤ,0.467
3246.T,2169.T,ＣＤＳ,0.462
3246.T,2683.T,魚喜,0.46
3246.T,3059.T,ヒラキ,0.459
3246.T,7562.T,安楽亭,0.457
3246.T,2226.T,湖池屋,0.454
3261.T,7148.T,ＦＰＧ,0.35
3261.T,7545.T,西松屋チェーン,0.331
3261.T,9245.T,リベロ,0.301
3261.T,476A.T,辻・本郷ＩＴコンサルティング,0.294
3261.T,2573.T,北海道コカ・コーラボトリング,0.264
3261.T,3140.T,ＢＲＵＮＯ,0.259
3261.T,9339.T,コーチ・エィ,0.258
3261.T,5078.T,セレコーポレーション,0.256
3261.T,3067.T,東京一番フーズ,0.256
3261.T,3333.T,あさひ,0.255
3261.T,2769.T,ヴィレッジヴァンガードコーポレーション,0.254
3261.T,3953.T,大村紙業,0.25
3261.T,4496.T,コマースＯｎｅホールディングス,0.249
3261.T,7585.T,かんなん丸,0.248
3261.T,4678.T,秀英予備校,0.245
3261.T,2816.T,ダイショー,0.241
3261.T,7555.T,大田花き,0.24
3261.T,3082.T,きちりホールディングス,0.239
3261.T,9760.T,進学会ホールディングス,0.239
3261.T,7362.T,Ｔ．Ｓ．Ｉ,0.238
3320.T,9603.T,エイチ・アイ・エス,0.319
3320.T,2296.T,伊藤ハム米久ホールディングス,0.298
3320.T,7097.T,さくらさくプラス,0.295
3320.T,2695.T,くら寿司,0.279
3320.T,2217.T,モロゾフ,0.279
3320.T,2749.T,ＪＰホールディングス,0.278
3320.T,2001.T,ニップン,0.277
3320.T,2053.T,中部飼料,0.269
3320.T,3843.T,フリービット,0.266
3320.T,5909.T,コロナ,0.265
3320.T,7823.T,アートネイチャー,0.264
3320.T,5079.T,ノバック,0.264
3320.T,3246.T,コーセーアールイー,0.263
3320.T,7638.T,ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,0.261
3320.T,4934.T,プレミアアンチエイジング,0.256
3320.T,4809.T,パラカ,0.256
3320.T,9843.T,ニトリホールディングス,0.255
3320.T,9832.T,オートバックスセブン,0.255
3320.T,9979.T,大庄,0.254
3320.T,3038.T,神戸物産,0.254
3396.T,2683.T,魚喜,0.633
3396.T,2816.T,ダイショー,0.618
3396.T,2904.T,一正蒲鉾,0.61
3396.T,2186.T,ソーバル,0.606
3396.T,3065.T,ライフフーズ,0.605
3396.T,7514.T,ヒマラヤ,0.605
3396.T,9986.T,蔵王産業,0.597
3396.T,2169.T,ＣＤＳ,0.596
3396.T,3293.T,アズマハウス,0.596
3396.T,9846.T,天満屋ストア,0.59
3396.T,9993.T,ヤマザワ,0.585
3396.T,2818.T,ピエトロ,0.585
3396.T,2911.T,旭松食品,0.583
3396.T,3329.T,東和フードサービス,0.583
3396.T,9950.T,ハチバン,0.581
3396.T,2798.T,ワイズテーブルコーポレーション,0.581
3396.T,3059.T,ヒラキ,0.58
3396.T,3800.T,ユニリタ,0.58
3396.T,9661.T,歌舞伎座,0.576
3396.T,3190.T,ホットマン,0.574
3420.T,9846.T,天満屋ストア,0.38
3420.T,3537.T,昭栄薬品,0.368
3420.T,3167.T,ＴＯＫＡＩホールディングス,0.361
3420.T,7297.T,カーメイト,0.361
3420.T,9986.T,蔵王産業,0.356
3420.T,7879.T,ノダ,0.353
3420.T,2594.T,キーコーヒー,0.351
3420.T,3597.T,自重堂,0.349
3420.T,2186.T,ソーバル,0.342
3420.T,3190.T,ホットマン,0.341
3420.T,2883.T,大冷,0.339
3420.T,2169.T,ＣＤＳ,0.339
3420.T,2683.T,魚喜,0.338
3420.T,2922.T,なとり,0.337
3420.T,4524.T,森下仁丹,0.335
3420.T,9303.T,住友倉庫,0.335
3420.T,2209.T,井村屋グループ,0.334
3420.T,7512.T,イオン北海道,0.334
3420.T,3800.T,ユニリタ,0.334
3420.T,4714.T,リソー教育グループ,0.333
3426.T,2683.T,魚喜,0.755
3426.T,3065.T,ライフフーズ,0.745
3426.T,2816.T,ダイショー,0.735
3426.T,2818.T,ピエトロ,0.734
3426.T,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,0.718
3426.T,2904.T,一正蒲鉾,0.71
3426.T,2798.T,ワイズテーブルコーポレーション,0.706
3426.T,3059.T,ヒラキ,0.699
3426.T,2186.T,ソーバル,0.698
3426.T,2169.T,ＣＤＳ,0.698
3426.T,9656.T,グリーンランドリゾート,0.692
3426.T,9849.T,共同紙販ホールディングス,0.692
3426.T,9950.T,ハチバン,0.692
3426.T,3800.T,ユニリタ,0.689
3426.T,9661.T,歌舞伎座,0.689
3426.T,2911.T,旭松食品,0.687
3426.T,2883.T,大冷,0.684
3426.T,3329.T,東和フードサービス,0.684
3426.T,4623.T,アサヒペン,0.681
3426.T,2877.T,日東ベスト,0.68
3439.T,9993.T,ヤマザワ,0.311
3439.T,5742.T,エヌアイシ・オートテック,0.302
3439.T,3600.T,フジックス,0.297
3439.T,9853.T,銀座ルノアール,0.296
3439.T,7129.T,ミアヘルサホールディングス,0.294
3439.T,9929.T,平和紙業,0.291
3439.T,2904.T,一正蒲鉾,0.289
3439.T,7928.T,旭化学工業,0.286
3439.T,8138.T,三京化成,0.283
3439.T,3297.T,東武住販,0.281
3439.T,9656.T,グリーンランドリゾート,0.281
3439.T,3068.T,ＷＤＩ,0.28
3439.T,8144.T,デンキョーグループホールディングス,0.277
3439.T,7938.T,リーガルコーポレーション,0.277
3439.T,4248.T,竹本容器,0.273
3439.T,2747.T,北雄ラッキー,0.272
3439.T,2300.T,きょくとう,0.272
3439.T,2831.T,はごろもフーズ,0.269
3439.T,2136.T,ヒップ,0.268
3439.T,3059.T,ヒラキ,0.261
3537.T,2883.T,大冷,0.749
3537.T,2816.T,ダイショー,0.692
3537.T,4925.T,ハーバー研究所,0.683
3537.T,4524.T,森下仁丹,0.675
3537.T,2904.T,一正蒲鉾,0.672
3537.T,2186.T,ソーバル,0.667
3537.T,2683.T,魚喜,0.666
3537.T,2917.T,大森屋,0.665
3537.T,2226.T,湖池屋,0.663
3537.T,3065.T,ライフフーズ,0.661
3537.T,2818.T,ピエトロ,0.656
3537.T,7562.T,安楽亭,0.649
3537.T,2594.T,キーコーヒー,0.643
3537.T,9849.T,共同紙販ホールディングス,0.642
3537.T,2169.T,ＣＤＳ,0.639
3537.T,9656.T,グリーンランドリゾート,0.638
3537.T,3190.T,ホットマン,0.635
3537.T,9661.T,歌舞伎座,0.631
3537.T,7872.T,エステールホールディングス,0.63
3537.T,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,0.628
3600.T,3065.T,ライフフーズ,0.593
3600.T,9950.T,ハチバン,0.589
3600.T,2904.T,一正蒲鉾,0.566
3600.T,2816.T,ダイショー,0.564
3600.T,7514.T,ヒマラヤ,0.559
3600.T,4623.T,アサヒペン,0.554
3600.T,2818.T,ピエトロ,0.552
3600.T,2683.T,魚喜,0.547
3600.T,2798.T,ワイズテーブルコーポレーション,0.542
3600.T,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,0.538
3600.T,3800.T,ユニリタ,0.538
3600.T,7604.T,梅の花グループ,0.536
3600.T,2169.T,ＣＤＳ,0.527
3600.T,9846.T,天満屋ストア,0.525
3600.T,9661.T,歌舞伎座,0.524
3600.T,3059.T,ヒラキ,0.52
3600.T,3524.T,日東製網,0.519
3600.T,2186.T,ソーバル,0.513
3600.T,7562.T,安楽亭,0.512
3600.T,9656.T,グリーンランドリゾート,0.51
3632.T,8214.T,ＡＯＫＩホールディングス,0.543
3632.T,4272.T,日本化薬,0.499
3632.T,2483.T,翻訳センター,0.468
3632.T,5036.T,日本ビジネスシステムズ,0.458
3632.T,8086.T,ニプロ,0.396
3632.T,4536.T,参天製薬,0.395
3632.T,2533.T,オエノンホールディングス,0.393
3632.T,7183.T,あんしん保証,0.379
3632.T,3968.T,セグエグループ,0.368
3632.T,2154.T,オープンアップグループ,0.365
3632.T,2371.T,カカクコム,0.359
3632.T,7733.T,オリンパス,0.353
3632.T,4671.T,ファルコホールディングス,0.351
3632.T,3964.T,オークネット,0.35
3632.T,2108.T,日本甜菜製糖,0.348
3632.T,3467.T,アグレ都市デザイン,0.347
3632.T,4718.T,早稲田アカデミー,0.337
3632.T,2702.T,日本マクドナルドホールディングス,0.336
3632.T,6923.T,スタンレー電気,0.333
3632.T,6098.T,リクルートホールディングス,0.333
3668.T,4318.T,クイック,0.385
3668.T,4776.T,サイボウズ,0.367
3668.T,6557.T,ＡＩＡＩグループ,0.345
3668.T,7616.T,コロワイド,0.325
3668.T,2326.T,デジタルアーツ,0.324
3668.T,6088.T,シグマクシス・ホールディングス,0.323
3668.T,7575.T,日本ライフライン,0.323
3668.T,6099.T,エラン,0.319
3668.T,4393.T,バンク・オブ・イノベーション,0.311
3668.T,3836.T,アバントグループ,0.31
3668.T,7453.T,良品計画,0.306
3668.T,3673.T,ブロードリーフ,0.302
3668.T,3371.T,ソフトクリエイトホールディングス,0.299
3668.T,9418.T,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,0.297
3668.T,3632.T,グリーホールディングス,0.295
3668.T,3635.T,コーエーテクモホールディングス,0.291
3668.T,4587.T,ペプチドリーム,0.291
3668.T,3923.T,ラクス,0.29
3668.T,4684.T,オービック,0.288
3668.T,2121.T,ＭＩＸＩ,0.288
3758.T,3799.T,キーウェアソリューションズ,0.315
3758.T,3680.T,ホットリンク,0.278
3758.T,5571.T,エキサイトホールディングス,0.278
3758.T,9363.T,大運,0.269
3758.T,7061.T,日本ホスピスホールディングス,0.265
3758.T,5139.T,オープンワーク,0.247
3758.T,4372.T,ユミルリンク,0.243
3758.T,6185.T,ＳＭＮ,0.242
3758.T,3042.T,セキュアヴェイル,0.235
3758.T,3683.T,サイバーリンクス,0.232
3758.T,2304.T,ＣＳＳホールディングス,0.228
3758.T,7254.T,ユニバンス,0.227
3758.T,1788.T,三東工業社,0.224
3758.T,9564.T,ＦＣＥ,0.221
3758.T,3807.T,フィスコ,0.219
3758.T,7090.T,リグア,0.219
3758.T,4235.T,ウルトラファブリックス・ホールディングス,0.217
3758.T,335A.T,ミライロ,0.217
3758.T,2491.T,バリューコマース,0.215
3758.T,300A.T,ＭＩＣ,0.214
3787.T,4256.T,サインド,0.29
3787.T,7361.T,ヒューマンクリエイションホールディングス,0.283
3787.T,7614.T,オーエムツーネットワーク,0.273
3787.T,3913.T,ＧｒｅｅｎＢｅｅ,0.247
3787.T,4495.T,アイキューブドシステムズ,0.229
3787.T,3386.T,コスモ・バイオ,0.219
3787.T,3769.T,ＧＭＯペイメントゲートウェイ,0.216
3787.T,6054.T,リブセンス,0.209
3787.T,3069.T,ＪＦＬＡホールディングス,0.205
3787.T,6046.T,リンクバル,0.205
3787.T,3691.T,デジタルプラス,0.205
3787.T,5619.T,マーソ,0.205
3787.T,9446.T,サカイホールディングス,0.2
3787.T,2173.T,博展,0.192
3787.T,1914.T,日本基礎技術,0.192
3787.T,6495.T,宮入バルブ製作所,0.189
3787.T,4375.T,セーフィー,0.186
3787.T,1904.T,大成温調,0.184
3787.T,7561.T,ハークスレイ,0.18
3787.T,6208.T,石川製作所,0.178
4102.T,2683.T,魚喜,0.639
4102.T,3065.T,ライフフーズ,0.638
4102.T,2816.T,ダイショー,0.635
4102.T,9656.T,グリーンランドリゾート,0.63
4102.T,2904.T,一正蒲鉾,0.615
4102.T,2883.T,大冷,0.613
4102.T,2186.T,ソーバル,0.607
4102.T,2798.T,ワイズテーブルコーポレーション,0.606
4102.T,2818.T,ピエトロ,0.603
4102.T,9950.T,ハチバン,0.601
4102.T,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,0.597
4102.T,3800.T,ユニリタ,0.597
4102.T,3140.T,ＢＲＵＮＯ,0.59
