コード,前日終値,配当,配当利回り(%),forwardEPS,予想PER,目標株価
3765,2186.0,90.0,4.04,213.12,10.463589,2800.0
7908,238.0,8.0,3.36,,,
7218,1000.0,34.0,3.4,,,
4627,1674.0,54.0,3.11,,,
4243,886.0,20.0,2.22,,,
4625,723.0,20.0,2.77,,,
7521,2690.0,36.0,1.31,227.5,12.043956,
5986,245.0,6.0,2.45,,,
6743,852.0,36.0,4.33,,,
6150,2803.0,80.0,2.85,,,
7975,1101.0,25.0,2.27,,,
5966,2430.0,80.0,3.27,,,
3477,800.0,32.5,4.07,,,
7464,1575.0,60.0,3.79,,,
4365,20820.0,0.0,0.0,,,
3639,236.0,0.0,0.0,,,
7865,378.0,60.0,15.83,,,
2491,480.0,16.0,3.35,117.06,4.083376,
3054,238.0,7.0,2.97,,,
5078,4780.0,160.0,3.31,,,
3297,1171.0,40.0,3.42,,,
5915,2261.0,70.0,3.07,,,
8584,3460.0,200.0,5.73,514.05,6.789223,4500.0
7279,2445.0,53.0,2.14,,,
9895,1253.0,27.0,2.13,,,
6159,1988.0,12.0,59.0,,,
8159,3160.0,120.0,3.74,327.3,9.79224,
2489,263.0,6.57,2.48,28.1,9.430605,
3954,2930.0,50.0,1.71,,,
4644,1021.0,60.0,5.81,,,
3710,619.0,6.0,98.0,,,
8076,1990.0,106.0,5.33,,,
7486,731.0,46.0,6.19,,,
7985,843.0,9.0,1.06,,,
7957,1638.0,118.0,7.19,,,
3131,3445.0,265.0,7.67,,,
5969,1201.0,60.0,5.0,,,
7885,1216.0,20.0,1.63,32.9,37.35562,
3134,399.0,22.5,5.57,114.8,3.5191636,
6325,402.0,10.0,2.48,46.0,8.76087,
6797,1173.0,90.0,7.73,,,
7628,1086.0,45.0,4.09,,,
6276,305.0,10.0,3.03,,,
6151,1630.0,32.0,1.95,,,
7472,3615.0,120.0,3.32,,,
2221,3045.0,64.0,2.11,,,
6820,3140.0,87.0,2.79,,,
7537,1667.0,78.0,4.53,244.7,7.029015,
8141,1580.0,24.5,1.56,,,
3583,1183.0,35.0,2.9,,,
9932,1174.0,54.0,4.63,,,
6778,624.0,20.0,3.18,21.9,28.721462,
4170,129.0,0.0,0.0,12.0,10.916667,
5945,2490.0,166.0,6.67,,,
6158,995.0,36.0,3.64,,,
3892,1760.0,50.0,2.72,,,
3386,1232.0,50.0,4.06,,,
3944,2342.0,50.0,2.14,,,
7928,601.0,10.0,1.67,,,
3851,828.0,10.0,1.21,,,
2497,494.0,22.0,4.43,49.9,9.95992,
3895,412.0,16.0,3.86,,,
9867,10100.0,70.0,69.0,,,
5997,800.0,20.0,2.51,,,
7953,385.0,20.0,5.21,,,
5363,716.0,42.6,5.96,,,
1887,538.0,20.0,3.69,,,
1793,1818.0,74.0,4.0,,,
7872,591.0,27.0,4.56,,,
3417,1129.0,30.0,2.69,,,
3277,1297.0,30.0,2.34,136.9,9.357196,
7614,1543.0,36.0,2.33,,,
6349,1467.0,80.0,5.41,44.7,33.10962,
8075,2430.0,104.0,4.25,,,
6360,4245.0,100.0,2.37,,,
9414,917.0,30.0,3.3,69.1,13.154848,
6907,640.0,0.0,0.0,,,
2654,394.0,10.0,2.51,,,
3641,919.0,20.0,2.15,,,
1376,1397.0,48.0,3.44,,,
3953,745.0,30.0,4.0,,,
5440,1820.0,70.0,3.86,250.22,7.253617,1946.6666
4829,110.0,3.0,2.78,,,
2449,1058.0,41.0,3.86,,,
6358,2101.0,130.0,6.21,264.65,7.9123373,
3597,10300.0,500.0,4.85,,,
5958,4225.0,220.0,5.1,,,
8093,1796.0,74.0,4.13,,,
5388,1228.0,50.0,4.05,,,
4548,782.0,30.0,3.88,49.5,15.636364,
3388,2125.0,96.0,4.52,193.7,10.955086,
6485,1425.0,60.0,4.23,,,
8123,1334.0,50.0,3.79,,,
7859,312.0,0.0,0.0,,,
5304,2595.0,100.0,3.91,402.0,6.3557215,
8935,1860.0,80.0,4.28,,,
9425,198.0,0.0,0.0,,,
6419,3000.0,150.0,5.01,177.2,16.896162,
7896,496.0,20.0,4.06,,,
5368,934.0,40.0,4.31,,,
6619,301.0,0.0,0.0,59.71,4.84006,
6482,678.0,20.0,3.0,60.05,11.10741,
7820,722.0,36.0,4.97,261.8,2.7692897,
1905,1451.0,62.0,4.19,,,
3958,556.0,18.0,3.23,,,
2999,562.0,10.0,1.77,,,
6919,1366.0,80.0,5.71,,,
8150,2792.0,200.0,7.11,,,
7565,6040.0,160.0,2.65,,,
2700,1763.0,50.0,2.81,,,
3176,1595.0,45.0,2.85,210.31,7.5127196,
7677,2596.0,50.0,1.89,,,
8084,3720.0,150.0,3.96,,,
8844,1192.0,53.0,4.36,,,
4119,5820.0,100.0,1.71,,,
7602,170.0,2.0,1.2,,,
7551,655.0,22.0,3.24,,,
3321,1826.0,80.0,4.42,,,
6165,515.0,20.0,3.87,101.2,5.108696,
3513,2886.0,100.0,3.38,,,
9820,3480.0,40.0,1.13,,,
4308,357.0,14.0,3.94,18.5,19.18919,
6149,2103.0,70.0,3.37,184.9,11.249325,
7681,875.0,17.0,2.02,251.4,3.3412888,
1768,1034.0,50.0,4.89,,,
6418,941.0,46.0,4.71,30.4,32.138157,
7925,1835.0,75.0,3.89,,,
6091,839.0,28.0,3.3,,,
7265,3775.0,110.0,2.87,,,
8045,1625.0,34.0,2.11,,,
7235,1514.0,78.0,5.16,,,
6118,1132.0,39.0,3.46,77.0,14.649351,1190.0
6730,1134.0,41.0,3.45,,,
6245,1899.0,84.0,4.19,155.5,12.900322,
6858,816.0,30.0,3.58,,,
8103,889.0,47.0,5.34,,,
3577,936.0,25.0,2.7,,,
5871,1340.0,55.0,4.1,,,
7446,4605.0,105.0,2.28,,,
3674,328.0,0.0,0.0,,,
4301,1785.0,64.0,3.52,104.0,17.471153,
5464,966.0,34.0,3.52,,,
7544,551.0,18.0,3.26,,,
4628,9880.0,360.0,3.68,,,
8700,1775.0,100.0,5.71,,,
9478,520.0,4.0,77.0,,,
6365,5280.0,190.0,3.45,,,
4996,756.0,24.0,3.13,101.43,7.5520062,820.0
2385,243.0,10.0,4.07,40.52,6.071076,
9980,100.0,1.0,1.0,,,
5757,4865.0,100.0,2.06,,,
6678,2057.0,93.0,4.62,,,
9760,118.0,2.5,1.67,,,
6463,1389.0,56.0,4.0,311.4,4.4926143,1310.0
1899,7600.0,260.0,3.47,,,
3943,1230.0,52.0,4.23,,,
1724,704.0,30.0,4.24,,,
2329,549.0,27.08,4.92,,,
3580,698.0,28.0,3.98,,,
6022,2750.0,30.0,1.09,,,
1807,1766.0,80.0,4.51,,,
7314,1145.0,40.0,3.5,,,
6915,3175.0,160.0,5.06,,,
3653,681.0,0.0,0.0,,,
9857,2501.0,96.0,3.84,,,
2911,2230.0,35.0,1.57,,,
8152,7770.0,100.0,1.25,,,
3802,459.0,13.0,2.75,,,
8202,148.0,4.0,2.7,,,
8104,626.0,30.0,4.78,,,
4925,1701.0,40.0,2.34,,,
6804,2639.0,76.0,2.8,247.6,10.981421,4000.0
4299,1127.0,46.0,4.05,,,
3434,1237.0,60.0,4.9,,,
1826,1014.0,60.0,5.91,,,
8572,466.0,22.0,4.71,45.82,10.202969,505.0
6382,1324.0,61.0,4.64,,,
9625,1080.0,50.0,4.63,,,
4936,336.0,10.0,2.97,43.3,7.78291,
6494,102.0,0.0,0.0,,,
7689,405.0,0.0,0.0,,,
2735,608.0,15.0,2.45,53.2,11.484962,
6229,1638.0,50.0,3.11,,,
2425,675.0,22.0,3.3,,,
6882,1433.0,60.0,4.33,120.3,11.512884,
7952,3215.0,95.0,2.88,488.7,6.752609,
9845,1365.0,53.0,3.85,,,
7607,2949.0,124.0,4.23,261.7,11.199846,
6894,2158.0,90.0,4.21,,,
1770,1730.0,68.0,3.97,,,
6488,920.0,72.0,7.73,94.2,9.893844,
4120,2371.0,90.0,3.66,,,
6647,2608.0,60.0,2.32,,,
7847,610.0,30.0,4.79,27.8,22.517986,
9253,743.0,0.0,0.0,122.2,6.0801964,
3291,2123.5,92.0,4.32,205.49,10.3752,2482.0
7487,1755.0,25.0,1.44,,,
8622,634.0,50.0,7.91,,,
5129,282.0,0.0,0.0,44.6,6.143498,
5218,1573.0,25.0,1.61,82.1,18.879416,
7128,2091.0,101.0,4.84,175.7,11.87251,
3816,1141.0,19.0,1.67,,,
7510,2345.0,90.0,3.77,206.4,11.579457,
8616,690.0,40.0,5.76,50.2,13.824701,600.0
1866,1040.0,60.0,5.85,,,
3139,3175.0,132.0,4.13,332.87,9.613362,4100.0
9475,473.0,10.0,2.19,,,
