コードA,銘柄A,業種A,コードB,銘柄B,業種B,相関
4623.T,アサヒペン,化学,2186.T,ソーバル,サービス業,0.805
3059.T,ヒラキ,小売業,9849.T,共同紙販ホールディングス,卸売業,0.805
2816.T,ダイショー,食料品,7604.T,梅の花グループ,小売業,0.805
4623.T,アサヒペン,化学,3059.T,ヒラキ,小売業,0.804
3059.T,ヒラキ,小売業,9636.T,きんえい,サービス業,0.804
3800.T,ユニリタ,情報・通信業,9636.T,きんえい,サービス業,0.804
2911.T,旭松食品,食料品,2186.T,ソーバル,サービス業,0.803
3800.T,ユニリタ,情報・通信業,7938.T,リーガルコーポレーション,その他製品,0.803
2816.T,ダイショー,食料品,9993.T,ヤマザワ,小売業,0.803
2883.T,大冷,食料品,6082.T,ライドオンエクスプレスホールディングス,サービス業,0.803
2911.T,旭松食品,食料品,3800.T,ユニリタ,情報・通信業,0.803
9661.T,歌舞伎座,サービス業,9846.T,天満屋ストア,小売業,0.802
3800.T,ユニリタ,情報・通信業,9986.T,蔵王産業,卸売業,0.802
2911.T,旭松食品,食料品,9636.T,きんえい,サービス業,0.801
4623.T,アサヒペン,化学,9986.T,蔵王産業,卸売業,0.801
2911.T,旭松食品,食料品,7562.T,安楽亭,小売業,0.8
3059.T,ヒラキ,小売業,8898.T,センチュリー２１・ジャパン,不動産業,0.8
4365.T,松本油脂製薬,化学,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,食料品,0.8
2816.T,ダイショー,食料品,3190.T,ホットマン,小売業,0.8
3800.T,ユニリタ,情報・通信業,9017.T,新潟交通,陸運業,0.799
3172.T,ティーライフ,小売業,2818.T,ピエトロ,食料品,0.799
4365.T,松本油脂製薬,化学,7604.T,梅の花グループ,小売業,0.799
9636.T,きんえい,サービス業,9846.T,天満屋ストア,小売業,0.799
2798.T,ワイズテーブルコーポレーション,小売業,9636.T,きんえい,サービス業,0.799
9986.T,蔵王産業,卸売業,3059.T,ヒラキ,小売業,0.799
4524.T,森下仁丹,医薬品,2816.T,ダイショー,食料品,0.799
2904.T,一正蒲鉾,食料品,9017.T,新潟交通,陸運業,0.798
4623.T,アサヒペン,化学,7514.T,ヒマラヤ,小売業,0.798
9986.T,蔵王産業,卸売業,2683.T,魚喜,小売業,0.798
4365.T,松本油脂製薬,化学,9849.T,共同紙販ホールディングス,卸売業,0.798
9846.T,天満屋ストア,小売業,9656.T,グリーンランドリゾート,サービス業,0.797
3172.T,ティーライフ,小売業,9636.T,きんえい,サービス業,0.797
2883.T,大冷,食料品,9849.T,共同紙販ホールディングス,卸売業,0.797
9849.T,共同紙販ホールディングス,卸売業,9950.T,ハチバン,小売業,0.797
4365.T,松本油脂製薬,化学,2911.T,旭松食品,食料品,0.797
6082.T,ライドオンエクスプレスホールディングス,サービス業,9849.T,共同紙販ホールディングス,卸売業,0.796
6082.T,ライドオンエクスプレスホールディングス,サービス業,7562.T,安楽亭,小売業,0.796
4365.T,松本油脂製薬,化学,3329.T,東和フードサービス,小売業,0.796
