コード,銘柄名,業種33,規模,新業種,method
6070,キャリアリンク,サービス業,TOPIX Small 2,,
6932,遠藤照明,電気機器,-,,
8051,山善,卸売業,TOPIX Small 1,,
5463,丸一鋼管,鉄鋼,TOPIX Mid400,鉄鋼・非鉄金属,rule
5563,新日本電工,鉄鋼,TOPIX Small 1,鉄鋼・非鉄金属,rule
6167,冨士ダイス,機械,TOPIX Small 2,,
5947,リンナイ,金属製品,TOPIX Mid400,金属製品・金属加工,rule
4526,理研ビタミン,食料品,TOPIX Small 2,,
9225,ブリッジコンサルティンググループ,サービス業,-,,
5941,中西製作所,金属製品,-,金属製品・金属加工,rule
5868,ロココ,サービス業,-,,
9768,いであ,サービス業,-,,
1938,日本リーテック,建設業,TOPIX Small 2,,
9930,北沢産業,卸売業,-,,
5185,フコク,ゴム製品,TOPIX Small 2,ガラス・セラミックス・ゴム,rule
7480,スズデン,卸売業,TOPIX Small 2,,
1720,東急建設,建設業,TOPIX Small 1,,
9265,ヤマシタヘルスケアホールディングス,卸売業,-,,
1435,ｒｏｂｏｔ　ｈｏｍｅ,不動産業,TOPIX Small 2,,
2332,クエスト,情報・通信業,-,,
5192,三ツ星ベルト,ゴム製品,TOPIX Small 1,ガラス・セラミックス・ゴム,rule
5973,トーアミ,金属製品,-,金属製品・金属加工,rule
6191,エアトリ,サービス業,TOPIX Small 2,,
2737,トーメンデバイス,卸売業,TOPIX Small 2,,
4491,コンピューターマネージメント,情報・通信業,-,,
6455,モリタホールディングス,輸送用機器,TOPIX Small 2,自動車・輸送用機器,rule
3333,あさひ,小売業,TOPIX Small 2,,
1930,北陸電気工事,建設業,TOPIX Small 2,,
4097,高圧ガス工業,化学,TOPIX Small 2,,
8704,トレイダーズホールディングス,証券、商品先物取引業,-,証券・保険・その他金融,rule
5262,日本ヒューム,ガラス・土石製品,TOPIX Small 1,ガラス・セラミックス・ゴム,rule
2335,キューブシステム,情報・通信業,TOPIX Small 2,,
1662,石油資源開発,鉱業,TOPIX Small 1,資源・エネルギー・農林水産,rule
3991,ウォンテッドリー,情報・通信業,-,,
6272,レオン自動機,機械,TOPIX Small 2,,
6379,レイズネクスト,建設業,TOPIX Small 2,,
4914,高砂香料工業,化学,TOPIX Small 1,,
4220,リケンテクノス,化学,TOPIX Small 2,,
6803,ティアック,電気機器,-,,
4310,ドリームインキュベータ,サービス業,TOPIX Small 2,,
6203,豊和工業,機械,-,,
7976,三菱鉛筆,その他製品,TOPIX Small 1,,
1852,淺沼組,建設業,TOPIX Small 1,,
2341,アルバイトタイムス,サービス業,-,,
7864,フジシールインターナショナル,その他製品,TOPIX Small 1,,
4012,アクシス,情報・通信業,-,,
4465,ニイタカ,化学,-,,
7702,ＪＭＳ,精密機器,TOPIX Small 2,計測・分析・光学機器,rule
2305,スタジオアリス,サービス業,TOPIX Small 2,,
5268,旭コンクリート工業,ガラス・土石製品,-,ガラス・セラミックス・ゴム,rule
6770,アルプスアルパイン,電気機器,TOPIX Mid400,,
6395,タダノ,機械,TOPIX Small 1,,
6675,サクサ,電気機器,-,,
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,医薬品,-,医薬品・バイオ,rule
2975,スター・マイカ・ホールディングス,不動産業,TOPIX Small 2,,
2342,トランスジェニックグループ,サービス業,-,,
6788,日本トリム,電気機器,TOPIX Small 2,,
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,情報・通信業,TOPIX Small 2,,
4516,日本新薬,医薬品,TOPIX Mid400,医薬品・バイオ,rule
3934,ベネフィットジャパン,情報・通信業,-,,
4750,ダイサン,サービス業,-,,
6143,ソディック,機械,TOPIX Small 1,,
2114,フジ日本,食料品,-,,
4577,ダイト,医薬品,TOPIX Small 2,医薬品・バイオ,rule
3773,アドバンスト・メディア,情報・通信業,-,,
4956,コニシ,化学,TOPIX Small 2,,
4284,ソルクシーズ,情報・通信業,-,,
4792,山田コンサルティンググループ,サービス業,TOPIX Small 2,,
6381,アネスト岩田,機械,TOPIX Small 2,,
4659,エイジス,サービス業,-,,
7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,その他製品,TOPIX Small 2,,
6339,新東工業,機械,TOPIX Small 2,,
9438,エムティーアイ,情報・通信業,TOPIX Small 2,,
3465,ケイアイスター不動産,不動産業,TOPIX Small 1,,
6643,戸上電機製作所,電気機器,-,,
8898,センチュリー２１・ジャパン,不動産業,-,,
9621,建設技術研究所,サービス業,TOPIX Small 1,,
7255,桜井製作所,輸送用機器,-,自動車・輸送用機器,rule
4840,トライアイズ,サービス業,-,,
3288,オープンハウスグループ,不動産業,TOPIX Mid400,,
3284,フージャースホールディングス,不動産業,TOPIX Small 2,,
7717,ブイ・テクノロジー,精密機器,TOPIX Small 2,計測・分析・光学機器,rule
7951,ヤマハ,その他製品,TOPIX Mid400,,
1518,三井松島ホールディングス,その他製品,TOPIX Small 1,,
4171,グローバルインフォメーション,情報・通信業,-,,
1814,大末建設,建設業,-,,
1844,大盛工業,建設業,-,,
4238,ミライアル,化学,-,,
4931,新日本製薬,化学,TOPIX Small 2,,
9233,アジア航測,空運業,-,鉄道・バス・旅客運輸,rule
7514,ヒマラヤ,小売業,-,,
4673,川崎地質,サービス業,-,,
137A,Ｃｏｃｏｌｉｖｅ,情報・通信業,-,,
3918,ＰＣＩホールディングス,情報・通信業,-,,
4167,ココペリ,情報・通信業,-,,
4922,コーセーホールディングス,化学,TOPIX Mid400,,
2325,ＮＪＳ,サービス業,TOPIX Small 2,,
6772,東京コスモス電機,電気機器,-,,
3834,朝日ネット,情報・通信業,TOPIX Small 2,,
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,金属製品,TOPIX Small 1,金属製品・金属加工,rule
2876,デルソーレ,食料品,-,,
6853,共和電業,電気機器,-,,
2292,Ｓ　Ｆｏｏｄｓ,食料品,TOPIX Small 1,,
9782,ディーエムエス,サービス業,-,,
2169,ＣＤＳ,サービス業,-,,
4595,ミズホメディー,医薬品,-,医薬品・バイオ,rule
2907,あじかん,食料品,-,,
6250,やまびこ,機械,TOPIX Small 1,,
5011,ニチレキグループ,石油・石炭製品,TOPIX Small 2,資源・エネルギー・農林水産,rule
6822,大井電気,電気機器,-,,
3042,セキュアヴェイル,情報・通信業,-,,
6420,ガリレイ,機械,TOPIX Small 1,,
8227,しまむら,小売業,TOPIX Mid400,,
2454,オールアバウト,サービス業,-,,
4317,レイ,サービス業,-,,
6546,フルテック,サービス業,-,,
7217,テイン,輸送用機器,-,自動車・輸送用機器,rule
6535,アイモバイル,サービス業,TOPIX Small 2,,
6392,ヤマダコーポレーション,機械,-,,
9687,ＫＳＫ,情報・通信業,-,,
5126,ポーターズ,情報・通信業,-,,
5484,東北特殊鋼,鉄鋼,-,鉄鋼・非鉄金属,rule
2652,まんだらけ,小売業,-,,
9904,ベリテ,小売業,-,,
4891,ティムス,医薬品,-,医薬品・バイオ,rule
7725,インターアクション,精密機器,TOPIX Small 2,計測・分析・光学機器,rule
302A,ビースタイルホールディングス,サービス業,-,,
4334,ユークス,情報・通信業,-,,
6238,フリュー,機械,TOPIX Small 2,,
4668,明光ネットワークジャパン,サービス業,TOPIX Small 2,,
6378,木村化工機,機械,TOPIX Small 2,,
8285,三谷産業,卸売業,TOPIX Small 2,,
7095,Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,サービス業,TOPIX Small 2,,
2692,伊藤忠食品,卸売業,TOPIX Small 2,,
4218,ニチバン,化学,TOPIX Small 2,,
6849,日本光電工業,電気機器,TOPIX Mid400,,
1827,ナカノフドー建設,建設業,-,,
7072,インティメート・マージャー,サービス業,-,,
4958,長谷川香料,化学,TOPIX Small 1,,
7942,ＪＳＰ,化学,TOPIX Small 2,,
7981,タカラスタンダード,その他製品,TOPIX Small 1,,
6786,ＲＶＨ,サービス業,-,,
1491,中外鉱業,非鉄金属,-,鉄鋼・非鉄金属,rule
7846,パイロットコーポレーション,その他製品,TOPIX Mid400,,
6750,エレコム,電気機器,TOPIX Small 1,,
4586,メドレックス,医薬品,-,医薬品・バイオ,rule
8129,東邦ホールディングス,卸売業,TOPIX Mid400,,
1381,アクシーズ,水産・農林業,-,資源・エネルギー・農林水産,rule
6908,イリソ電子工業,電気機器,TOPIX Small 1,,
2438,アスカネット,サービス業,-,,
7500,西川計測,卸売業,-,,
2670,エービーシー・マート,小売業,TOPIX Mid400,,
4599,ステムリム,医薬品,-,医薬品・バイオ,rule
4025,多木化学,化学,TOPIX Small 2,,
6190,フェニックスバイオ,サービス業,-,,
3904,カヤック,情報・通信業,-,,
5974,中国工業,金属製品,-,金属製品・金属加工,rule
6929,日本セラミック,電気機器,TOPIX Small 1,,
8518,日本アジア投資,証券、商品先物取引業,-,証券・保険・その他金融,rule
4694,ビー・エム・エル,サービス業,TOPIX Small 1,,
4248,竹本容器,化学,-,,
1968,太平電業,建設業,TOPIX Small 1,,
7377,ＤＮホールディングス,サービス業,-,,
9729,トーカイ,サービス業,TOPIX Small 2,,
6432,竹内製作所,機械,TOPIX Small 1,,
9763,丸建リース,卸売業,-,,
8614,東洋証券,証券、商品先物取引業,TOPIX Small 2,証券・保険・その他金融,rule
4424,Ａｍａｚｉａ,情報・通信業,-,,
3138,富士山マガジンサービス,小売業,-,,
4391,ロジザード,情報・通信業,-,,
6518,三相電機,電気機器,-,,
1934,ユアテック,建設業,TOPIX Small 1,,
2183,リニカル,サービス業,-,,
4427,ＥｄｕＬａｂ,情報・通信業,-,,
1861,熊谷組,建設業,TOPIX Small 1,,
6332,月島ホールディングス,機械,TOPIX Small 1,,
7999,ＭＵＴＯＨホールディングス,電気機器,-,,
4416,Ｔｒｕｅ　Ｄａｔａ,情報・通信業,-,,
7883,サンメッセ,その他製品,-,,
6369,トーヨーカネツ,機械,TOPIX Small 2,,
9107,川崎汽船,海運業,TOPIX Mid400,貨物・物流・倉庫,rule
6138,ダイジェット工業,機械,-,,
7277,ＴＢＫ,輸送用機器,-,自動車・輸送用機器,rule
1433,ベステラ,建設業,-,,
3623,ビリングシステム,情報・通信業,-,,
2301,学情,サービス業,TOPIX Small 2,,
4251,恵和,化学,TOPIX Small 2,,
9837,モリト,卸売業,TOPIX Small 2,,
7506,ハウス　オブ　ローゼ,小売業,-,,
9692,シーイーシー,情報・通信業,TOPIX Small 1,,
8012,長瀬産業,卸売業,TOPIX Mid400,,
1950,日本電設工業,建設業,TOPIX Small 1,,
6875,メガチップス,電気機器,TOPIX Small 1,,
3909,ショーケース,情報・通信業,-,,
1870,矢作建設工業,建設業,TOPIX Small 1,,
3723,日本ファルコム,情報・通信業,-,,
2981,ランディックス,不動産業,-,,
6877,ＯＢＡＲＡ　ＧＲＯＵＰ,電気機器,TOPIX Small 2,,
7042,アクセスグループ・ホールディングス,サービス業,-,,
1904,大成温調,建設業,-,,
3842,ネクストジェン,情報・通信業,-,,
6140,旭ダイヤモンド工業,機械,TOPIX Small 1,,
6081,アライドアーキテクツ,サービス業,-,,
1929,日特建設,建設業,TOPIX Small 2,,
9605,東映,情報・通信業,TOPIX Small 1,,
6620,宮越ホールディングス,不動産業,TOPIX Small 2,,
6287,サトー,機械,TOPIX Small 1,,
7038,フロンティア・マネジメント,サービス業,TOPIX Small 2,,
4401,ＡＤＥＫＡ,化学,TOPIX Mid400,,
6306,日工,機械,TOPIX Small 2,,
9612,ラックランド,サービス業,TOPIX Small 2,,
7811,中本パックス,その他製品,-,,
3625,テックファームホールディングス,情報・通信業,-,,
1982,日比谷総合設備,建設業,TOPIX Small 2,,
7986,日本アイ・エス・ケイ,その他製品,-,,
2669,カネ美食品,小売業,-,,
3242,アーバネットコーポレーション,不動産業,-,,
3035,ケイティケイ,卸売業,-,,
6199,セラク,情報・通信業,TOPIX Small 2,,
4042,東ソー,化学,TOPIX Mid400,,
4849,エン,サービス業,TOPIX Small 1,,
166A,タスキホールディングス,不動産業,-,,
3998,すららネット,情報・通信業,-,,
9242,メディア総研,サービス業,-,,
264A,Ｓｃｈｏｏ,サービス業,-,,
6458,新晃工業,機械,TOPIX Small 1,,
7413,創健社,卸売業,-,,
542A,ビタブリッドジャパン,化学,-,,
3001,片倉工業,繊維製品,TOPIX Small 2,繊維・紙パルプ,rule
3486,グローバル・リンク・マネジメント,不動産業,-,,
3467,アグレ都市デザイン,不動産業,-,,
8037,カメイ,卸売業,TOPIX Small 2,,
4064,日本カーバイド工業,化学,TOPIX Small 2,,
5355,日本坩堝,ガラス・土石製品,-,ガラス・セラミックス・ゴム,rule
9165,クオルテック,サービス業,-,,
7990,グローブライド,その他製品,TOPIX Small 1,,
7984,コクヨ,その他製品,TOPIX Mid400,,
3733,ソフトウェア・サービス,情報・通信業,-,,
9740,セントラル警備保障,サービス業,TOPIX Small 2,,
8157,都築電気,情報・通信業,TOPIX Small 2,,
4206,アイカ工業,化学,TOPIX Mid400,,
7226,極東開発工業,輸送用機器,TOPIX Small 1,自動車・輸送用機器,rule
1663,Ｋ＆Ｏエナジーグループ,鉱業,TOPIX Small 1,資源・エネルギー・農林水産,rule
7309,シマノ,輸送用機器,TOPIX Large70,自動車・輸送用機器,rule
2136,ヒップ,サービス業,-,,
5444,大和工業,鉄鋼,TOPIX Mid400,鉄鋼・非鉄金属,rule
6612,バルミューダ,電気機器,-,,
4929,アジュバンホールディングス,化学,-,,
9743,丹青社,サービス業,TOPIX Small 1,,
177A,コージンバイオ,化学,-,,
6648,かわでん,電気機器,-,,
3926,オープンドア,情報・通信業,TOPIX Small 2,,
7244,市光工業,電気機器,TOPIX Small 2,,
3371,ソフトクリエイトホールディングス,情報・通信業,TOPIX Small 2,,
4052,フィーチャ,情報・通信業,-,,
3195,ジェネレーションパス,小売業,-,,
4262,ニフティライフスタイル,情報・通信業,-,,
4634,ａｒｔｉｅｎｃｅ,化学,TOPIX Small 1,,
6255,エヌ・ピー・シー,機械,-,,
6470,大豊工業,機械,TOPIX Small 2,,
7416,はるやまホールディングス,小売業,-,,
6277,ホソカワミクロン,機械,TOPIX Small 1,,
343A,ＩＡＣＥトラベル,サービス業,-,,
6185,ＳＭＮ,サービス業,-,,
7284,盟和産業,輸送用機器,-,自動車・輸送用機器,rule
5965,フジマック,金属製品,-,金属製品・金属加工,rule
3817,ＳＲＡホールディングス,情報・通信業,TOPIX Small 2,,
4479,マクアケ,情報・通信業,-,,
387A,フラー,情報・通信業,-,,
9240,デリバリーコンサルティング,サービス業,-,,
1783,ｆａｎｔａｓｉｓｔａ,不動産業,-,,
2296,伊藤ハム米久ホールディングス,食料品,TOPIX Small 1,,
4114,日本触媒,化学,TOPIX Mid400,,
4530,久光製薬,医薬品,-,医薬品・バイオ,rule
6171,土木管理総合試験所,サービス業,-,,
4633,サカタインクス,化学,TOPIX Small 1,,
5367,ニッカトー,ガラス・土石製品,-,ガラス・セラミックス・ゴム,rule
265A,Ｈｍｃｏｍｍ,情報・通信業,-,,
6633,ＣＧＳホールディングス,電気機器,-,,
3107,ダイワボウホールディングス,卸売業,TOPIX Mid400,,
4044,セントラル硝子,化学,TOPIX Small 1,,
3996,サインポスト,情報・通信業,-,,
8079,正栄食品工業,卸売業,TOPIX Small 1,,
3969,エイトレッド,情報・通信業,-,,
7819,粧美堂,その他製品,-,,
415A,ＧＭＯ　ＴＥＣＨホールディングス,サービス業,-,,
6586,マキタ,機械,TOPIX Mid400,,
7057,エヌ・シー・エヌ,サービス業,-,,
9347,日本管財ホールディングス,サービス業,TOPIX Small 2,,
3028,アルペン,小売業,TOPIX Small 1,,
4886,あすか製薬ホールディングス,医薬品,TOPIX Small 2,医薬品・バイオ,rule
7596,魚力,小売業,TOPIX Small 2,,
3181,買取王国,小売業,-,,
3132,マクニカホールディングス,卸売業,TOPIX Mid400,,
410A,ＧＭＯコマース,サービス業,-,,
3659,ネクソン,情報・通信業,TOPIX Mid400,,
5970,ジーテクト,金属製品,TOPIX Small 1,金属製品・金属加工,rule
9036,東部ネットワーク,陸運業,-,,
9401,ＴＢＳホールディングス,情報・通信業,TOPIX Mid400,,
3675,クロス・マーケティンググループ,情報・通信業,-,,
5888,ＤＡＩＷＡ　ＣＹＣＬＥ,小売業,-,,
4198,テンダ,情報・通信業,-,,
3070,ジェリービーンズグループ,卸売業,-,,
3912,モバイルファクトリー,情報・通信業,-,,
4031,片倉コープアグリ,化学,-,,
3374,内外テック,卸売業,-,,
2498,オリエンタルコンサルタンツホールディングス,サービス業,-,,
7102,日本車輌製造,輸送用機器,TOPIX Small 2,自動車・輸送用機器,rule
4440,ヴィッツ,情報・通信業,-,,
6363,酉島製作所,機械,TOPIX Small 1,,
7856,萩原工業,その他製品,TOPIX Small 2,,
5284,ヤマウホールディングス,ガラス・土石製品,-,ガラス・セラミックス・ゴム,rule
1438,岐阜造園,建設業,-,,
9788,ナック,サービス業,TOPIX Small 2,,
1979,大氣社,建設業,TOPIX Small 1,,
6424,高見沢サイバネティックス,機械,-,,
2370,メディネット,サービス業,-,,
4124,大阪油化工業,化学,-,,
3945,スーパーバッグ,パルプ・紙,-,繊維・紙パルプ,rule
1882,東亜道路工業,建設業,TOPIX Small 1,,
3858,ユビキタスＡＩ,情報・通信業,-,,
7374,コンフィデンス・インターワークス,サービス業,-,,
2433,博報堂ＤＹホールディングス,サービス業,TOPIX Mid400,,
4892,サイフューズ,医薬品,-,医薬品・バイオ,rule
6902,デンソー,輸送用機器,TOPIX Large70,自動車・輸送用機器,rule
4205,日本ゼオン,化学,TOPIX Mid400,,
4078,堺化学工業,化学,TOPIX Small 1,,
7049,識学,サービス業,-,,
7979,松風,精密機器,TOPIX Small 2,計測・分析・光学機器,rule
7608,エスケイジャパン,卸売業,-,,
5103,昭和ホールディングス,ゴム製品,-,ガラス・セラミックス・ゴム,rule
4028,石原産業,化学,TOPIX Small 1,,
7505,扶桑電通,卸売業,-,,
4687,ＴＤＣソフト,情報・通信業,TOPIX Small 2,,
7911,ＴＯＰＰＡＮホールディングス,その他製品,TOPIX Mid400,,
3569,セーレン,繊維製品,TOPIX Small 1,繊維・紙パルプ,rule
7360,オンデック,サービス業,-,,
5936,東洋シヤッター,金属製品,-,金属製品・金属加工,rule
8283,ＰＡＬＴＡＣ,卸売業,TOPIX Mid400,,
5013,ユシロ,石油・石炭製品,TOPIX Small 2,資源・エネルギー・農林水産,rule
7048,ベルトラ,サービス業,-,,
4113,田岡化学工業,化学,-,,
3915,テラスカイ,情報・通信業,TOPIX Small 2,,
1808,長谷工コーポレーション,建設業,TOPIX Mid400,,
4488,ＡＩ　ｉｎｓｉｄｅ,情報・通信業,-,,
1717,明豊ファシリティワークス,サービス業,-,,
4826,ＣＩＪ,情報・通信業,TOPIX Small 2,,
4197,アスマーク,情報・通信業,-,,
4447,ピー・ビーシステムズ,情報・通信業,-,,
4884,クリングルファーマ,医薬品,-,医薬品・バイオ,rule
5244,ｊｉｇ．ｊｐ,情報・通信業,-,,
5161,西川ゴム工業,ゴム製品,-,ガラス・セラミックス・ゴム,rule
6859,エスペック,電気機器,TOPIX Small 1,,
2060,フィード・ワン,食料品,TOPIX Small 2,,
7943,ニチハ,ガラス・土石製品,TOPIX Small 1,ガラス・セラミックス・ゴム,rule
7836,アビックス,その他製品,-,,
4642,オリジナル設計,サービス業,-,,
4664,アール・エス・シー,サービス業,-,,
2440,ぐるなび,サービス業,TOPIX Small 2,,
3648,ＡＧＳ,情報・通信業,-,,
6223,西部技研,機械,-,,
3662,エイチームホールディングス,情報・通信業,TOPIX Small 2,,
9716,乃村工藝社,サービス業,TOPIX Small 1,,
2480,システム・ロケーション,情報・通信業,-,,
4556,カイノス,医薬品,-,医薬品・バイオ,rule
3937,Ｕｂｉｃｏｍホールディングス,情報・通信業,TOPIX Small 2,,
7963,興研,その他製品,-,,
4445,リビン・テクノロジーズ,情報・通信業,-,,
7043,アルー,サービス業,-,,
4272,日本化薬,化学,TOPIX Mid400,,
6371,椿本チエイン,機械,TOPIX Small 1,,
6145,ＮＩＴＴＯＫＵ,機械,-,,
9934,因幡電機産業,卸売業,TOPIX Mid400,,
2436,共同ピーアール,サービス業,-,,
2003,日東富士製粉,食料品,TOPIX Small 2,,
5834,ＳＢＩリーシングサービス,証券、商品先物取引業,-,証券・保険・その他金融,rule
9467,アルファポリス,情報・通信業,-,,
4685,菱友システムズ,情報・通信業,-,,
4662,フォーカスシステムズ,情報・通信業,TOPIX Small 2,,
1813,不動テトラ,建設業,TOPIX Small 2,,
6090,ヒューマン・メタボローム・テクノロジーズ,サービス業,-,,
2311,エプコ,サービス業,-,,
5821,平河ヒューテック,非鉄金属,TOPIX Small 2,鉄鋼・非鉄金属,rule
9702,アイ・エス・ビー,情報・通信業,TOPIX Small 2,,
4926,シーボン,化学,-,,
4335,ＩＰＳホールディングス,情報・通信業,-,,
2910,ロック・フィールド,食料品,TOPIX Small 2,,
241A,ＲＯＸＸ,情報・通信業,-,,
4263,サスメド,情報・通信業,-,,
1736,オーテック,建設業,-,,
4169,ＥＮＥＣＨＡＮＧＥ,情報・通信業,-,,
4414,フレクト,情報・通信業,-,,
7058,共栄セキュリティーサービス,サービス業,-,,
9213,セイファート,サービス業,-,,
4008,住友精化,化学,TOPIX Small 1,,
2207,ｍｅｉｔｏ,食料品,TOPIX Small 2,,
2676,高千穂交易,卸売業,TOPIX Small 2,,
4671,ファルコホールディングス,サービス業,TOPIX Small 2,,
1766,東建コーポレーション,建設業,TOPIX Small 1,,
5589,オートサーバー,情報・通信業,-,,
6029,アトラグループ,サービス業,-,,
6289,技研製作所,機械,TOPIX Small 2,,
3988,ＳＹＳホールディングス,情報・通信業,-,,
7609,ダイトロン,卸売業,TOPIX Small 2,,
7917,ＺＡＣＲＯＳ,化学,TOPIX Small 2,,
2120,ＬＩＦＵＬＬ,サービス業,TOPIX Small 2,,
3907,シリコンスタジオ,情報・通信業,-,,
3076,あい　ホールディングス,卸売業,TOPIX Small 1,,
7980,重松製作所,その他製品,-,,
2602,日清オイリオグループ,食料品,TOPIX Small 1,,
6294,オカダアイヨン,機械,-,,
4361,川口化学工業,化学,-,,
9543,静岡ガス,電気・ガス業,TOPIX Small 1,資源・エネルギー・農林水産,rule
4068,ベイシス,情報・通信業,-,,
5729,日本精鉱,非鉄金属,-,鉄鋼・非鉄金属,rule
4476,ＡＩ　ＣＲＯＳＳ,情報・通信業,-,,
3835,ｅＢＡＳＥ,情報・通信業,TOPIX Small 2,,
2983,アールプランナー,不動産業,-,,
6644,大崎電気工業,電気機器,TOPIX Small 2,,
7970,信越ポリマー,化学,TOPIX Small 1,,
7211,三菱自動車工業,輸送用機器,TOPIX Mid400,自動車・輸送用機器,rule
7687,ミクリード,卸売業,-,,
9244,デジタリフト,サービス業,-,,
2359,コア,情報・通信業,TOPIX Small 2,,
5121,藤倉コンポジット,ゴム製品,TOPIX Small 2,ガラス・セラミックス・ゴム,rule
6448,ブラザー工業,電気機器,TOPIX Mid400,,
2930,北の達人コーポレーション,化学,TOPIX Small 2,,
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,サービス業,-,,
2488,ＪＴＰ,サービス業,-,,
4212,積水樹脂,化学,TOPIX Small 1,,
1719,安藤・間,建設業,TOPIX Mid400,,
7148,ＦＰＧ,証券、商品先物取引業,TOPIX Small 1,証券・保険・その他金融,rule
3974,ＳＣＡＴ,情報・通信業,-,,
7438,コンドーテック,卸売業,TOPIX Small 2,,
4464,ソフト９９コーポレーション,化学,-,,
4832,ＪＦＥシステムズ,情報・通信業,-,,
157A,グリーンモンスター,サービス業,-,,
7727,オーバル,精密機器,-,計測・分析・光学機器,rule
4041,日本曹達,化学,TOPIX Small 1,,
2767,円谷フィールズホールディングス,卸売業,TOPIX Small 1,,
3361,トーエル,小売業,-,,
7988,ニフコ,化学,TOPIX Mid400,,
4814,ネクストウェア,情報・通信業,-,,
261A,日水コン,サービス業,-,,
9558,ジャパニアス,サービス業,-,,
9982,タキヒヨー,卸売業,-,,
4346,ＮＥＸＹＺ．Ｇｒｏｕｐ,その他金融業,-,証券・保険・その他金融,rule
6408,小倉クラッチ,機械,-,,
2391,プラネット,サービス業,-,,
5025,マーキュリー,情報・通信業,-,,
6659,メディアリンクス,電気機器,-,,
7343,ブロードマインド,保険業,-,証券・保険・その他金融,rule
2790,ナフコ,小売業,-,,
2982,ＡＤワークスグループ,不動産業,-,,
6328,荏原実業,機械,TOPIX Small 2,,
7513,コジマ,小売業,TOPIX Small 1,,
8005,スクロール,小売業,TOPIX Small 2,,
8022,美津濃,その他製品,TOPIX Small 1,,
4462,石原ケミカル,化学,TOPIX Small 2,,
6554,エスユーエス,サービス業,-,,
291A,リスキル,サービス業,-,,
4746,東計電算,情報・通信業,TOPIX Small 2,,
9219,ギックス,サービス業,-,,
3608,ＴＳＩホールディングス,繊維製品,TOPIX Small 1,繊維・紙パルプ,rule
3440,日創グループ,金属製品,-,金属製品・金属加工,rule
9214,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,サービス業,-,,
3970,イノベーション,情報・通信業,-,,
7744,ノーリツ鋼機,精密機器,TOPIX Small 1,計測・分析・光学機器,rule
7555,大田花き,卸売業,-,,
6073,アサンテ,サービス業,TOPIX Small 2,,
7575,日本ライフライン,卸売業,TOPIX Small 1,,
5208,有沢製作所,化学,TOPIX Small 1,,
5015,ビーピー・カストロール,石油・石炭製品,-,資源・エネルギー・農林水産,rule
7971,東リ,化学,-,,
7358,ポピンズ,サービス業,TOPIX Small 2,,
6670,ＭＣＪ,電気機器,-,,
4380,Ｍマート,情報・通信業,-,,
1952,新日本空調,建設業,TOPIX Small 1,,
9663,ナガワ,サービス業,TOPIX Small 2,,
3548,バロックジャパンリミテッド,小売業,TOPIX Small 2,,
472A,ミラティブ,情報・通信業,-,,
4574,大幸薬品,医薬品,TOPIX Small 2,医薬品・バイオ,rule
4221,大倉工業,化学,TOPIX Small 2,,
9332,ＮＩＳＳＯホールディングス,サービス業,TOPIX Small 2,,
6823,リオン,電気機器,TOPIX Small 2,,
6356,日本ギア工業,機械,-,,
2540,養命酒製造,食料品,TOPIX Small 2,,
3002,グンゼ,繊維製品,TOPIX Small 1,繊維・紙パルプ,rule
8841,テーオーシー,不動産業,TOPIX Small 2,,
2594,キーコーヒー,食料品,TOPIX Small 2,,
6094,フリークアウト・ホールディングス,サービス業,-,,
2810,ハウス食品グループ本社,食料品,TOPIX Mid400,,
1945,東京エネシス,建設業,TOPIX Small 2,,
9468,ＫＡＤＯＫＡＷＡ,情報・通信業,TOPIX Mid400,,
6193,バーチャレクス・ホールディングス,サービス業,-,,
4496,コマースＯｎｅホールディングス,情報・通信業,-,,
3947,ダイナパック,パルプ・紙,-,繊維・紙パルプ,rule
6798,ＳＭＫ,電気機器,TOPIX Small 2,,
4686,ジャストシステム,情報・通信業,TOPIX Small 1,,
7707,プレシジョン・システム・サイエンス,精密機器,-,計測・分析・光学機器,rule
3280,エストラスト,不動産業,-,,
3917,アイリッジ,情報・通信業,-,,
9791,ビケンテクノ,サービス業,-,,
4763,クリーク・アンド・リバー社,サービス業,TOPIX Small 2,,
7066,ピアズ,サービス業,-,,
5195,バンドー化学,ゴム製品,TOPIX Small 2,ガラス・セラミックス・ゴム,rule
4743,アイティフォー,情報・通信業,TOPIX Small 2,,
9742,アイネス,情報・通信業,TOPIX Small 2,,
6731,ピクセラ,電気機器,-,,
2978,ツクルバ,不動産業,-,,
4617,中国塗料,化学,TOPIX Small 1,,
149A,シンカ,情報・通信業,-,,
4439,東名,情報・通信業,-,,
6925,ウシオ電機,電気機器,TOPIX Mid400,,
9632,スバル興業,サービス業,TOPIX Small 2,,
416A,富士ユナイトホールディングス,卸売業,-,,
7060,ギークス,サービス業,-,,
4507,塩野義製薬,医薬品,TOPIX Large70,医薬品・バイオ,rule
