コード,新業種,source
9895,建材・資材・エネルギー卸,default
6159,自動化・ロボティクス,summary
2489,広告・PR・マーケティング,summary
8159,総合商社・貿易,summary
3954,繊維・紙パルプ,det
143A,人材サービス・派遣,summary
4644,ゲーム・デジタルコンテンツ,summary
3710,ソフトウェア・SaaS,gics
8076,建材・資材・エネルギー卸,gics
7486,建材・資材・エネルギー卸,summary
7985,金属製品・金属加工,det
7957,住宅設備・家具・生活用品,default
3131,機械・電子部品卸,gics
5969,金属製品・金属加工,det
7885,住宅設備・家具・生活用品,summary
3134,EC・通販・無店舗販売,summary
6325,建設機械・農業機械,summary
6797,民生電機・情報端末,default
7628,建材・資材・エネルギー卸,default
6276,民生電機・情報端末,default
7472,機械・電子部品卸,gics
6151,自動化・ロボティクス,summary
7537,機械・電子部品卸,summary
6820,民生電機・情報端末,default
2221,調味料・菓子・冷凍食品,summary
8141,機械・電子部品卸,gics
3583,繊維・紙パルプ,det
9932,機械・電子部品卸,gics
6778,民生電機・情報端末,default
4170,DX支援・ITコンサルティング,summary
5945,金属製品・金属加工,det
6158,産業機械・工作機械,default
3386,総合商社・貿易,summary
3892,繊維・紙パルプ,det
3944,繊維・紙パルプ,det
7928,機能性化学・先端材料,default
2497,コンサルティング・BPO,summary
3851,ゲーム・デジタルコンテンツ,summary
3895,繊維・紙パルプ,det
9867,建材・資材・エネルギー卸,default
5997,金属製品・金属加工,det
7953,住宅設備・家具・生活用品,summary
5363,ガラス・セラミックス・ゴム,det
1887,ゼネコン・総合建設,summary
1793,設備工事・専門工事,summary
7872,住宅設備・家具・生活用品,default
3417,食品・農産物卸,summary
3277,不動産管理・仲介・賃貸,gics
6349,産業機械・工作機械,default
7614,飲食チェーン・中食,summary
8075,建材・資材・エネルギー卸,summary
6360,自動化・ロボティクス,summary
9414,通信キャリア・放送,summary
6907,半導体・半導体製造装置,summary
3641,ゲーム・デジタルコンテンツ,summary
2654,飲食チェーン・中食,summary
1376,資源・エネルギー・農林水産,det
3953,繊維・紙パルプ,det
