コード,新業種,source
4240,機能性化学・先端材料,default
9651,AI・データ・IoT,summary
9258,コンサルティング・BPO,summary
1301,資源・エネルギー・農林水産,det
4521,医薬品・バイオ,det
6336,産業機械・工作機械,default
2612,食品製造・飲料・酒類,summary
8918,不動産開発・デベロッパー,gics
8081,建材・資材・エネルギー卸,default
3680,サイバーセキュリティ・クラウド,summary
9345,人材サービス・派遣,summary
6082,エンタメ・スポーツ・その他サービス,default
7545,衣料・家電・専門店,summary
4072,サイバーセキュリティ・クラウド,summary
6989,電子部品・デバイス,summary
550A,SI・受託開発(中堅),summary
7844,ゲーム・デジタルコンテンツ,summary
6874,民生電機・情報端末,default
6137,自動化・ロボティクス,summary
4998,基礎化学・石油化学,summary
3461,不動産管理・仲介・賃貸,summary
7254,自動車・輸送用機器,det
8078,建材・資材・エネルギー卸,summary
1450,ゼネコン・総合建設,summary
3020,EC・通販・無店舗販売,summary
7050,広告・PR・マーケティング,summary
3841,ソフトウェア・SaaS,gics
9376,ホテル・旅行・レジャー,summary
1928,設備工事・専門工事,summary
4172,SI・受託開発(中堅),default
6050,コンサルティング・BPO,summary
7240,自動車・輸送用機器,det
1966,ゼネコン・総合建設,gics
5990,金属製品・金属加工,det
8613,証券・保険・その他金融,det
2461,広告・PR・マーケティング,summary
6635,電子部品・デバイス,summary
5356,ガラス・セラミックス・ゴム,det
7114,食品・農産物卸,gics
4093,基礎化学・石油化学,gics
2415,人材サービス・派遣,summary
7595,SI・受託開発(中堅),summary
1377,資源・エネルギー・農林水産,det
423A,建材・資材・エネルギー卸,default
8887,不動産管理・仲介・賃貸,summary
7239,自動車・輸送用機器,det
1787,設備工事・専門工事,summary
5535,不動産管理・仲介・賃貸,summary
4017,Webプラットフォーム・EC,summary
6630,半導体・半導体製造装置,summary
4378,AI・データ・IoT,summary
5138,Webプラットフォーム・EC,summary
3965,SI・受託開発(中堅),summary
2750,食品・農産物卸,summary
5950,金属製品・金属加工,det
5702,鉄鋼・非鉄金属,det
7276,電子部品・デバイス,summary
5018,資源・エネルギー・農林水産,det
9987,医薬品卸・その他専門卸,gics
5659,鉄鋼・非鉄金属,det
8927,不動産管理・仲介・賃貸,summary
2493,エンタメ・スポーツ・その他サービス,default
5423,鉄鋼・非鉄金属,det
2186,人材サービス・派遣,summary
2475,人材サービス・派遣,summary
5273,ガラス・セラミックス・ゴム,det
7222,自動車・輸送用機器,det
6307,産業機械・工作機械,default
6824,民生電機・情報端末,default
2722,EC・通販・無店舗販売,summary
2733,建材・資材・エネルギー卸,default
3490,不動産管理・仲介・賃貸,summary
4362,日用化学品・化粧品,summary
6888,ソフトウェア・SaaS,summary
2122,人材サービス・派遣,summary
9709,SI・受託開発(中堅),summary
3059,EC・通販・無店舗販売,summary
6995,自動車・輸送用機器,det
4027,基礎化学・石油化学,summary
6459,産業機械・工作機械,default
3598,繊維・紙パルプ,det
9856,衣料・家電・専門店,default
3245,不動産開発・デベロッパー,summary
6351,産業機械・工作機械,summary
1967,設備工事・専門工事,summary
4178,DX支援・ITコンサルティング,summary
4249,日用化学品・化粧品,summary
3183,医薬品卸・その他専門卸,gics
3950,繊維・紙パルプ,det
4951,日用化学品・化粧品,gics
3624,ゲーム・デジタルコンテンツ,summary
9715,広告・PR・マーケティング,summary
6850,電子部品・デバイス,summary
2784,医薬品卸・その他専門卸,gics
4977,機能性化学・先端材料,gics
442A,繊維・紙パルプ,det
7863,住宅設備・家具・生活用品,default
6662,民生電機・情報端末,default
4881,医薬品・バイオ,det
6677,半導体・半導体製造装置,summary
2916,調味料・菓子・冷凍食品,summary
3201,繊維・紙パルプ,det
9273,医薬品卸・その他専門卸,gics
1382,資源・エネルギー・農林水産,det
547A,証券・保険・その他金融,det
5602,鉄鋼・非鉄金属,det
1992,ゼネコン・総合建設,default
1941,ゼネコン・総合建設,gics
2815,調味料・菓子・冷凍食品,summary
6663,電子部品・デバイス,summary
5590,ソフトウェア・SaaS,gics
7927,機能性化学・先端材料,default
5445,鉄鋼・非鉄金属,det
8624,証券・保険・その他金融,det
7172,証券・保険・その他金融,det
8508,証券・保険・その他金融,det
6198,人材サービス・派遣,summary
8065,建材・資材・エネルギー卸,summary
4882,医薬品・バイオ,det
7270,自動車・輸送用機器,det
6466,産業機械・工作機械,summary
2477,Webプラットフォーム・EC,summary
8934,不動産管理・仲介・賃貸,summary
6340,建設機械・農業機械,summary
8928,不動産管理・仲介・賃貸,summary
3678,ゲーム・デジタルコンテンツ,summary
9629,ソフトウェア・SaaS,summary
5660,鉄鋼・非鉄金属,det
2152,人材サービス・派遣,summary
7949,住宅設備・家具・生活用品,summary
7673,総合商社・貿易,summary
7803,玩具・スポーツ・文具・雑貨,summary
3172,EC・通販・無店舗販売,summary
6333,産業機械・工作機械,summary
3963,SI・受託開発(中堅),default
5035,通信キャリア・放送,summary
9127,貨物・物流・倉庫,det
6391,産業機械・工作機械,summary
9212,エンタメ・スポーツ・その他サービス,default
2915,調味料・菓子・冷凍食品,summary
7231,自動車・輸送用機器,det
9849,医薬品卸・その他専門卸,keyword
4667,SI・受託開発(中堅),summary
6070,人材サービス・派遣,summary
6932,民生電機・情報端末,default
8051,建材・資材・エネルギー卸,default
5463,鉄鋼・非鉄金属,det
5563,鉄鋼・非鉄金属,det
6167,産業機械・工作機械,default
5947,金属製品・金属加工,det
4526,調味料・菓子・冷凍食品,summary
9225,人材サービス・派遣,summary
5941,金属製品・金属加工,det
5868,コンサルティング・BPO,summary
9768,人材サービス・派遣,summary
1938,ゼネコン・総合建設,gics
9930,建材・資材・エネルギー卸,default
5185,ガラス・セラミックス・ゴム,det
7480,建材・資材・エネルギー卸,default
1720,ゼネコン・総合建設,summary
9265,医薬品卸・その他専門卸,gics
1435,不動産管理・仲介・賃貸,summary
2332,SI・受託開発(中堅),summary
5192,ガラス・セラミックス・ゴム,det
5973,金属製品・金属加工,det
6191,人材サービス・派遣,summary
2737,機械・電子部品卸,keyword
4491,SI・受託開発(中堅),summary
6455,自動車・輸送用機器,det
3333,衣料・家電・専門店,gics
1930,設備工事・専門工事,summary
4097,日用化学品・化粧品,summary
8704,証券・保険・その他金融,det
5262,ガラス・セラミックス・ゴム,det
2335,通信キャリア・放送,summary
1662,資源・エネルギー・農林水産,det
3991,Webプラットフォーム・EC,gics
6272,産業機械・工作機械,default
6379,設備工事・専門工事,summary
4914,日用化学品・化粧品,summary
4220,基礎化学・石油化学,gics
6803,電子部品・デバイス,summary
4310,エンタメ・スポーツ・その他サービス,default
6203,建設機械・農業機械,summary
7976,住宅設備・家具・生活用品,default
1852,ゼネコン・総合建設,summary
2341,人材サービス・派遣,summary
7864,住宅設備・家具・生活用品,gics
4012,AI・データ・IoT,summary
4465,日用化学品・化粧品,summary
7702,計測・分析・光学機器,det
2305,エンタメ・スポーツ・その他サービス,default
5268,ガラス・セラミックス・ゴム,det
6770,電子部品・デバイス,summary
6395,建設機械・農業機械,gics
6675,民生電機・情報端末,default
206A,医薬品・バイオ,det
2975,不動産管理・仲介・賃貸,summary
2342,コンサルティング・BPO,summary
6788,民生電機・情報端末,default
4053,DX支援・ITコンサルティング,summary
4516,医薬品・バイオ,det
3934,通信キャリア・放送,summary
4750,人材サービス・派遣,summary
6143,自動化・ロボティクス,summary
2114,調味料・菓子・冷凍食品,gics
4577,医薬品・バイオ,det
3773,SI・受託開発(中堅),default
4956,日用化学品・化粧品,summary
4284,AI・データ・IoT,summary
4792,コンサルティング・BPO,summary
6381,自動化・ロボティクス,summary
4659,人材サービス・派遣,summary
7921,住宅設備・家具・生活用品,default
6339,産業機械・工作機械,default
9438,ゲーム・デジタルコンテンツ,summary
3465,不動産管理・仲介・賃貸,summary
6643,重電・産業用電機,gics
8898,不動産管理・仲介・賃貸,gics
9621,コンサルティング・BPO,summary
7255,自動車・輸送用機器,det
4840,コンサルティング・BPO,summary
3288,不動産開発・デベロッパー,summary
3284,不動産管理・仲介・賃貸,summary
7717,計測・分析・光学機器,det
7951,玩具・スポーツ・文具・雑貨,summary
1518,住宅設備・家具・生活用品,summary
4171,SI・受託開発(中堅),default
1814,ゼネコン・総合建設,summary
1844,ゼネコン・総合建設,summary
4238,機能性化学・先端材料,default
4931,日用化学品・化粧品,summary
9233,鉄道・バス・旅客運輸,det
7514,衣料・家電・専門店,gics
4673,環境・リサイクル・ビル管理,summary
137A,ソフトウェア・SaaS,gics
3918,SI・受託開発(中堅),default
4167,ソフトウェア・SaaS,summary
4922,日用化学品・化粧品,summary
2325,コンサルティング・BPO,summary
6772,電子部品・デバイス,summary
3834,通信キャリア・放送,summary
3445,金属製品・金属加工,det
2876,調味料・菓子・冷凍食品,summary
6853,民生電機・情報端末,default
2292,食品製造・飲料・酒類,summary
9782,広告・PR・マーケティング,summary
2169,コンサルティング・BPO,summary
4595,医薬品・バイオ,det
2907,食品製造・飲料・酒類,summary
6250,建設機械・農業機械,summary
5011,資源・エネルギー・農林水産,det
6822,民生電機・情報端末,default
3042,サイバーセキュリティ・クラウド,summary
6420,産業機械・工作機械,default
8227,衣料・家電・専門店,summary
2454,広告・PR・マーケティング,summary
4317,エンタメ・スポーツ・その他サービス,default
6546,環境・リサイクル・ビル管理,summary
7217,自動車・輸送用機器,det
6535,広告・PR・マーケティング,summary
6392,産業機械・工作機械,summary
9687,ソフトウェア・SaaS,gics
5126,ソフトウェア・SaaS,summary
5484,鉄鋼・非鉄金属,det
2652,EC・通販・無店舗販売,gics
9904,衣料・家電・専門店,gics
4891,医薬品・バイオ,det
7725,計測・分析・光学機器,det
302A,人材サービス・派遣,summary
4334,ゲーム・デジタルコンテンツ,summary
6238,産業機械・工作機械,default
4668,人材サービス・派遣,summary
6378,産業機械・工作機械,default
8285,建材・資材・エネルギー卸,default
7095,広告・PR・マーケティング,summary
2692,食品・農産物卸,summary
4218,日用化学品・化粧品,summary
6849,電子部品・デバイス,summary
1827,ゼネコン・総合建設,summary
7072,広告・PR・マーケティング,summary
4958,日用化学品・化粧品,summary
7942,機能性化学・先端材料,default
7981,住宅設備・家具・生活用品,summary
6786,人材サービス・派遣,summary
1491,鉄鋼・非鉄金属,det
7846,玩具・スポーツ・文具・雑貨,summary
6750,民生電機・情報端末,summary
4586,医薬品・バイオ,det
8129,医薬品卸・その他専門卸,summary
1381,資源・エネルギー・農林水産,det
6908,電子部品・デバイス,summary
2438,エンタメ・スポーツ・その他サービス,default
7500,機械・電子部品卸,keyword
2670,衣料・家電・専門店,summary
4599,医薬品・バイオ,det
4025,基礎化学・石油化学,summary
6190,エンタメ・スポーツ・その他サービス,default
3904,ゲーム・デジタルコンテンツ,summary
5974,金属製品・金属加工,det
6929,電子部品・デバイス,summary
8518,証券・保険・その他金融,det
4694,コンサルティング・BPO,summary
4248,機能性化学・先端材料,default
1968,設備工事・専門工事,summary
7377,コンサルティング・BPO,summary
9729,医療・介護・福祉サービス,summary
6432,建設機械・農業機械,summary
9763,建材・資材・エネルギー卸,default
8614,証券・保険・その他金融,det
4424,ゲーム・デジタルコンテンツ,summary
3138,EC・通販・無店舗販売,gics
4391,ソフトウェア・SaaS,summary
6518,民生電機・情報端末,default
1934,設備工事・専門工事,summary
2183,コンサルティング・BPO,summary
4427,SI・受託開発(中堅),default
1861,ゼネコン・総合建設,summary
6332,産業機械・工作機械,default
7999,民生電機・情報端末,default
4416,ソフトウェア・SaaS,summary
7883,住宅設備・家具・生活用品,default
6369,産業機械・工作機械,default
9107,貨物・物流・倉庫,det
6138,産業機械・工作機械,summary
7277,自動車・輸送用機器,det
1433,ゼネコン・総合建設,gics
3623,ソフトウェア・SaaS,gics
2301,人材サービス・派遣,summary
4251,機能性化学・先端材料,default
9837,建材・資材・エネルギー卸,default
7506,百貨店・総合スーパー,gics
9692,SI・受託開発(中堅),summary
8012,建材・資材・エネルギー卸,default
1950,設備工事・専門工事,summary
6875,半導体・半導体製造装置,summary
3909,DX支援・ITコンサルティング,summary
1870,ゼネコン・総合建設,summary
3723,ゲーム・デジタルコンテンツ,summary
2981,不動産開発・デベロッパー,summary
6877,民生電機・情報端末,default
7042,人材サービス・派遣,summary
1904,設備工事・専門工事,summary
3842,通信キャリア・放送,summary
6140,産業機械・工作機械,default
6081,広告・PR・マーケティング,summary
1929,設備工事・専門工事,summary
9605,通信キャリア・放送,summary
6620,不動産開発・デベロッパー,summary
6287,自動化・ロボティクス,summary
7038,コンサルティング・BPO,summary
4401,日用化学品・化粧品,summary
6306,自動化・ロボティクス,summary
9612,ホテル・旅行・レジャー,summary
7811,住宅設備・家具・生活用品,default
3625,ゲーム・デジタルコンテンツ,summary
1982,設備工事・専門工事,summary
7986,住宅設備・家具・生活用品,summary
2669,食品スーパー・コンビニ,summary
3242,不動産管理・仲介・賃貸,summary
3035,建材・資材・エネルギー卸,default
6199,サイバーセキュリティ・クラウド,summary
4042,日用化学品・化粧品,summary
4849,人材サービス・派遣,summary
166A,不動産開発・デベロッパー,summary
3998,SI・受託開発(中堅),default
9242,人材サービス・派遣,summary
264A,教育・研修・資格,summary
6458,産業機械・工作機械,summary
7413,建材・資材・エネルギー卸,default
542A,日用化学品・化粧品,gics
3001,繊維・紙パルプ,det
3486,不動産管理・仲介・賃貸,summary
3467,不動産管理・仲介・賃貸,summary
8037,総合商社・貿易,summary
4064,日用化学品・化粧品,summary
5355,ガラス・セラミックス・ゴム,det
9165,コンサルティング・BPO,summary
7990,玩具・スポーツ・文具・雑貨,summary
7984,玩具・スポーツ・文具・雑貨,summary
3733,ソフトウェア・SaaS,keyword
9740,ホテル・旅行・レジャー,summary
8157,サイバーセキュリティ・クラウド,summary
4206,日用化学品・化粧品,summary
7226,自動車・輸送用機器,det
1663,資源・エネルギー・農林水産,det
7309,自動車・輸送用機器,det
2136,人材サービス・派遣,gics
5444,鉄鋼・非鉄金属,det
6612,民生電機・情報端末,summary
4929,日用化学品・化粧品,summary
9743,人材サービス・派遣,summary
177A,日用化学品・化粧品,summary
6648,民生電機・情報端末,default
3926,Webプラットフォーム・EC,summary
7244,民生電機・情報端末,default
3371,SI・受託開発(中堅),summary
4052,ソフトウェア・SaaS,gics
3195,EC・通販・無店舗販売,summary
4262,SI・受託開発(中堅),default
4634,日用化学品・化粧品,summary
6255,自動化・ロボティクス,summary
6470,産業機械・工作機械,summary
7416,衣料・家電・専門店,gics
6277,産業機械・工作機械,default
343A,ホテル・旅行・レジャー,summary
6185,人材サービス・派遣,summary
7284,自動車・輸送用機器,det
5965,金属製品・金属加工,det
3817,DX支援・ITコンサルティング,summary
4479,ゲーム・デジタルコンテンツ,summary
387A,SI・受託開発(中堅),summary
9240,コンサルティング・BPO,summary
1783,不動産管理・仲介・賃貸,summary
2296,食品製造・飲料・酒類,summary
4114,日用化学品・化粧品,summary
4530,医薬品・バイオ,det
6171,コンサルティング・BPO,summary
4633,日用化学品・化粧品,summary
5367,ガラス・セラミックス・ゴム,det
265A,AI・データ・IoT,summary
6633,民生電機・情報端末,default
3107,機械・電子部品卸,gics
4044,基礎化学・石油化学,summary
3996,AI・データ・IoT,summary
8079,食品・農産物卸,keyword
3969,ソフトウェア・SaaS,summary
7819,住宅設備・家具・生活用品,default
415A,広告・PR・マーケティング,summary
6586,自動化・ロボティクス,summary
7057,エンタメ・スポーツ・その他サービス,default
9347,人材サービス・派遣,summary
3028,衣料・家電・専門店,gics
4886,医薬品・バイオ,det
7596,食品スーパー・コンビニ,summary
3181,衣料・家電・専門店,summary
3132,機械・電子部品卸,gics
410A,エンタメ・スポーツ・その他サービス,default
3659,ゲーム・デジタルコンテンツ,summary
5970,金属製品・金属加工,det
9036,貨物・物流・倉庫,summary
9401,通信キャリア・放送,summary
3675,DX支援・ITコンサルティング,summary
5888,衣料・家電・専門店,default
4198,ゲーム・デジタルコンテンツ,summary
3070,建材・資材・エネルギー卸,default
3912,通信キャリア・放送,summary
4031,日用化学品・化粧品,summary
3374,建材・資材・エネルギー卸,default
2498,人材サービス・派遣,summary
7102,自動車・輸送用機器,det
4440,サイバーセキュリティ・クラウド,summary
6363,建設機械・農業機械,summary
7856,住宅設備・家具・生活用品,summary
5284,ガラス・セラミックス・ゴム,det
1438,ゼネコン・総合建設,gics
9788,コンサルティング・BPO,summary
1979,設備工事・専門工事,summary
6424,産業機械・工作機械,default
2370,エンタメ・スポーツ・その他サービス,default
4124,基礎化学・石油化学,gics
3945,繊維・紙パルプ,det
1882,ゼネコン・総合建設,summary
3858,サイバーセキュリティ・クラウド,summary
7374,人材サービス・派遣,summary
2433,広告・PR・マーケティング,summary
4892,医薬品・バイオ,det
6902,自動車・輸送用機器,det
4205,機能性化学・先端材料,gics
4078,日用化学品・化粧品,summary
7049,人材サービス・派遣,summary
7979,計測・分析・光学機器,det
7608,建材・資材・エネルギー卸,default
5103,ガラス・セラミックス・ゴム,det
4028,日用化学品・化粧品,summary
7505,建材・資材・エネルギー卸,default
4687,AI・データ・IoT,summary
7911,住宅設備・家具・生活用品,summary
3569,繊維・紙パルプ,det
7360,コンサルティング・BPO,summary
5936,金属製品・金属加工,det
8283,建材・資材・エネルギー卸,default
5013,資源・エネルギー・農林水産,det
7048,ホテル・旅行・レジャー,gics
4113,日用化学品・化粧品,summary
3915,ソフトウェア・SaaS,gics
1808,ゼネコン・総合建設,default
4488,AI・データ・IoT,summary
1717,環境・リサイクル・ビル管理,summary
4826,DX支援・ITコンサルティング,summary
4197,SI・受託開発(中堅),default
4447,サイバーセキュリティ・クラウド,summary
4884,医薬品・バイオ,det
5244,ソフトウェア・SaaS,summary
5161,ガラス・セラミックス・ゴム,det
6859,半導体・半導体製造装置,summary
2060,食品製造・飲料・酒類,summary
7943,ガラス・セラミックス・ゴム,det
7836,住宅設備・家具・生活用品,default
4642,コンサルティング・BPO,summary
4664,人材サービス・派遣,summary
2440,医療・介護・福祉サービス,summary
3648,サイバーセキュリティ・クラウド,summary
6223,産業機械・工作機械,default
3662,ゲーム・デジタルコンテンツ,summary
9716,人材サービス・派遣,summary
2480,SI・受託開発(中堅),default
4556,医薬品・バイオ,det
3937,SI・受託開発(中堅),summary
7963,住宅設備・家具・生活用品,default
4445,SI・受託開発(中堅),default
7043,教育・研修・資格,summary
4272,日用化学品・化粧品,summary
6371,自動化・ロボティクス,summary
6145,自動化・ロボティクス,summary
9934,機械・電子部品卸,gics
2436,広告・PR・マーケティング,summary
2003,調味料・菓子・冷凍食品,summary
5834,証券・保険・その他金融,det
9467,Webプラットフォーム・EC,gics
4685,サイバーセキュリティ・クラウド,summary
4662,サイバーセキュリティ・クラウド,summary
1813,ゼネコン・総合建設,summary
6090,人材サービス・派遣,keyword
2311,ホテル・旅行・レジャー,summary
5821,鉄鋼・非鉄金属,det
9702,サイバーセキュリティ・クラウド,summary
4926,日用化学品・化粧品,summary
4335,ソフトウェア・SaaS,summary
2910,調味料・菓子・冷凍食品,summary
241A,ソフトウェア・SaaS,gics
4263,SI・受託開発(中堅),default
1736,設備工事・専門工事,summary
4169,ソフトウェア・SaaS,summary
4414,Webプラットフォーム・EC,summary
7058,人材サービス・派遣,summary
9213,広告・PR・マーケティング,summary
4008,機能性化学・先端材料,gics
2207,調味料・菓子・冷凍食品,summary
2676,総合商社・貿易,summary
4671,エンタメ・スポーツ・その他サービス,default
1766,ゼネコン・総合建設,default
5589,Webプラットフォーム・EC,summary
6029,コンサルティング・BPO,summary
6289,建設機械・農業機械,summary
3988,Webプラットフォーム・EC,summary
7609,総合商社・貿易,summary
7917,日用化学品・化粧品,summary
2120,医療・介護・福祉サービス,summary
3907,ゲーム・デジタルコンテンツ,summary
3076,建材・資材・エネルギー卸,default
7980,住宅設備・家具・生活用品,default
2602,調味料・菓子・冷凍食品,summary
6294,建設機械・農業機械,summary
4361,日用化学品・化粧品,summary
9543,資源・エネルギー・農林水産,det
4068,通信キャリア・放送,summary
5729,鉄鋼・非鉄金属,det
4476,ソフトウェア・SaaS,summary
3835,ソフトウェア・SaaS,summary
2983,不動産管理・仲介・賃貸,summary
6644,電子部品・デバイス,summary
7970,日用化学品・化粧品,summary
7211,自動車・輸送用機器,det
7687,食品・農産物卸,gics
9244,人材サービス・派遣,summary
2359,AI・データ・IoT,summary
5121,ガラス・セラミックス・ゴム,det
6448,民生電機・情報端末,default
2930,日用化学品・化粧品,summary
2437,エンタメ・スポーツ・その他サービス,default
2488,コンサルティング・BPO,summary
4212,機能性化学・先端材料,default
1719,ゼネコン・総合建設,summary
7148,証券・保険・その他金融,det
3974,SI・受託開発(中堅),default
7438,建材・資材・エネルギー卸,default
4464,日用化学品・化粧品,summary
4832,Webプラットフォーム・EC,summary
157A,教育・研修・資格,summary
7727,計測・分析・光学機器,det
4041,日用化学品・化粧品,summary
2767,建材・資材・エネルギー卸,default
3361,衣料・家電・専門店,summary
7988,機能性化学・先端材料,default
4814,AI・データ・IoT,summary
261A,人材サービス・派遣,summary
9558,人材サービス・派遣,summary
9982,建材・資材・エネルギー卸,summary
4346,証券・保険・その他金融,det
6408,建設機械・農業機械,summary
2391,エンタメ・スポーツ・その他サービス,default
5025,ソフトウェア・SaaS,summary
6659,民生電機・情報端末,summary
7343,証券・保険・その他金融,det
2790,ドラッグストア・HC,summary
2982,不動産管理・仲介・賃貸,summary
6328,産業機械・工作機械,summary
7513,衣料・家電・専門店,gics
8005,EC・通販・無店舗販売,summary
8022,住宅設備・家具・生活用品,default
4462,日用化学品・化粧品,summary
6554,人材サービス・派遣,summary
291A,広告・PR・マーケティング,summary
4746,サイバーセキュリティ・クラウド,summary
9219,コンサルティング・BPO,summary
3608,繊維・紙パルプ,det
3440,金属製品・金属加工,det
9214,医療・介護・福祉サービス,summary
3970,SI・受託開発(中堅),default
7744,計測・分析・光学機器,det
7555,建材・資材・エネルギー卸,default
6073,エンタメ・スポーツ・その他サービス,default
7575,建材・資材・エネルギー卸,default
5208,日用化学品・化粧品,summary
5015,資源・エネルギー・農林水産,det
7971,日用化学品・化粧品,summary
7358,人材サービス・派遣,summary
6670,民生電機・情報端末,default
4380,SI・受託開発(中堅),default
1952,設備工事・専門工事,summary
9663,エンタメ・スポーツ・その他サービス,default
3548,衣料・家電・専門店,summary
472A,通信キャリア・放送,summary
4574,医薬品・バイオ,det
4221,日用化学品・化粧品,summary
9332,人材サービス・派遣,summary
6823,半導体・半導体製造装置,summary
6356,産業機械・工作機械,default
2540,食品製造・飲料・酒類,summary
3002,繊維・紙パルプ,det
8841,不動産管理・仲介・賃貸,summary
2594,食品製造・飲料・酒類,summary
6094,広告・PR・マーケティング,summary
2810,調味料・菓子・冷凍食品,summary
1945,ゼネコン・総合建設,summary
9468,ゲーム・デジタルコンテンツ,summary
6193,広告・PR・マーケティング,summary
4496,Webプラットフォーム・EC,summary
3947,繊維・紙パルプ,det
6798,電子部品・デバイス,summary
4686,ソフトウェア・SaaS,gics
7707,計測・分析・光学機器,det
3280,不動産管理・仲介・賃貸,summary
3917,DX支援・ITコンサルティング,summary
9791,コンサルティング・BPO,summary
4763,人材サービス・派遣,summary
7066,人材サービス・派遣,summary
5195,ガラス・セラミックス・ゴム,det
4743,SI・受託開発(中堅),default
9742,SI・受託開発(中堅),summary
6731,民生電機・情報端末,summary
2978,不動産管理・仲介・賃貸,summary
4617,日用化学品・化粧品,summary
149A,DX支援・ITコンサルティング,summary
4439,通信キャリア・放送,summary
6925,半導体・半導体製造装置,summary
9632,コンサルティング・BPO,gics
416A,建材・資材・エネルギー卸,summary
7060,人材サービス・派遣,summary
4507,医薬品・バイオ,det
3779,通信キャリア・放送,summary
4674,AI・データ・IoT,summary
7875,住宅設備・家具・生活用品,default
5139,ソフトウェア・SaaS,gics
4974,機能性化学・先端材料,default
6413,産業機械・工作機械,default
3179,EC・通販・無店舗販売,summary
5901,金属製品・金属加工,det
6960,民生電機・情報端末,default
1776,設備工事・専門工事,summary
4216,機能性化学・先端材料,default
4486,DX支援・ITコンサルティング,summary
6357,産業機械・工作機械,default
7093,教育・研修・資格,summary
3667,ゲーム・デジタルコンテンツ,summary
2286,食品製造・飲料・酒類,summary
2148,広告・PR・マーケティング,gics
9340,エンタメ・スポーツ・その他サービス,default
6403,産業機械・工作機械,summary
8908,不動産管理・仲介・賃貸,summary
6563,人材サービス・派遣,summary
4020,ソフトウェア・SaaS,summary
480A,コンサルティング・BPO,summary
8074,建材・資材・エネルギー卸,default
2708,食品・農産物卸,summary
6460,産業機械・工作機械,default
5987,金属製品・金属加工,det
4290,人材サービス・派遣,summary
3151,医薬品卸・その他専門卸,gics
334A,通信キャリア・放送,summary
9101,貨物・物流・倉庫,det
5949,自動車・輸送用機器,det
7893,住宅設備・家具・生活用品,default
4845,ソフトウェア・SaaS,gics
3672,ゲーム・デジタルコンテンツ,summary
5570,Webプラットフォーム・EC,gics
5582,AI・データ・IoT,summary
6093,人材サービス・派遣,summary
6904,電子部品・デバイス,summary
1963,ゼネコン・総合建設,gics
7822,住宅設備・家具・生活用品,summary
6135,自動化・ロボティクス,summary
4428,ソフトウェア・SaaS,gics
332A,AI・データ・IoT,summary
4973,機能性化学・先端材料,gics
7637,建材・資材・エネルギー卸,default
9381,貨物・物流・倉庫,det
5922,金属製品・金属加工,det
3153,機械・電子部品卸,gics
9346,人材サービス・派遣,summary
4074,Webプラットフォーム・EC,summary
5471,鉄鋼・非鉄金属,det
2307,DX支援・ITコンサルティング,summary
4450,ソフトウェア・SaaS,summary
1726,ゼネコン・総合建設,summary
1885,ゼネコン・総合建設,summary
3004,食品・農産物卸,summary
7715,計測・分析・光学機器,det
5331,ガラス・セラミックス・ゴム,det
7522,飲食チェーン・中食,summary
6266,自動化・ロボティクス,summary
9353,貨物・物流・倉庫,det
4175,ゲーム・デジタルコンテンツ,summary
2266,調味料・菓子・冷凍食品,summary
7740,計測・分析・光学機器,det
1871,ゼネコン・総合建設,summary
6486,建設機械・農業機械,summary
4045,日用化学品・化粧品,summary
2429,人材サービス・派遣,summary
7745,計測・分析・光学機器,det
3106,繊維・紙パルプ,det
340A,Webプラットフォーム・EC,summary
6298,自動化・ロボティクス,summary
6087,人材サービス・派遣,summary
6436,自動化・ロボティクス,summary
7731,計測・分析・光学機器,det
5247,SI・受託開発(中堅),summary
6080,コンサルティング・BPO,keyword
2926,食品製造・飲料・酒類,gics
6044,環境・リサイクル・ビル管理,summary
7138,EC・通販・無店舗販売,summary
4370,AI・データ・IoT,summary
6835,民生電機・情報端末,default
3686,通信キャリア・放送,summary
6837,電子部品・デバイス,gics
5134,ソフトウェア・SaaS,summary
4477,Webプラットフォーム・EC,summary
1414,ゼネコン・総合建設,summary
3865,繊維・紙パルプ,det
6046,エンタメ・スポーツ・その他サービス,default
1718,設備工事・専門工事,summary
3920,AI・データ・IoT,summary
2689,医薬品卸・その他専門卸,gics
2892,食品製造・飲料・酒類,gics
3836,DX支援・ITコンサルティング,summary
3173,総合商社・貿易,summary
9405,通信キャリア・放送,summary
3560,衣料・家電・専門店,gics
1418,ゼネコン・総合建設,default
7912,住宅設備・家具・生活用品,summary
5071,コンサルティング・BPO,gics
6176,コンサルティング・BPO,summary
7078,広告・PR・マーケティング,summary
4420,SI・受託開発(中堅),summary
6258,自動化・ロボティクス,summary
3452,不動産管理・仲介・賃貸,summary
3925,AI・データ・IoT,summary
9551,資源・エネルギー・農林水産,det
4576,医薬品・バイオ,det
4046,基礎化学・石油化学,summary
9765,コンサルティング・BPO,summary
3844,Webプラットフォーム・EC,summary
5288,ガラス・セラミックス・ゴム,det
6113,自動化・ロボティクス,summary
3036,建材・資材・エネルギー卸,default
3294,不動産管理・仲介・賃貸,summary
2811,調味料・菓子・冷凍食品,summary
2764,飲食チェーン・中食,summary
2173,広告・PR・マーケティング,gics
3475,不動産管理・仲介・賃貸,summary
4917,日用化学品・化粧品,summary
5867,コンサルティング・BPO,summary
9790,ソフトウェア・SaaS,gics
4641,人材サービス・派遣,summary
